Z,N,A,symbol,parity,is_magic_any,B_obs_MeV,B_pred_before_MeV,resid_before_MeV,delta_n_3pt_MeV,delta_p_3pt_MeV,pairing_correction_MeV,B_pred_after_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
1,1,2,H,oo,False,2.2245662000000004,2.22456634198942,1.4198941977738855e-07,nan,nan,0.0,2.22456634198942,1.4198941977738855e-07,1.4198941977738855e-07,1.4198941977738855e-07
1,2,3,H,oe,True,8.481796200000002,18.92229296273237,10.44049676273237,3.928614900000002,nan,-5.806395593735297,24.728688556467667,16.246892356467665,10.44049676273237,16.246892356467665
2,1,3,He,eo,True,7.71804132,15.663347901067027,7.945306581067027,nan,4.298237620000001,7.712666583261803,7.950681317805224,0.23263999780522404,7.945306581067027,0.23263999780522404
3,0,3,Li,oe,False,-6.801,26.980081609663554,33.78108160966355,nan,nan,0.0,26.980081609663554,33.78108160966355,33.78108160966355,33.78108160966355
1,3,4,H,oo,False,6.8817964,35.68061778350744,28.798821383507438,0.6999997000000016,nan,-1.0345822324545062,36.71520001596194,29.83340361596194,28.798821383507438,29.83340361596194
2,2,4,He,ee,True,28.2956624,30.635003985332837,2.3393415853328356,10.656310490000001,10.889433050000003,3.7900049409718672,26.844999044360968,-1.4506633556390334,2.3393415853328356,1.4506633556390334
3,1,4,Li,oo,False,4.615041199999999,35.68061778350744,31.065576583507436,5.149790049999997,0.7110205399999994,-6.335422039542454,42.016039823049894,37.400998623049894,31.065576583507436,37.400998623049894
1,4,5,H,oe,False,6.681796000000001,42.77373933196721,36.09194333196721,0.35597930000000133,nan,-0.5261285953431022,43.29986792731031,36.61807192731031,36.09194333196721,36.61807192731031
2,3,5,He,eo,True,27.5606625,42.77373933196721,15.213076831967207,1.222728400000003,8.1227707,12.768165455044056,30.00557387692315,2.4449113769231516,15.213076831967207,2.4449113769231516
3,2,5,Li,oe,True,26.330662499999995,42.77373933196721,16.44307683196721,8.026148299999996,1.2789121000000065,-9.56759575476342,52.34133508673062,26.010672586730628,16.44307683196721,26.010672586730628
4,1,5,Be,eo,False,0.09,42.77373933196721,42.6837393319672,nan,0.8165205999999996,1.46514727730778,41.30859205465943,41.218592054659425,42.6837393319672,41.218592054659425
1,5,6,H,oo,False,5.769837,48.72012909495933,42.95029209495933,0.8610610000000007,nan,-1.2726268477822325,49.99275594274157,44.222918942741565,42.95029209495933,44.222918942741565
2,4,6,He,ee,True,29.271119400000003,35.74437079666574,6.473251396665738,1.0600858500000037,6.307681050000005,9.75158867976264,25.9927821169031,-3.278337283096903,6.473251396665738,3.278337283096903
3,3,6,Li,oo,False,31.9939872,22.17193637806156,-9.82205082193844,0.793884399999996,0.586764500000001,-0.1204636996696491,22.29240007773121,-9.70158712226879,9.82205082193844,9.70158712226879
