id,origin,domain,observable,metric,value,threshold,operator,normalized_score,status,hard_gate,source,note
weihs1998_longdist_longdist1:selection_ratio,selection-driven,bell,window half-width,ratio_sys_stat,19.316744077961687,1.0,>=,0.051768558715901386,pass,True,part3_audit bell.dataset_gates,Selection sweep幅 / 統計幅（σ）
weihs1998_longdist_longdist1:delay_signature,selection-driven,bell,time-tag delay signature,delay_z,5.53541064134177,3.0,>=,0.5419652116853263,pass,True,part3_audit bell.dataset_gates,Setting依存遅延の有意度（z）。fast-switch 系（Weihs/NIST）は hard gate、その他は watch 扱い。
delft_hensen2015:selection_ratio,selection-driven,bell,event-ready start offset,ratio_sys_stat,3.6508938846257903,1.0,>=,0.2739055233051503,pass,True,part3_audit bell.dataset_gates,Selection sweep幅 / 統計幅（σ）
delft_hensen2016_srep30289:selection_ratio,selection-driven,bell,event-ready start offset,ratio_sys_stat,7.599442954268822,1.0,>=,0.13158859221889044,pass,True,part3_audit bell.dataset_gates,Selection sweep幅 / 統計幅（σ）
nist_03_43_afterfixingModeLocking_s3600:selection_ratio,selection-driven,bell,window half-width,ratio_sys_stat,654.1026883136847,1.0,>=,0.0015288119401833664,pass,True,part3_audit bell.dataset_gates,Selection sweep幅 / 統計幅（σ）
nist_03_43_afterfixingModeLocking_s3600:delay_signature,selection-driven,bell,time-tag delay signature,delay_z,43.90965148631052,3.0,>=,0.06832210911387657,pass,True,part3_audit bell.dataset_gates,Setting依存遅延の有意度（z）。fast-switch 系（Weihs/NIST）は hard gate、その他は watch 扱い。
kwiat2013_prl111_130406_05082013_15:selection_ratio,selection-driven,bell,window half-width,ratio_sys_stat,5.822553917580089,1.0,>=,0.17174594072554503,pass,True,part3_audit bell.dataset_gates,Selection sweep幅 / 統計幅（σ）
kwiat2013_prl111_130406_05082013_15:delay_signature,selection-driven,bell,time-tag delay signature,delay_z,0.7214698844113343,3.0,>=,4.158177721371941,watch,False,part3_audit bell.dataset_gates,Setting依存遅延の有意度（z）。fast-switch 系（Weihs/NIST）は hard gate、その他は watch 扱い。 watch監査: keep_watch_nonhard_gate.
phase_alpha_consistency,physics-driven,interference,phase,atom_recoil_alpha_abs_z,0.5883354744951784,3.0,<=,0.19611182483172615,pass,True,born_route_a_proxy_constraints_pack,位相整合の最小ゲート（abs_z<=3）。
phase_molecular_scaling,physics-driven,interference,phase,molecular_isotopic_scaling_zmax,2.6385399704973964,3.0,<=,0.8795133234991321,pass,True,born_route_a_proxy_constraints_pack,分子スケーリング整合の最小ゲート（z<=3）。
visibility_atom_precision_gap,physics-driven,interference,visibility,log10_atom_interferometer_current_over_required_ratio,0.3338887327706417,1.0,<=,0.3338887327706417,pass,False,born_route_a_proxy_constraints_pack,可視度差分の決着力監視（log10正規化；1桁以内をwatch閾値）。未達でも即棄却には使わない。
hom_noise_psd_shape,physics-driven,interference,noise_psd_shape,lf_to_hf_ratio,0.8405951115834224,1.0,>=,1.1896333754740827,watch,False,hom_noise_psd_watch_audit,HOM noise PSD shape（低周波/高周波比）の帯域・drift感度監査。 watch監査: keep_watch_nonhard_gate.
