run_id,seed,env_scale,n_trajectories,status,decision,gate_failures,collapse_fraction,collapse_time_median_s,collapse_time_mean_s,collapse_time_p90_s,collapse_time_ratio_vs_ref,pointer_consensus_fraction,branch_reversal_fraction,branch_stable_fraction,post_sign_consistency_median,post_abs_z_mean_median,pointer_mean_z_correlation,pointer_channel_abs_corr_mean,pointer_interchannel_corr_abs_mean,env_z_correlation,coherence_suppression_ratio
1,20260216,0.9,192,pass,all_branch_gates_pass,,1,0.0398,0.0539104,0.10392,1.0050505,0.9635417,0.0520833,0.9479167,1,0.9976286,0.9942101,0.9921836,0.9938611,0.0726392,0.0292696
2,20260217,0.9,192,pass,all_branch_gates_pass,,1,0.0412,0.0527563,0.10576,1.040404,0.9791667,0.0572917,0.9427083,1,0.9972333,0.9891269,0.9871266,0.9938918,0.0099414,0.0281042
3,20260218,0.9,192,pass,all_branch_gates_pass,,1,0.0428,0.0513312,0.0932,1.0808081,0.953125,0.0677083,0.9322917,1,0.9971907,0.9975765,0.9958141,0.9946838,0.0492575,0.0263421
4,20260219,0.9,192,pass,all_branch_gates_pass,,1,0.04,0.0487021,0.08836,1.010101,0.984375,0.046875,0.953125,1,0.9974343,0.9842639,0.9824827,0.9944925,-0.0134992,0.0281501
5,20260220,0.9,192,pass,all_branch_gates_pass,,1,0.0388,0.0491896,0.0958,0.979798,0.9895833,0.0416667,0.9583333,1,0.9970463,0.9954492,0.9936078,0.9944526,0.04235,0.0281856
6,20260221,0.9,192,pass,all_branch_gates_pass,,1,0.043,0.0527229,0.09852,1.0858586,0.96875,0.0572917,0.9427083,1,0.9970331,0.9911969,0.9893226,0.9943021,0.0165405,0.0264663
7,20260216,1,192,pass,all_branch_gates_pass,,1,0.0398,0.0539188,0.10392,1.0050505,0.9635417,0.0520833,0.9479167,1,0.9976282,0.9941854,0.9920321,0.9934829,0.0726393,0.0292696
8,20260217,1,192,pass,all_branch_gates_pass,,1,0.0412,0.0527563,0.10576,1.040404,0.9791667,0.0572917,0.9427083,1,0.9972333,0.9890803,0.9869639,0.993545,0.0099415,0.0281042
9,20260218,1,192,pass,all_branch_gates_pass,,1,0.0428,0.0513312,0.0932,1.0808081,0.953125,0.0677083,0.9322917,1,0.9971908,0.9975412,0.9956895,0.99442,0.0492575,0.0263421
10,20260219,1,192,pass,all_branch_gates_pass,,1,0.04,0.0487021,0.08836,1.010101,0.984375,0.046875,0.953125,1,0.997434,0.984206,0.9823224,0.9941841,-0.0134992,0.0281499
11,20260220,1,192,pass,all_branch_gates_pass,,1,0.0388,0.0491896,0.0958,0.979798,0.9895833,0.0416667,0.9583333,1,0.997046,0.995469,0.9934987,0.9940654,0.0423499,0.0281856
12,20260221,1,192,pass,all_branch_gates_pass,,1,0.043,0.0527229,0.09852,1.0858586,0.96875,0.0572917,0.9427083,1,0.9970331,0.9911477,0.9891532,0.9939437,0.0165408,0.0264662
13,20260216,1.1,192,pass,all_branch_gates_pass,,1,0.0398,0.0539313,0.10392,1.0050505,0.9635417,0.0520833,0.9479167,1,0.9976277,0.9941508,0.9918321,0.9929887,0.0726393,0.0292696
14,20260217,1.1,192,pass,all_branch_gates_pass,,1,0.0412,0.0527563,0.10576,1.040404,0.9791667,0.0572917,0.9427083,1,0.9972333,0.9890203,0.9867469,0.9930763,0.0099415,0.0281042
15,20260218,1.1,192,pass,all_branch_gates_pass,,1,0.0428,0.0513312,0.0932,1.0808081,0.953125,0.0677083,0.9322917,1,0.9971908,0.9974944,0.995518,0.9940505,0.0492575,0.0263421
16,20260219,1.1,192,pass,all_branch_gates_pass,,1,0.04,0.0487021,0.08836,1.010101,0.984375,0.046875,0.953125,1,0.9974336,0.9841343,0.9821112,0.9937641,-0.0134992,0.0281497
17,20260220,1.1,192,pass,all_branch_gates_pass,,1,0.0388,0.0491896,0.0958,0.979798,0.9895833,0.0416667,0.9583333,1,0.9970457,0.995483,0.9933427,0.9935559,0.0423498,0.0281855
18,20260221,1.1,192,pass,all_branch_gates_pass,,1,0.043,0.0527229,0.09852,1.0858586,0.96875,0.0572917,0.9427083,1,0.9970331,0.9910844,0.9889261,0.9934555,0.0165411,0.0264661
