candidate_id,gain,sat_mev,blend,sign_blend,all_constraints_pass,logft_constraint_pass,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,overfit_gap_qbeta,n_qbeta_gt3_holdout,n_logft_gt3_holdout,residue_max_pos_delta_n_qbeta_gt3,residue_max_pos_delta_n_logft_gt3,residue_max_pos_delta_top_priority_q_gt3,delta_holdout_p95_abs_z_qbeta_vs_pre,delta_holdout_p95_abs_z_logft_vs_pre,delta_overfit_gap_qbeta_vs_pre,delta_n_logft_gt3_holdout_vs_pre,stability_gate_pass_all,stability_violation_score,stability_violation_count,rank_stability_lock
lcand_0030,0.8,5.0,0.4,0.0,False,False,6420.897481471372,10.13681786001744,2524.6363876101027,1243,52,0,140,3,-140.6931768696095,0.4731369897324562,-136.7702010746757,4,False,57.86945878630675,5,6
lcand_0066,1.0,12.0,0.4,0.0,False,True,6435.681270865243,9.509872616227517,2552.160815205654,1245,48,0,92,3,-125.90938747573819,-0.15380825405746634,-109.24577347912418,0,False,54.577864910722745,2,1
lcand_0038,0.8,8.0,0.6,0.0,False,False,6459.195457025471,10.818659165190061,2572.1786710112306,1243,53,0,143,3,-102.39520131551035,1.154978294905078,-89.22791767354784,5,False,58.24931531075964,5,7
lcand_0042,0.8,12.0,0.4,0.0,False,False,6452.299514872841,10.946540702286844,2569.385366490658,1245,52,0,135,3,-109.29114346814004,1.2828598320018614,-92.02122219412058,4,False,57.75082989826849,5,5
lcand_0018,0.6,12.0,0.4,0.0,False,False,6472.006007352132,10.605103971120826,2589.810848235133,1244,55,0,145,3,-89.58465098884972,0.9414231008358431,-71.59574044964529,7,False,58.56658697291789,5,8
lcand_0062,1.0,8.0,0.6,0.0,False,False,6516.724810939717,9.93206138128118,2626.6058479825156,1244,49,0,95,3,-44.865847401264546,0.268380510996197,-34.80074070226283,1,False,54.912067907230686,5,4
lcand_0070,1.0,12.0,0.8,0.0,False,True,6529.430468819975,9.431637167038234,2651.1446661208956,1245,49,0,94,3,-32.16018952100603,-0.23204370324674883,-10.261922563882763,1,False,54.80768156102191,4,3
lcand_0006,0.6,5.0,0.4,0.0,False,False,6482.188257379518,11.418376178437873,2593.2159167279206,1243,59,0,142,3,-79.40240096146317,1.7546953081528898,-68.19067195685784,11,False,58.89184025157412,5,9
lcand_0060,1.0,8.0,0.4,0.0,False,True,6538.553276202733,9.417072133001572,2659.6861972020947,1245,49,0,93,3,-23.037382138248176,-0.24660873728341137,-1.7203914826836808,1,False,54.742593401740415,4,2
lcand_0000,0.6,3.0,0.4,0.0,False,False,6391.63136947094,14.99599069625043,2497.5941619219193,1242,88,0,112,2,-169.95928887004175,5.332309825965448,-163.8124267628591,40,False,60.4540798596137,5,11
lcand_0046,0.8,12.0,0.8,0.0,False,False,6540.122637803998,11.023511270031964,2662.860701669895,1243,57,0,144,3,-21.468020536983204,1.359830399746981,1.454112985116808,9,False,59.10724670374438,6,10
lcand_0068,1.0,12.0,0.6,0.0,False,True,6585.250981747325,9.488530965109863,2699.3862054182964,1245,49,0,91,3,23.660323406343196,-0.17514990517511997,37.979616733518014,1,False,71.20671851241258,5,16
lcand_0036,0.8,8.0,0.4,0.0,False,False,6566.601607309196,10.542869723561463,2679.3684260620967,1245,52,0,136,3,5.010948968214507,0.8791888532764798,17.96183737731826,4,False,63.68365626005517,7,14
lcand_0044,0.8,12.0,0.6,0.0,False,False,6600.341356236536,10.134652257660537,2715.1191318317424,1244,53,0,143,3,38.75069789555437,0.47097138737555433,53.71254314696398,5,False,83.19729502633479,7,18
lcand_0012,0.6,8.0,0.4,0.0,False,False,6599.710918177756,10.844274879812474,2713.9922510902816,1243,56,0,144,3,38.120259836774494,1.180594009527491,52.58566240550317,8,False,83.17857656750695,7,17
lcand_0022,0.6,12.0,0.8,0.0,False,False,6555.795188685237,13.021252477545575,2670.051977247568,1241,162,0,62,3,-5.795469655744455,3.357571607260592,8.645388562789776,114,False,66.78705655600227,5,15
lcand_0014,0.6,8.0,0.6,0.0,False,False,6498.568125367681,15.27014599317739,2615.5946870865605,1243,108,0,111,3,-63.02253297330026,5.606465122892407,-45.8119015982179,60,False,62.468554090840485,5,12
lcand_0054,1.0,5.0,0.4,0.0,False,False,6681.343762959518,11.856702614137788,2782.215385591215,1244,51,0,93,3,119.75310461853678,2.193021743852805,120.80879690643678,3,False,121.38361181653225,7,19
lcand_0020,0.6,12.0,0.6,0.0,False,False,6548.885213278564,16.084733146402307,2664.5047971602103,1243,94,0,123,3,-12.705445062417311,6.421052276117324,3.098208475431875,46,False,62.71739141176516,6,13
lcand_0024,0.8,3.0,0.4,0.0,False,False,6739.32504977625,11.786662333571236,2854.596996679734,1242,57,0,134,2,177.73439143526866,2.122981463286253,193.19040799495542,9,False,159.77739767252024,7,20
lcand_0015,0.6,8.0,0.6,0.1,False,False,6824.559938246998,10.475351692493412,2896.2032411191567,1240,197,0,28,2,262.9692799060167,0.8116708222084288,234.7966524343783,149,False,203.68886350579353,6,22
lcand_0023,0.6,12.0,0.8,0.1,False,False,6824.673319385412,10.568250888234337,2896.9016230599386,1241,205,0,11,2,263.0826610444301,0.9045700179493537,235.49503437516023,157,False,203.74613531268045,6,23
lcand_0021,0.6,12.0,0.6,0.1,False,False,6824.712367703978,11.118500858876715,2897.3495782494474,1240,197,0,26,2,263.1217093629966,1.4548199885917317,235.942989564669,149,False,204.01890083389998,6,24
lcand_0001,0.6,3.0,0.4,0.1,False,False,6822.870685586709,11.48857131435153,2890.4380990346026,1240,199,0,27,2,261.280027245728,1.824890444066547,229.0315103498242,151,False,201.96119692094177,6,21
