candidate_id,gain,sat_mev,blend,sign_blend,all_constraints_pass,logft_constraint_pass,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,overfit_gap_qbeta,n_qbeta_gt3_holdout,top_priority_q_gt3_after,residue_n,residue_reference,residue_all_qfail_nonregression,residue_all_logft_count_nonregression,residue_all_top_priority_nonregression,residue_all_logft_nonworsening,residue_all_overfit_nonworsening,residue_max_pos_delta_n_qbeta_gt3,residue_max_pos_delta_n_logft_gt3,residue_max_pos_delta_top_priority_q_gt3,residue_holdout_p95_abs_z_qbeta_spread,residue_holdout_p95_abs_z_logft_spread,residue_overfit_gap_qbeta_spread,delta_holdout_p95_abs_z_qbeta_vs_pre,delta_overfit_gap_qbeta_vs_pre,delta_n_logft_gt3_holdout_vs_pre,qbeta_nonworsening_pass,overfit_nonworsening_pass,qbeta_overfit_guard_pass,prelocal_logft_count_guard_pass,residue_logft_count_guard_pass,residue_logft_nonworsening_guard_pass,logft_rootcause_guard_pass,prelocal_logft_count_refrozen_pass,residue_logft_count_refrozen_pass,residue_logft_nonworsening_refrozen_pass,logft_rootcause_refrozen_guard_pass,norm_residue_max_pos_delta_top_priority_q_gt3,norm_residue_max_pos_delta_n_logft_gt3,norm_residue_max_pos_delta_n_qbeta_gt3,norm_residue_holdout_p95_abs_z_logft_spread,norm_residue_holdout_p95_abs_z_qbeta_spread,norm_delta_holdout_p95_abs_z_qbeta_vs_pre,norm_delta_overfit_gap_qbeta_vs_pre,residue_reweight_score,rank_residue_reweight
lcand_0030,0.8,5.0,0.4,0.0,False,False,6420.897481471372,10.13681786001744,2524.6363876101027,1243,109,5,0,True,False,False,False,False,0,140,3,4868.243380784029,3.8027215003293673,5657.4848785376635,-140.6931768696095,-136.7702010746757,4,True,True,True,False,False,False,False,False,False,True,False,1.0,0.9626865671641791,0.0,0.35951851934394763,0.03030578188477954,0.0,0.0,0.5107507231181859,12
lcand_0066,1.0,12.0,0.4,0.0,False,True,6435.681270865243,9.509872616227517,2552.160815205654,1245,109,5,0,True,False,False,False,False,0,92,3,4866.990879526902,7.397805772686084,5631.297039018582,-125.90938747573819,-109.24577347912418,0,True,True,True,True,False,False,False,True,True,True,True,1.0,0.6044776119402985,0.0,0.9742536409865968,0.0075791370191189665,0.0,0.0,0.5066102910988692,1
lcand_0038,0.8,8.0,0.6,0.0,False,False,6459.195457025471,10.818659165190061,2572.1786710112306,1243,109,5,0,True,False,False,False,False,0,143,3,4868.21481242397,3.696022114208658,5658.950246084704,-102.39520131551035,-89.22791767354784,5,True,True,True,False,False,False,False,False,False,True,False,1.0,0.9850746268656716,0.0,0.34127364519441555,0.029787408773572364,0.0,0.0,0.512930167793941,15
lcand_0042,0.8,12.0,0.4,0.0,False,False,6452.299514872841,10.946540702286844,2569.385366490658,1245,109,5,0,True,False,False,False,False,0,135,3,4869.128492955246,6.3557996957876295,5632.096097284306,-109.29114346814004,-92.02122219412058,4,True,True,True,False,False,False,False,False,False,True,False,1.0,0.9253731343283582,0.0,0.7960776417868226,0.04636614898386224,0.0,0.0,0.54849323580698,21
lcand_0018,0.6,12.0,0.4,0.0,False,False,6472.006007352132,10.605103971120826,2589.810848235133,1244,109,5,0,True,False,False,False,False,0,145,3,4871.663350902958,3.4369999381469736,5635.08823830896,-89.58465098884972,-71.59574044964529,7,True,True,True,False,False,False,False,False,False,True,False,1.0,1.0,0.0,0.29698260308066793,0.09236116578305073,0.0,0.0,0.5143163185972193,16
lcand_0062,1.0,8.0,0.6,0.0,False,False,6516.724810939717,9.93206138128118,2626.6058479825156,1244,109,5,0,True,False,False,False,False,0,95,3,4868.4570604042865,7.3620113269195215,5658.371848650067,-44.865847401264546,-34.80074070226283,1,True,True,True,False,False,False,False,False,False,True,False,1.0,0.6268656716417911,0.0,0.9681330325931767,0.0341830002244751,0.0,0.0,0.5113582741660638,13
lcand_0070,1.0,12.0,0.8,0.0,False,True,6529.430468819975,9.431637167038234,2651.1446661208956,1245,109,5,0,True,False,False,False,False,0,94,3,4867.671405652921,7.548375224635084,5660.4616323617465,-32.16018952100603,-10.261922563882763,1,True,True,True,False,False,False,False,False,False,True,False,1.0,0.6194029850746269,0.0,1.0,0.019927288767334312,0.0,0.0,0.5124889017517995,14
lcand_0006,0.6,5.0,0.4,0.0,False,False,6482.188257379518,11.418376178437873,2593.2159167279206,1243,109,5,0,True,False,False,False,False,0,142,3,4867.804036516542,4.529779509288913,5659.060958963137,-79.40240096146317,-68.19067195685784,11,True,True,True,False,False,False,False,False,False,True,False,1.0,0.9776119402985075,0.0,0.4838405267627102,0.02233387679954871,0.0,0.0,0.5254708957699799,19
lcand_0060,1.0,8.0,0.4,0.0,False,True,6538.553276202733,9.417072133001572,2659.6861972020947,1245,109,5,0,True,False,False,False,False,0,93,3,4867.578394645378,7.340472764331972,5669.596753608352,-23.037382138248176,-1.7203914826836808,1,True,True,True,False,False,False,False,False,False,True,False,1.0,0.6119402985074627,0.0,0.9644500839084759,0.018239603325898135,0.0,0.0,0.5075062422884857,11
lcand_0000,0.6,3.0,0.4,0.0,False,False,6391.63136947094,14.99599069625043,2497.5941619219193,1242,109,5,0,True,False,False,False,False,0,112,2,4866.573181327256,5.425078622316329,5611.013680014326,-169.95928887004175,-163.8124267628591,40,True,True,True,False,False,False,False,False,False,True,False,0.0,0.753731343283582,0.0,0.636930626314862,0.0,0.0,0.0,0.19936470442253096,2
