candidate_id,gain,sat_mev,blend,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,delta_holdout_p95_abs_z_logft_vs_pre,logft_constraint_pass,delta_n_qbeta_gt3_holdout_vs_pre,delta_top_priority_q_gt3_vs_pre,qfail_constraint_pass,top_priority_constraint_pass,all_constraints_pass,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,hard_fail_count,watch_fail_count,n_qbeta_gt3_holdout,n_logft_gt3_holdout,top_priority_class_after,top_priority_q_gt3_after,n_target_rows,n_changed_rows,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_holdout_p95_abs_z_logft,norm_overfit_gap_qbeta,norm_n_qbeta_gt3_holdout,score_weighted,rank_weighted,rank_constrained
lcand_0000,0.6,3.0,0.4,0.0,6391.63136947094,14.99599069625043,5.332309825965448,False,-2,0,True,True,False,298520.1698541509,3894.0372075490204,2497.5941619219193,False,3,3,1242,88,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4135471619621198,2.3743237542044096,True,0.0,0.6507328163767838,0.0,0.5714285714285714,0.22379127348446373,10,
lcand_0001,0.6,3.0,0.4,0.1,6822.870685586709,11.48857131435153,1.824890444066547,False,-4,0,True,True,False,303107.71288071404,3932.432586552107,2890.4380990346026,False,3,3,1240,199,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.49135989612372866,2.7689792419193453,False,0.6962138211953012,0.2416225440683011,0.5788055315290508,0.2857142857142857,0.5158298033499003,24,
lcand_0002,0.6,3.0,0.6,0.0,6973.11619385331,12.688569472313212,3.024888602028229,False,-4,0,True,True,False,296791.1624392753,3869.7232930149125,3103.392900838397,False,3,3,1240,191,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.6203207429431796,3.5614856313066148,False,0.938777510354938,0.38159199730990156,0.8925673224214815,0.2857142857142857,0.7297266576227031,57,
lcand_0003,0.6,3.0,0.6,0.1,6973.099579110357,11.500948968574205,1.837268098289222,False,-4,0,True,True,False,300966.761655784,3962.636884757169,3010.462694353188,False,3,3,1240,217,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.707760138173795,4.07398503099252,False,0.938750686702161,0.2430662908627997,0.75564649336374,0.2857142857142857,0.6607727092332746,42,
lcand_0004,0.6,3.0,0.8,0.0,6987.785688423169,10.986401749308015,1.3227208790230325,False,-4,0,True,True,False,294262.03021563456,3821.1883890088498,3166.597299414319,False,3,3,1240,212,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.8270943239242396,4.74864750840882,False,0.9624606591027751,0.18304878794428756,0.985690957678749,0.2857142857142857,0.6994458388009991,51,
lcand_0005,0.6,3.0,0.8,0.1,6954.375786021476,9.96591931992605,0.3022384496410666,False,-6,0,True,True,False,297835.04474022635,3942.1953535041976,3012.180432517279,False,3,3,1238,210,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.911267398334646,5.17211292779498,False,0.9085220803424846,0.0640182988259743,0.7581773618770783,0.0,0.579675898177326,29,
lcand_0006,0.6,5.0,0.4,0.0,6482.188257379518,11.418376178437873,1.7546953081528898,False,-1,0,True,True,False,298819.12522357935,3888.9723406515977,2593.2159167279206,False,3,3,1243,59,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.3706156694429257,1.99082160766987,False,0.14619946421921462,0.23343488583827224,0.14088648286902944,0.7142857142857143,0.19971180693821985,8,
lcand_0007,0.6,5.0,0.4,0.1,6824.27733525282,13.655145952699424,3.9914650824144413,False,-3,0,True,True,False,303471.27866141155,3929.1322755904503,2895.14505966237,False,3,3,1241,185,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4351191912327832,2.3603600883273708,False,0.6984847851416014,0.49433482160361086,0.5857406388087126,0.42857142857142855,0.6011952989851179,31,
lcand_0008,0.6,5.0,0.6,0.0,6980.973665437271,15.267085638811196,5.603404768526213,False,-3,0,True,True,False,297456.02853332565,3897.171519373797,3083.802146063474,False,3,3,1241,140,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5559235041643884,2.986232411504805,False,0.9514629963761955,0.6823537073215223,0.8637028392022787,0.42857142857142855,0.8270335998347719,68,
lcand_0009,0.6,5.0,0.6,0.1,6990.6290788068,10.7719598474003,1.108278977115317,False,-3,0,True,True,False,301778.701132832,3951.427737307117,3039.201341499683,False,3,3,1241,202,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.6299008913628059,3.4828449134808706,False,0.9670511674589437,0.15803598641374528,0.7979892314477482,0.42857142857142855,0.6636102389987694,44,
