scope,rank,group_key,n_rows,n_qbeta_gt3,n_logft_gt3,frac_qbeta_gt3,frac_logft_gt3,share_fail_qbeta,share_fail_logft,p95_abs_z_qbeta,max_abs_z_qbeta,p95_abs_z_logft,max_abs_z_logft,priority_score
transition_class,1,beta_minus|sigma_low|mode_inconsistent,109,109,8,1.0,0.8888888888888888,0.08755020080321285,0.16666666666666666,48060.42691731698,219411.40032497165,9.568836570256437,9.798237619099988,1402.752736477501
transition_class,2,beta_plus|sigma_low|mode_inconsistent,107,107,20,1.0,0.8695652173913043,0.0859437751004016,0.4166666666666667,40378.27975940232,216237.56078406726,6.609464880010567,6.74737612145935,1157.0752249593909
transition_class,3,beta_minus|sigma_low|mode_consistent,99,99,0,1.0,nan,0.07951807228915662,0.0,10545.479466141456,299767.97697455756,nan,nan,279.5187328374844
transition_class,4,beta_plus|sigma_low|mode_consistent,104,104,1,1.0,1.0,0.08353413654618475,0.020833333333333332,8239.431950535634,128126.88220823831,5.630351201615326,5.630351201615326,229.43829608773981
transition_class,5,beta_minus|sigma_mid|mode_inconsistent,123,123,5,1.0,1.0,0.09879518072289156,0.10416666666666667,889.0410424067078,1749.3777218318892,8.18157366649191,8.51422178137107,29.377085664854263
transition_class,6,beta_plus|sigma_mid|mode_inconsistent,111,111,7,1.0,0.875,0.0891566265060241,0.14583333333333334,735.8601946995963,1562.361827068978,9.277651532754955,9.509872616227517,22.026786445488817
transition_class,7,beta_minus|sigma_mid|mode_consistent,94,94,0,1.0,nan,0.07550200803212852,0.0,795.3463276062894,1800.720509614549,nan,nan,20.016748271751325
transition_class,8,beta_plus|sigma_mid|mode_consistent,103,102,1,0.9902912621359223,1.0,0.0819277108433735,0.020833333333333332,720.3211601387777,1787.0136642119849,5.975333376699967,5.975333376699967,19.68594462047274
transition_class,9,beta_plus|sigma_high|mode_consistent,144,133,0,0.9236111111111112,nan,0.10682730923694779,0.0,85.73741978449912,151.0868077494009,nan,nan,3.053032618832231
transition_class,10,beta_minus|sigma_high|mode_inconsistent,131,122,1,0.9312977099236641,1.0,0.09799196787148594,0.020833333333333332,86.07977482692067,165.45994786883858,9.546146204827338,9.546146204827338,2.834911281767073
transition_class,11,beta_minus|sigma_high|mode_consistent,87,85,1,0.9770114942528736,1.0,0.06827309236947791,0.020833333333333332,121.04771547506738,238.38868873117363,14.19253977505273,14.19253977505273,2.789263042978883
transition_class,12,beta_plus|sigma_high|mode_inconsistent,57,56,4,0.9824561403508771,1.0,0.04497991967871486,0.08333333333333333,110.12402310338531,239.53152105017008,8.919058241612884,9.373563938614566,1.7378363042003067
channel_sigma,1,beta_minus|sigma_low,208,208,8,1.0,0.8888888888888888,0.1670682730923695,0.16666666666666666,27774.316584800632,299767.97697455756,9.568836570256437,9.798237619099988,1546.9217634255547
channel_sigma,2,beta_plus|sigma_low,211,211,21,1.0,0.875,0.16947791164658635,0.4375,19831.824930472532,216237.56078406726,6.605279500053485,6.74737612145935,1120.6892355935458
channel_sigma,3,beta_minus|sigma_mid,217,217,5,1.0,1.0,0.1742971887550201,0.10416666666666667,848.2950532150007,1800.720509614549,8.18157366649191,8.51422178137107,49.38457651669633
channel_sigma,4,beta_plus|sigma_mid,214,213,8,0.9953271028037384,0.8888888888888888,0.1710843373493976,0.16666666666666666,736.4846391370166,1787.0136642119849,9.244477092258876,9.509872616227517,42.18008253949394
channel_sigma,5,beta_minus|sigma_high,218,207,2,0.9495412844036697,1.0,0.16626506024096385,0.041666666666666664,99.73151784471821,238.38868873117363,13.960220096541459,14.19253977505273,5.595151121816467
channel_sigma,6,beta_plus|sigma_high,201,189,4,0.9402985074626866,1.0,0.15180722891566265,0.08333333333333333,96.65675562475552,239.53152105017008,8.919058241612884,9.373563938614566,4.977777808695411
channel,1,beta_plus,626,613,33,0.9792332268370607,0.8918918918918919,0.4923694779116466,0.6875,6425.065067933701,216237.56078406726,8.951819832767644,9.509872616227517,1055.219988231378
channel,2,beta_minus,643,632,15,0.9828926905132193,0.9375,0.5076305220883535,0.3125,6224.088891187531,299767.97697455756,10.896813158088174,14.19253977505273,1053.5764440990044
sigma_band,1,sigma_low,419,419,29,1.0,0.8787878787878788,0.3365461847389558,0.6041666666666666,23946.560500634558,299767.97697455756,8.489270181265573,9.798237619099988,2686.9729003442953
sigma_band,2,sigma_mid,431,430,13,0.9976798143851509,0.9285714285714286,0.3453815261044177,0.2708333333333333,779.8803740893702,1800.720509614549,9.078604889778475,9.509872616227517,90.07228329012703
sigma_band,3,sigma_high,419,396,6,0.9451073985680191,1.0,0.3180722891566265,0.125,99.35152003486152,239.53152105017008,13.030941382496382,14.19253977505273,10.723689698054354
mode_tag,1,mode_inconsistent,638,628,45,0.9843260188087775,0.9,0.5044176706827309,0.9375,11698.936160448602,219411.40032497165,9.448533711301689,9.798237619099988,1968.0834758811588
mode_tag,2,mode_consistent,631,617,3,0.9778129952456418,1.0,0.4955823293172691,0.0625,3415.9877832650045,299767.97697455756,13.370819135217452,14.19253977505273,564.3985564061295
nuclide,1,8li,2,2,0,1.0,nan,0.001606425702811245,0.0,289813.938836919,299767.97697455756,nan,nan,155.18818679353095
nuclide,2,20f,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,208701.53845379062,219411.40032497165,5.70396132024269,5.70396132024269,111.76836899101514
nuclide,3,20ne,2,2,0,1.0,nan,0.001606425702811245,0.0,206007.6618662418,216237.56078406726,nan,nan,110.31200099932626
nuclide,4,42sc,2,2,0,1.0,nan,0.001606425702811245,0.0,122903.59112666048,128126.88220823831,nan,nan,65.81182925122383
nuclide,5,115in,2,2,0,1.0,nan,0.001606425702811245,0.0,112557.15003116716,118299.01474537417,nan,nan,60.271566281749486
nuclide,6,34cl,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,103854.33508113696,103907.25334982149,4.427037447164402,4.427037447164402,55.622184568031855
nuclide,7,87rb,2,2,0,1.0,nan,0.001606425702811245,0.0,80794.01575214039,84049.2420794009,nan,nan,43.263194512524976
nuclide,8,28si,2,2,0,1.0,nan,0.001606425702811245,0.0,80462.54164713362,84117.67209606129,nan,nan,43.0856983384919
nuclide,9,23na,2,2,0,1.0,nan,0.001606425702811245,0.0,72302.79905754284,73846.80259220509,nan,nan,38.716358263744496
nuclide,10,9li,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,62584.95612968381,65861.52802206839,7.998960304115217,7.998960304115217,33.532135962751916
nuclide,11,46v,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,56113.328040929046,59035.06326018463,5.079203757841169,5.079203757841169,30.05964276532055
nuclide,12,25mg,2,2,0,1.0,nan,0.001606425702811245,0.0,54687.31481746118,57394.339690943634,nan,nan,29.283702713499963
nuclide,13,11b,2,2,0,1.0,nan,0.001606425702811245,0.0,50714.51702607591,53119.40924244945,nan,nan,27.15636788544895
nuclide,14,36k,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,32634.472050142016,34338.558100434195,6.462090241113724,6.462090241113724,17.49065803567715
nuclide,15,36ar,2,2,0,1.0,nan,0.001606425702811245,0.0,32508.92875148178,34059.55775687733,nan,nan,17.40772623907994
nuclide,16,124sb,2,2,0,1.0,nan,0.001606425702811245,0.0,27083.322392491515,28451.839460195795,nan,nan,14.502448402940571
nuclide,17,40k,2,2,0,1.0,nan,0.001606425702811245,0.0,25842.573594402613,26516.059816209738,nan,nan,13.838058149613179
nuclide,18,62zn,2,2,0,1.0,nan,0.001606425702811245,0.0,21368.464918129117,22426.95998069633,nan,nan,11.442283758034334
nuclide,19,37k,2,2,1,1.0,1.0,0.001606425702811245,0.020833333333333332,19834.15004317449,19971.446639362406,4.687205965451869,4.687205965451869,10.632088655422786
nuclide,20,19ne,2,2,0,1.0,nan,0.001606425702811245,0.0,19080.102776629552,20037.15160654804,nan,nan,10.216922504219305
