rank_retune,target_class_key,target_class_keys,n_target_classes,logft_count_max_delta_allowed,residue_logft_count_max_delta_allowed,class_top_weight,class_logft_weight,n_candidates_evaluated,n_candidates_guard_pass,n_candidates_root_guard_pass,n_candidates_combined_guard_pass,stable_candidates_n,stability_mode,watch3_all_true_candidates_n,watch3_all_true_candidates_ratio,best_candidate_id,best_residue_reweight_score,best_holdout_p95_abs_z_qbeta,best_holdout_p95_abs_z_logft,best_overfit_gap_qbeta,best_stability_hard_metric_score,best_stability_violation_score
1,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,95,1.4,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
2,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,95,1.4,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
3,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,95,1.6,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
4,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,95,1.6,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
5,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,100,1.4,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
6,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,100,1.4,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
7,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,100,1.6,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
8,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,0,100,1.6,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
9,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,95,1.4,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
10,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,95,1.4,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
11,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,95,1.6,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
12,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,95,1.6,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
13,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,100,1.4,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
14,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,100,1.4,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
15,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,100,1.6,1.2,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
16,beta_minus|sigma_low|mode_inconsistent,beta_minus|sigma_low|mode_inconsistent;beta_plus|sigma_low|mode_inconsistent;beta_minus|sigma_low|mode_consistent,3,1,100,1.6,1.4,1,0,1,0,0,reject_locked,0,0.0,lcand_0000,0.0,6912.325724506914,10.044649762433085,3037.795997848355,0.0,315.37291404998393
