window_ns,offset_ns,pairs_total,N00,N01,N10,N11,E00,E01,E10,E11,S_canonical,S_fixed,S_fixed_abs,S_best,S_best_abs,S_best_swap_a,S_best_swap_b,S_best_sign00,S_best_sign01,S_best_sign10,S_best_sign11
0.25,3.0923581266423317,4366,1429,1099,695,1143,-0.9552134359692093,-0.6706096451319381,-0.050359712230215826,-0.9405074365704287,-0.7356753567609344,-2.51597080544136,2.51597080544136,2.51597080544136,2.51597080544136,False,False,-1,-1,1,-1
0.5,3.0923581266423317,8494,2722,2146,1507,2119,-0.9426891991182954,-0.6374650512581547,0.08029197080291971,-0.9244926852288815,-0.5753695943446488,-2.5849389064082513,2.5849389064082513,2.5849389064082513,2.5849389064082513,False,False,-1,-1,1,-1
0.75,3.0923581266423317,11954,3746,3039,2279,2890,-0.9209823812066203,-0.5577492596248766,0.20403685827117157,-0.9058823529411765,-0.36881242961914895,-2.5886508520438447,2.5886508520438447,2.588650852043845,2.588650852043845,False,False,-1,-1,1,-1
1.0,3.0923581266423317,14147,4286,3591,2904,3366,-0.9057396173588428,-0.4876079086605402,0.2892561983471074,-0.8805704099821747,-0.22352091769010096,-2.5631741343486656,2.5631741343486656,-2.5631741343486656,2.5631741343486656,False,True,1,1,1,-1
1.5,3.0923581266423317,16064,4649,4116,3560,3739,-0.8838459883845988,-0.42808551992225463,0.36797752808988765,-0.8491575287510029,-0.09479645146596294,-2.529066565147744,2.529066565147744,2.529066565147744,2.529066565147744,False,False,-1,-1,1,-1
2.0,3.0923581266423317,16688,4737,4298,3772,3881,-0.8775596369009921,-0.41321544904606794,0.3828207847295864,-0.841793352228807,-0.06616094898866676,-2.5153892229054535,2.5153892229054535,2.5153892229054535,2.5153892229054535,False,False,-1,-1,1,-1
3.0,3.0923581266423317,17352,4828,4485,3968,4071,-0.8753106876553438,-0.4149386845039019,0.3941532258064516,-0.8354212724146401,-0.06067487393815407,-2.5198238703803377,2.5198238703803377,-2.5198238703803377,2.5198238703803377,False,True,1,1,1,-1
4.0,3.0923581266423317,17720,4863,4603,4067,4187,-0.8729179518815546,-0.41255702802520094,0.3936562576837964,-0.8309051827083831,-0.06091353951457601,-2.510036420298935,2.510036420298935,2.510036420298935,2.510036420298935,False,False,-1,-1,1,-1
6.0,3.0923581266423317,18145,4897,4701,4225,4322,-0.8676740861752094,-0.4154435226547543,0.39076923076923076,-0.8232299861175382,-0.06911839194319469,-2.4971168257167324,2.4971168257167324,2.4971168257167324,2.4971168257167324,False,False,-1,-1,1,-1
8.0,3.0923581266423317,18461,4911,4765,4316,4469,-0.8647933211158624,-0.41280167890870934,0.39202965708989806,-0.8214365629894831,-0.06412877994519062,-2.491061220103953,2.491061220103953,2.491061220103953,2.491061220103953,False,False,-1,-1,1,-1
10.0,3.0923581266423317,18746,4924,4832,4387,4603,-0.8619008935824533,-0.41183774834437087,0.3954866651470253,-0.8209863132739518,-0.057265663505847164,-2.4902116203478015,2.4902116203478015,-2.4902116203478015,2.4902116203478015,False,True,1,1,1,-1
