topic,status,previous_file_count,current_file_count,delta_file_count,previous_total_size_bytes,current_total_size_bytes,delta_total_size_bytes
cassini,unchanged,8,8,0,7613773,7613773,0
cosmology,unchanged,38,38,0,20580059,20580059,0
eht,unchanged,13,13,0,1239915,1239915,0
gps,unchanged,6,6,0,2253550,2253550,0
gw,unchanged,84,84,0,8557985,8557985,0
llr,unchanged,16,16,0,848975,848975,0
mercury,unchanged,3,3,0,840186,840186,0
pulsar,unchanged,2,2,0,136710,136710,0
quantum,unchanged,677,677,0,116488162,116488162,0
summary,unchanged,6,6,0,185396,185396,0
theory,unchanged,13,13,0,620383,620383,0
viking,unchanged,2,2,0,187830,187830,0
weak_field,unchanged,6,6,0,235695,235695,0
xrism,unchanged,5,5,0,223608,223608,0
