is_baseline,compactness_c,core_radius_m,event_horizon_formed,event_horizon_gr_proxy,gtt_min,compactness_max_2gm_over_rc2,central_density_kg_m3,curvature_kretschmann_center_m4,central_quantity_finite,numerical_stability_pass
0,0.2,4.7991765e+13,0,0,0.61650932,0.21165347,0.02791539,3.6193813e-55,1,1
0,0.20993393,4.5720828e+13,0,0,0.60187462,0.22216622,0.03228505,4.8411677e-55,1,1
0,0.22036127,4.3557351e+13,0,0,0.58688657,0.23320114,0.03733872,6.4753898e-55,1,1
0,0.23130653,4.1496248e+13,0,0,0.57155542,0.24478415,0.04318345,8.6612726e-55,1,1
0,0.24279544,3.9532674e+13,0,0,0.55589341,0.25694249,0.04994307,1.1585039e-54,1,1
0,0.254855,3.7662016e+13,0,0,0.53991494,0.26970473,0.05776079,1.5495775e-54,1,1
0,0.26751355,3.5879876e+13,0,0,0.52363666,0.28310086,0.06680224,2.0726648e-54,1,1
0,0.28080085,3.4182065e+13,0,0,0.50707754,0.29716238,0.07725897,2.7723296e-54,1,1
0,0.29474812,3.2564594e+13,0,0,0.49025894,0.31192232,0.08935252,3.7081787e-54,1,1
0,0.30938815,3.102366e+13,0,0,0.47320473,0.32741539,0.1033391,4.9599403e-54,1,1
0,0.32475535,2.9555643e+13,0,0,0.45594125,0.34367799,0.11951504,6.6342561e-54,1,1
0,0.34088583,2.815709e+13,0,0,0.43849739,0.36074835,0.13822305,8.8737671e-54,1,1
0,0.3578175,2.6824717e+13,0,0,0.42090458,0.37866658,0.15985947,1.1869265e-53,1,1
0,0.37559016,2.555539e+13,0,0,0.40319672,0.39747481,0.18488269,1.5875946e-53,1,1
0,0.39424558,2.4346127e+13,0,0,0.38541017,0.41721724,0.21382287,2.1235153e-53,1,1
0,0.41382762,2.3194085e+13,0,0,0.3675836,0.43794026,0.24729313,2.8403456e-53,1,1
0,0.43438228,2.2096557e+13,0,0,0.34975789,0.45969259,0.28600257,3.7991546e-53,1,1
0,0.45595789,2.1050964e+13,0,0,0.33197595,0.48252535,0.33077131,5.0816267e-53,1,1
0,0.47860515,2.0054847e+13,0,0,0.31428248,0.50649221,0.38254782,6.7970201e-53,1,1
0,0.50237729,1.9105866e+13,0,0,0.29672371,0.53164949,0.44242904,9.0914748e-53,1,1
0,0.52733018,1.820179e+13,0,0,0.27934711,0.55805632,0.51168363,1.2160464e-52,1,1
0,0.55352247,1.7340494e+13,0,0,0.26220101,0.58577477,0.59177882,1.6265444e-52,1,1
0,0.58101573,1.6519954e+13,0,0,0.24533423,0.61486999,0.68441152,2.1756133e-52,1,1
0,0.60987457,1.5738241e+13,0,0,0.2287956,0.64541035,0.79154426,2.9100302e-52,1,1
0,0.64016681,1.4993519e+13,0,0,0.21263349,0.67746764,0.91544677,3.8923626e-52,1,1
0,0.67196366,1.4284036e+13,0,0,0.19689532,0.71111721,1.05874408,5.2062987e-52,1,1
0,0.70533984,1.3608125e+13,0,0,0.18162696,0.74643814,1.22447208,6.9637772e-52,1,1
0,0.74037381,1.2964198e+13,0,0,0.16687223,0.78351344,1.41614193,9.3145238e-52,1,1
0,0.7771479,1.2350742e+13,0,0,0.15267228,0.82243027,1.63781437,1.2458807e-51,1,1
0,0.81574855,1.1766313e+13,0,0,0.13906501,0.86328007,1.89418578,1.6664498e-51,1,1
0,0.85626648,1.120954e+13,0,0,0.12608453,0.90615887,2.19068768,2.2289895e-51,1,1
0,0.89879692,1.0679112e+13,0,0,0.11376064,0.95116745,2.53360181,2.9814245e-51,1,1
0,0.94343983,1.0173784e+13,0,0,0.10211828,0.99841158,2.9301932,3.9878573e-51,1,1
0,0.99030013,9.6923677e+12,0,1,0.09117715,1.04800232,3.38886408,5.3340293e-51,1,1
0,1.03948797,9.2337316e+12,0,1,0.08095132,1.1000562,3.91933193,7.1346255e-51,1,1
0,1.09111896,8.7967979e+12,0,1,0.07144895,1.15469559,4.53283531,9.543045e-51,1,1
0,1.14531443,8.3805396e+12,0,1,0.0626721,1.21204889,5.242372,1.2764469e-50,1,1
0,1.20220177,7.9839784e+12,0,1,0.05461669,1.27225091,6.06297434,1.7073342e-50,1,1
0,1.26191469,7.6061822e+12,0,1,0.04727252,1.33544314,7.01202773,2.2836752e-50,1,1
0,1.32459352,7.246263e+12,0,1,0.04062348,1.4017741,8.10963895,3.0545703e-50,1,1
0,1.39038559,6.9033749e+12,0,1,0.03464779,1.4713997,9.37906216,4.0856948e-50,1,1
