doc_id,check_id,value,reference,residual,status
part1_2_7_4,nonlinear_pde,1,1,0,pass
part1_2_7_4,approx_order,0,1,-1,reject
part1_2_7_4,boundary_conditions,1,1,0,pass
part1_2_7_4,closure_gate,0,1,-1,reject
part2_4_16,nonlinear_pde,1,1,0,pass
part2_4_16,approx_order,1,1,0,pass
part2_4_16,boundary_conditions,0,1,-1,reject
part2_4_16,closure_gate,1,1,0,pass
part4_12,artifact_links,0,1,-1,reject
part4_12,script_link,1,1,0,pass
cross,caseb_nonlinear_pde_closure_pass,1,1,0,pass
cross,caseb_boundary_closure_pass,1,1,0,pass
cross,direct_boundary_closure_pass,1,1,0,pass
cross,flux_value_consistency,0.0,0.0,0.0,pass
