q_B,exponent_mismatch_abs_2_minus_4q,closure_flag
0.2,1.2,mismatch
0.201,1.196,mismatch
0.202,1.192,mismatch
0.203,1.188,mismatch
0.20400000000000001,1.184,mismatch
0.20500000000000002,1.18,mismatch
0.20600000000000002,1.176,mismatch
0.20700000000000002,1.172,mismatch
0.20800000000000002,1.168,mismatch
0.20900000000000002,1.164,mismatch
0.21000000000000002,1.16,mismatch
0.21100000000000002,1.156,mismatch
0.21200000000000002,1.152,mismatch
0.21300000000000002,1.148,mismatch
0.21400000000000002,1.144,mismatch
0.21500000000000002,1.14,mismatch
0.21600000000000003,1.136,mismatch
0.21700000000000003,1.132,mismatch
0.21800000000000003,1.128,mismatch
0.21900000000000003,1.1239999999999999,mismatch
0.22000000000000003,1.1199999999999999,mismatch
0.22100000000000003,1.1159999999999999,mismatch
0.22200000000000003,1.1119999999999999,mismatch
0.22300000000000003,1.1079999999999999,mismatch
0.22400000000000003,1.1039999999999999,mismatch
0.225,1.1,mismatch
0.226,1.096,mismatch
0.227,1.092,mismatch
0.228,1.088,mismatch
0.229,1.084,mismatch
0.23,1.08,mismatch
0.231,1.076,mismatch
0.232,1.072,mismatch
0.233,1.068,mismatch
0.234,1.064,mismatch
0.23500000000000001,1.06,mismatch
0.23600000000000002,1.056,mismatch
0.23700000000000002,1.052,mismatch
0.23800000000000002,1.048,mismatch
0.23900000000000002,1.044,mismatch
0.24000000000000002,1.04,mismatch
0.24100000000000002,1.036,mismatch
0.24200000000000002,1.032,mismatch
0.24300000000000002,1.028,mismatch
0.24400000000000002,1.024,mismatch
0.24500000000000002,1.02,mismatch
0.24600000000000002,1.016,mismatch
0.24700000000000003,1.012,mismatch
0.24800000000000003,1.008,mismatch
0.24900000000000003,1.004,mismatch
0.25,1.0,mismatch
0.251,0.996,mismatch
0.252,0.992,mismatch
0.253,0.988,mismatch
0.254,0.984,mismatch
0.255,0.98,mismatch
0.256,0.976,mismatch
0.257,0.972,mismatch
0.258,0.968,mismatch
0.259,0.964,mismatch
0.26,0.96,mismatch
0.261,0.956,mismatch
0.262,0.952,mismatch
0.263,0.948,mismatch
0.264,0.944,mismatch
0.265,0.94,mismatch
0.266,0.9359999999999999,mismatch
0.267,0.9319999999999999,mismatch
0.268,0.9279999999999999,mismatch
0.269,0.9239999999999999,mismatch
0.27,0.9199999999999999,mismatch
0.271,0.9159999999999999,mismatch
0.272,0.9119999999999999,mismatch
0.273,0.9079999999999999,mismatch
0.274,0.9039999999999999,mismatch
0.275,0.8999999999999999,mismatch
0.276,0.8959999999999999,mismatch
0.277,0.8919999999999999,mismatch
0.278,0.8879999999999999,mismatch
0.279,0.8839999999999999,mismatch
0.28,0.8799999999999999,mismatch
0.281,0.8759999999999999,mismatch
0.28200000000000003,0.8719999999999999,mismatch
0.28300000000000003,0.8679999999999999,mismatch
0.28400000000000003,0.8639999999999999,mismatch
0.28500000000000003,0.8599999999999999,mismatch
0.28600000000000003,0.8559999999999999,mismatch
0.28700000000000003,0.8519999999999999,mismatch
0.28800000000000003,0.8479999999999999,mismatch
0.28900000000000003,0.8439999999999999,mismatch
0.29000000000000004,0.8399999999999999,mismatch
0.29100000000000004,0.8359999999999999,mismatch
0.29200000000000004,0.8319999999999999,mismatch
0.29300000000000004,0.8279999999999998,mismatch
0.29400000000000004,0.8239999999999998,mismatch
0.29500000000000004,0.8199999999999998,mismatch
0.29600000000000004,0.8159999999999998,mismatch
0.29700000000000004,0.8119999999999998,mismatch
0.29800000000000004,0.8079999999999998,mismatch
0.29900000000000004,0.8039999999999998,mismatch
0.30000000000000004,0.7999999999999998,mismatch
0.30100000000000005,0.7959999999999998,mismatch
0.30200000000000005,0.7919999999999998,mismatch
0.30300000000000005,0.7879999999999998,mismatch
0.30400000000000005,0.7839999999999998,mismatch
