time_utc,shapiro_delay_us
1976-11-01T00:00:00+00:00,117.7716
1976-11-01T04:00:00+00:00,118.0477
1976-11-01T08:00:00+00:00,118.3259
1976-11-01T12:00:00+00:00,118.6059
1976-11-01T16:00:00+00:00,118.8879
1976-11-01T20:00:00+00:00,119.1719
1976-11-02T00:00:00+00:00,119.4579
1976-11-02T04:00:00+00:00,119.7460
1976-11-02T08:00:00+00:00,120.0361
1976-11-02T12:00:00+00:00,120.3283
1976-11-02T16:00:00+00:00,120.6227
1976-11-02T20:00:00+00:00,120.9193
1976-11-03T00:00:00+00:00,121.2180
1976-11-03T04:00:00+00:00,121.5191
1976-11-03T08:00:00+00:00,121.8223
1976-11-03T12:00:00+00:00,122.1279
1976-11-03T16:00:00+00:00,122.4358
1976-11-03T20:00:00+00:00,122.7461
1976-11-04T00:00:00+00:00,123.0589
1976-11-04T04:00:00+00:00,123.3740
1976-11-04T08:00:00+00:00,123.6917
1976-11-04T12:00:00+00:00,124.0119
1976-11-04T16:00:00+00:00,124.3347
1976-11-04T20:00:00+00:00,124.6601
1976-11-05T00:00:00+00:00,124.9882
1976-11-05T04:00:00+00:00,125.3189
1976-11-05T08:00:00+00:00,125.6524
1976-11-05T12:00:00+00:00,125.9888
1976-11-05T16:00:00+00:00,126.3279
1976-11-05T20:00:00+00:00,126.6700
1976-11-06T00:00:00+00:00,127.0150
1976-11-06T04:00:00+00:00,127.3630
1976-11-06T08:00:00+00:00,127.7140
1976-11-06T12:00:00+00:00,128.0682
1976-11-06T16:00:00+00:00,128.4255
1976-11-06T20:00:00+00:00,128.7860
1976-11-07T00:00:00+00:00,129.1498
1976-11-07T04:00:00+00:00,129.5170
1976-11-07T08:00:00+00:00,129.8875
1976-11-07T12:00:00+00:00,130.2615
1976-11-07T16:00:00+00:00,130.6390
1976-11-07T20:00:00+00:00,131.0201
1976-11-08T00:00:00+00:00,131.4049
1976-11-08T04:00:00+00:00,131.7935
1976-11-08T08:00:00+00:00,132.1858
1976-11-08T12:00:00+00:00,132.5820
1976-11-08T16:00:00+00:00,132.9822
1976-11-08T20:00:00+00:00,133.3865
1976-11-09T00:00:00+00:00,133.7948
1976-11-09T04:00:00+00:00,134.2074
1976-11-09T08:00:00+00:00,134.6243
1976-11-09T12:00:00+00:00,135.0456
1976-11-09T16:00:00+00:00,135.4713
1976-11-09T20:00:00+00:00,135.9017
1976-11-10T00:00:00+00:00,136.3367
1976-11-10T04:00:00+00:00,136.7766
1976-11-10T08:00:00+00:00,137.2213
1976-11-10T12:00:00+00:00,137.6710
1976-11-10T16:00:00+00:00,138.1259
1976-11-10T20:00:00+00:00,138.5860
1976-11-11T00:00:00+00:00,139.0514
1976-11-11T04:00:00+00:00,139.5223
1976-11-11T08:00:00+00:00,139.9989
1976-11-11T12:00:00+00:00,140.4812
1976-11-11T16:00:00+00:00,140.9694
1976-11-11T20:00:00+00:00,141.4637
1976-11-12T00:00:00+00:00,141.9641
1976-11-12T04:00:00+00:00,142.4709
1976-11-12T08:00:00+00:00,142.9842
1976-11-12T12:00:00+00:00,143.5042
1976-11-12T16:00:00+00:00,144.0311
1976-11-12T20:00:00+00:00,144.5650
1976-11-13T00:00:00+00:00,145.1061
1976-11-13T04:00:00+00:00,145.6547
1976-11-13T08:00:00+00:00,146.2109
1976-11-13T12:00:00+00:00,146.7750
1976-11-13T16:00:00+00:00,147.3471
1976-11-13T20:00:00+00:00,147.9276
1976-11-14T00:00:00+00:00,148.5166
1976-11-14T04:00:00+00:00,149.1144
1976-11-14T08:00:00+00:00,149.7213
1976-11-14T12:00:00+00:00,150.3376
1976-11-14T16:00:00+00:00,150.9636
1976-11-14T20:00:00+00:00,151.5994
1976-11-15T00:00:00+00:00,152.2456
1976-11-15T04:00:00+00:00,152.9024
1976-11-15T08:00:00+00:00,153.5701
1976-11-15T12:00:00+00:00,154.2492
1976-11-15T16:00:00+00:00,154.9401
1976-11-15T20:00:00+00:00,155.6430
1976-11-16T00:00:00+00:00,156.3585
1976-11-16T04:00:00+00:00,157.0871
1976-11-16T08:00:00+00:00,157.8291
1976-11-16T12:00:00+00:00,158.5852
1976-11-16T16:00:00+00:00,159.3558
1976-11-16T20:00:00+00:00,160.1415
1976-11-17T00:00:00+00:00,160.9429
1976-11-17T04:00:00+00:00,161.7606
1976-11-17T08:00:00+00:00,162.5954
1976-11-17T12:00:00+00:00,163.4479
1976-11-17T16:00:00+00:00,164.3188
1976-11-17T20:00:00+00:00,165.2091
1976-11-18T00:00:00+00:00,166.1195
1976-11-18T04:00:00+00:00,167.0509
1976-11-18T08:00:00+00:00,168.0045
1976-11-18T12:00:00+00:00,168.9811
1976-11-18T16:00:00+00:00,169.9819
1976-11-18T20:00:00+00:00,171.0082
1976-11-19T00:00:00+00:00,172.0612
1976-11-19T04:00:00+00:00,173.1424
1976-11-19T08:00:00+00:00,174.2532
1976-11-19T12:00:00+00:00,175.3953
1976-11-19T16:00:00+00:00,176.5704
1976-11-19T20:00:00+00:00,177.7804
1976-11-20T00:00:00+00:00,179.0275
1976-11-20T04:00:00+00:00,180.3138
1976-11-20T08:00:00+00:00,181.6419
1976-11-20T12:00:00+00:00,183.0144
1976-11-20T16:00:00+00:00,184.4343
1976-11-20T20:00:00+00:00,185.9048
1976-11-21T00:00:00+00:00,187.4294
1976-11-21T04:00:00+00:00,189.0120
1976-11-21T08:00:00+00:00,190.6570
1976-11-21T12:00:00+00:00,192.3692
1976-11-21T16:00:00+00:00,194.1537
1976-11-21T20:00:00+00:00,196.0164
1976-11-22T00:00:00+00:00,197.9638
1976-11-22T04:00:00+00:00,200.0030
1976-11-22T08:00:00+00:00,202.1420
1976-11-22T12:00:00+00:00,204.3894
1976-11-22T16:00:00+00:00,206.7548
1976-11-22T20:00:00+00:00,209.2484
1976-11-23T00:00:00+00:00,211.8810
1976-11-23T04:00:00+00:00,214.6635
1976-11-23T08:00:00+00:00,217.6062
1976-11-23T12:00:00+00:00,220.7171
1976-11-23T16:00:00+00:00,223.9995
1976-11-23T20:00:00+00:00,227.4467
1976-11-24T00:00:00+00:00,231.0344
1976-11-24T04:00:00+00:00,234.7075
1976-11-24T08:00:00+00:00,238.3606
1976-11-24T12:00:00+00:00,241.8135
1976-11-24T16:00:00+00:00,244.7941
1976-11-24T20:00:00+00:00,246.9542
1976-11-25T00:00:00+00:00,247.9552
1976-11-25T04:00:00+00:00,247.6107
1976-11-25T08:00:00+00:00,245.9880
1976-11-25T12:00:00+00:00,243.3699
1976-11-25T16:00:00+00:00,240.1153
1976-11-25T20:00:00+00:00,236.5392
1976-11-26T00:00:00+00:00,232.8658
1976-11-26T04:00:00+00:00,229.2340
1976-11-26T08:00:00+00:00,225.7206
1976-11-26T12:00:00+00:00,222.3631
1976-11-26T16:00:00+00:00,219.1754
1976-11-26T20:00:00+00:00,216.1583
1976-11-27T00:00:00+00:00,213.3058
1976-11-27T04:00:00+00:00,210.6083
1976-11-27T08:00:00+00:00,208.0552
1976-11-27T12:00:00+00:00,205.6356
1976-11-27T16:00:00+00:00,203.3387
1976-11-27T20:00:00+00:00,201.1549
1976-11-28T00:00:00+00:00,199.0750
1976-11-28T04:00:00+00:00,197.0906
1976-11-28T08:00:00+00:00,195.1943
1976-11-28T12:00:00+00:00,193.3793
1976-11-28T16:00:00+00:00,191.6394
1976-11-28T20:00:00+00:00,189.9692
1976-11-29T00:00:00+00:00,188.3635
1976-11-29T04:00:00+00:00,186.8180
1976-11-29T08:00:00+00:00,185.3284
1976-11-29T12:00:00+00:00,183.8911
1976-11-29T16:00:00+00:00,182.5026
1976-11-29T20:00:00+00:00,181.1600
1976-11-30T00:00:00+00:00,179.8604
1976-11-30T04:00:00+00:00,178.6012
1976-11-30T08:00:00+00:00,177.3801
1976-11-30T12:00:00+00:00,176.1949
1976-11-30T16:00:00+00:00,175.0437
1976-11-30T20:00:00+00:00,173.9245
1976-12-01T00:00:00+00:00,172.8358
1976-12-01T04:00:00+00:00,171.7759
1976-12-01T08:00:00+00:00,170.7433
1976-12-01T12:00:00+00:00,169.7368
1976-12-01T16:00:00+00:00,168.7551
1976-12-01T20:00:00+00:00,167.7971
1976-12-02T00:00:00+00:00,166.8615
1976-12-02T04:00:00+00:00,165.9475
1976-12-02T08:00:00+00:00,165.0541
1976-12-02T12:00:00+00:00,164.1804
1976-12-02T16:00:00+00:00,163.3255
1976-12-02T20:00:00+00:00,162.4886
1976-12-03T00:00:00+00:00,161.6692
1976-12-03T04:00:00+00:00,160.8663
1976-12-03T08:00:00+00:00,160.0795
1976-12-03T12:00:00+00:00,159.3080
1976-12-03T16:00:00+00:00,158.5513
1976-12-03T20:00:00+00:00,157.8089
1976-12-04T00:00:00+00:00,157.0802
