obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-1.2430176521668238e-12,-2.3313869989163936e-04,-2.3314314595722309e-04,4.4460655837302507e-09,2.1085410381709003e-11,0
1,-3.7786419406696325e-11,-1.2488777879029935e-04,-1.2484606891312669e-04,-4.1709877172664382e-08,4.5019406942222659e-12,0
2,1.9261600836873483e-10,8.3845494228064650e-07,8.1973623475129864e-07,1.8718707529347860e-08,2.7023743728855531e-12,0
3,9.7807478258294967e-11,-2.4377101081282139e-06,-2.4452524705955805e-06,7.5423624673665936e-09,2.5424185282606563e-12,0
4,-3.6543401748896009e-11,1.0825086275490978e-04,1.0829830176477075e-04,-4.7439009860970145e-08,4.1894866046306503e-11,0
5,1.9385902567146388e-10,2.3397712719691512e-04,2.3395751604055685e-04,1.9611156358269538e-08,2.5899291155510427e-11,0
6,9.9050495570429274e-11,2.3070096186134179e-04,2.3068907955314561e-04,1.1882308196186839e-08,2.8310295562329332e-11,0
7,2.3040242745792686e-10,1.2572622753510843e-04,1.2567343895848333e-04,5.2788576625093170e-08,5.0213481263086364e-12,0
8,1.3559389735464851e-10,1.2245007094373837e-04,1.2239834932181316e-04,5.1721621925209264e-08,4.5055277653113700e-12,0
9,-9.4808530113232274e-11,-3.2761660873864389e-06,-3.2603450139068678e-06,-1.5821073479571016e-08,2.1490717585641709e-12,0
10,-2.4398770370437365e-11,-2.3314006207679093e-04,-2.3314317274541411e-04,3.1106686231843414e-09,3.4548101219665607e-11,0
11,1.9701354072565831e-10,8.4025784308780840e-07,8.1974132212366230e-07,2.0516520964146108e-08,4.6839693132785396e-12,0
12,9.8576761079231516e-11,-2.4371892037397969e-06,-2.4452515806355163e-06,8.0623768957194188e-09,4.6814160833903977e-12,0
13,2.2141231090406055e-10,2.3398024421833463e-04,2.3395754791612046e-04,2.2696302214177512e-08,4.8570445294413302e-11,0
14,1.2297553126115626e-10,2.3070293280380138e-04,2.3068910723129688e-04,1.3825572504498531e-08,7.2073915472369057e-11,0
15,-9.8436779642521763e-11,-3.2774336074553774e-06,-3.2603492113191695e-06,-1.7084396136207930e-08,3.7180977339561090e-12,0
16,-7.9180667672403419e-11,-2.1238742849284610e-04,-2.1237336461055799e-04,-1.4063882288107730e-08,1.3248123818006974e-11,0
17,-5.2422071440274938e-11,-2.3314097580215900e-04,-2.3314320516472486e-04,2.2293625658639099e-09,4.1743363836131694e-11,0
18,-9.7770090270554134e-11,-1.2489292573396532e-04,-1.2484613830642406e-04,-4.6787427541267971e-08,7.0969071006144585e-12,0
19,1.9358469634308207e-10,8.6038509979242950e-07,8.1973735539713822e-07,4.0647744395291277e-08,5.7328015610091464e-12,0
20,8.1211716478542407e-11,-2.4382533019633949e-06,-2.4452716697312098e-06,7.0183677678149567e-09,4.0164712944950925e-12,0
21,2.6758596175045910e-11,-2.0753591061683195e-05,-2.0773231447979152e-05,1.9640386295957077e-08,5.3108200889700480e-11,0
22,-1.8589422654156032e-11,8.7494507468705539e-05,8.7525455443507235e-05,-3.0947974801696096e-08,1.9536552329258061e-11,0
23,2.7276536387311258e-10,2.1324783056812574e-04,2.1318526855147778e-04,6.2562016647955965e-08,2.5104425440196110e-11,0
24,1.6039238401184410e-10,2.0994911684115531e-04,2.0993154417637527e-04,1.7572664780040681e-08,1.5550218821550159e-11,0
25,-4.5348018829689933e-11,1.0824804047166858e-04,1.0829829157897513e-04,-5.0251107306553038e-08,7.0614032314938191e-11,0
26,2.4600676776838504e-10,2.3400126722935167e-04,2.3395757636870488e-04,4.3690860646793074e-08,8.3641399518260301e-11,0
27,1.3363378790574866e-10,2.3070276824305332e-04,2.3068911956151213e-04,1.3648681541195661e-08,5.3590135963661743e-11,0
28,2.9135478670508890e-10,1.2575332892098435e-04,1.2567350947242708e-04,7.9819448557265403e-08,1.0316810610994287e-11,0
29,1.7898180684363787e-10,1.2245467437925830e-04,1.2239839951597539e-04,5.6274863282918929e-08,7.6001249796818845e-12,0
30,-1.1237297986050514e-10,-3.2986359074921312e-06,-3.2603653336883427e-06,-3.8270573803788526e-08,5.1216961930012217e-12,0
31,-1.3600329006093400e-10,-2.1240009264813890e-04,-2.1237343034693386e-04,-2.6662301205038338e-08,2.9825621376629997e-11,0
32,-6.3686803467660568e-11,-2.3314419787217233e-04,-2.3314321819655317e-04,-9.7967561916555840e-10,3.3924858751377378e-11,0
33,-1.0879341773276112e-10,-1.2489717264584001e-04,-1.2484615105897871e-04,-5.1021586861303096e-08,7.1598599383818437e-12,0
34,8.7540320477810159e-11,-2.4365998960858927e-06,-2.4452643483603600e-06,8.6644522744672912e-09,4.7778591021387525e-12,0
35,7.2316486709265541e-11,-2.0744165069564845e-05,-2.0773178743431391e-05,2.9013673866546048e-08,7.8016730467524232e-11,0
36,2.7209872447165512e-11,8.7502888721717193e-05,8.7525508427328667e-05,-2.2619705611473312e-08,2.9170194853175271e-11,0
37,2.2354361081593449e-10,2.0996341435994097e-04,2.0993161723412246e-04,3.1797125818504779e-08,2.2507999230477370e-11,0
38,-4.5106614265629411e-11,1.0824708495452010e-04,1.0829829185824879e-04,-5.1206903728691204e-08,4.1425182489260398e-11,0
40,1.9633373835315792e-10,1.2246058229902932e-04,1.2239841958990095e-04,6.2162709128370545e-08,1.6800974464904148e-11,0
41,-1.3564099414159264e-10,-2.1239812378532480e-04,-2.1237342992780467e-04,-2.4693857520130752e-08,9.3011926087562478e-12,0
42,-8.0641696109315668e-11,-2.3314649519974280e-04,-2.3314323781115643e-04,-3.2573885863759668e-09,1.1446729624722870e-11,0
43,-1.1862889916773178e-10,-1.2489643765399832e-04,-1.2484616243735015e-04,-5.0275216648164919e-08,2.8176542702539748e-12,0
44,5.4999298161473978e-11,-2.0748408079096026e-05,-2.0773198777163863e-05,2.4790698067837270e-08,3.2208066991990397e-11,0
45,1.7012095111677136e-11,8.7501632059358060e-05,8.7525496629828028e-05,-2.3864570469967665e-08,1.1758709691594313e-11,0
46,-3.7987203052332580e-11,1.0825007973898695e-04,1.0829830009448062e-04,-4.8220355493668651e-08,1.8025448267133656e-11,0
47,-4.0158105733738347e-11,-2.3313677760488597e-04,-2.3314319097691329e-04,6.4133720273221780e-09,1.9384606931433311e-11,0
48,-2.4628035032203097e-11,-1.2487706045993807e-04,-1.2484605369058918e-04,-3.1006769348889155e-08,3.7894635444311393e-12,0
49,3.2772064017832514e-10,8.3620294809121087e-07,8.1989253321982400e-07,1.6310414871386876e-08,2.3142916122273640e-12,0
50,3.5723304486916374e-10,-2.4344890200264559e-06,-2.4449523489919381e-06,1.0463328965482145e-08,3.7188798371516595e-12,0
51,1.5530070668246332e-11,1.0825968212453945e-04,1.0829836200699842e-04,-3.8679882458968000e-08,3.9113895001594372e-11,0
52,3.6787874546966604e-10,2.3397295969822870e-04,2.3395771735871545e-04,1.5242339513249275e-08,4.2212343957374896e-11,0
54,3.5234867457374429e-10,1.2571326952420629e-04,1.2567358003441400e-04,3.9689489792291014e-08,5.8663551839028570e-12,0
55,3.8186107911438426e-10,1.2244257707653104e-04,1.2239863422087874e-04,4.3942855652303291e-08,1.0451449350908097e-11,0
57,4.3351280711937868e-11,-2.3313520429746933e-04,-2.3314309436742601e-04,7.8900699566778008e-09,4.6634493197899330e-11,0
58,2.5772523140673519e-11,-1.2487925032512309e-04,-1.2484599538370547e-04,-3.3254941417617829e-08,7.4551114100776768e-12,0
59,2.0393793179569088e-10,8.3571625821444312e-07,8.1974933274257746e-07,1.5966925471865663e-08,4.3176084030597170e-12,0
60,1.5134773469492999e-10,-2.4380745891126702e-06,-2.4451905314897667e-06,7.1159423770964447e-09,8.8875761718143532e-12,0
61,-1.7578757599577778e-11,1.0825601302215989e-04,1.0829832370439484e-04,-4.2310682234954233e-08,9.1131517569361602e-11,0
62,1.6058665040753315e-10,2.3397085593512834e-04,2.3395747754875070e-04,1.3378386377638522e-08,7.2605903242974704e-11,0
64,1.7816540787857671e-10,1.2571496978412873e-04,1.2567337852705291e-04,4.1591257075819293e-08,9.1738861926725240e-12,0
65,1.2557521070177451e-10,1.2244120041813439e-04,1.2239833773149714e-04,4.2862686637252113e-08,2.2767998352475004e-11,0
66,-5.2590197045971971e-11,-3.2737861085535037e-06,-3.2602961727922842e-06,-1.3489935761219589e-08,7.3764050208244000e-12,0
67,-5.0856933398489639e-11,-2.3314118304939560e-04,-2.3314320335406392e-04,2.0203046683243530e-09,1.6771375005983966e-11,0
68,-5.3153291353683106e-11,-1.2488699198055092e-04,-1.2484608669059678e-04,-4.0905289954145264e-08,3.0432648304581877e-12,0
69,2.9202103707895179e-10,8.3889816510334791e-07,8.1985123342708248e-07,1.9046931676265427e-08,2.0775527747478098e-12,0
71,-2.2963579685901505e-12,1.0825421525659847e-04,1.0829834138414147e-04,-4.4126127542995280e-08,3.0744356607837623e-11,0
72,3.4287797029379518e-10,2.3398004031272945e-04,2.3395768843607366e-04,2.2351876655791027e-08,2.1123897098336580e-11,0
73,3.3124718094826979e-10,2.3070784671046967e-04,2.3068934817447882e-04,1.8498535990849182e-08,5.3016580837525209e-11,0
74,3.4517432814794490e-10,1.2572588984106599e-04,1.2567357173462926e-04,5.2318106436732457e-08,3.6575856061512824e-12,0
77,-9.5136592800316673e-11,-2.3314388529318848e-04,-2.3314325457986468e-04,-6.3071332379906198e-10,3.6707421181148708e-11,0
78,-1.0931635103275459e-10,-1.2489097833273243e-04,-1.2484615166394447e-04,-4.4826668787963141e-08,7.8105052158933118e-12,0
79,2.8847788005584166e-10,8.4874267372928025e-07,8.1984713445570315e-07,2.8895539273577102e-08,5.0182987832730891e-12,0
80,2.5147689002505380e-10,-2.4227801323460640e-06,-2.4450746950937567e-06,2.2294562747692660e-08,6.5068513761914433e-12,0
81,-1.4179758222981960e-11,1.0825296193836694e-04,1.0829832763659458e-04,-4.5365698227644658e-08,5.5507553602518287e-11,0
82,3.8361447292647090e-10,2.3399259624234080e-04,2.3395773556290333e-04,3.4860679437462511e-08,4.8493411820500816e-11,0
84,3.9779423113193065e-10,1.2573973612417695e-04,1.2567363260900598e-04,6.6103515170972153e-08,8.9934576414817863e-12,0
85,3.6079324111706193e-10,1.2246820619023040e-04,1.2239860984813319e-04,6.9596342097206143e-08,1.5171102210351226e-11,0
87,6.7614576802617683e-11,-2.0743605936526365e-05,-2.0773184182928968e-05,2.9578246402602986e-08,7.1540061317287324e-11,0
88,-9.5653579863559058e-12,1.0825340116340999e-04,1.0829833297485487e-04,-4.4931811444873216e-08,2.9517960547232647e-11,0
91,-1.6904449128208382e-10,-3.2870306809025182e-06,-3.2604308952485111e-06,-2.6599785654007110e-08,4.5581076075403245e-12,0
92,-1.1819747151053834e-10,-2.0767765886969825e-05,-2.0773399143276342e-05,5.6332563065174376e-09,5.2570220132393853e-11,0
94,1.7790302637082299e-12,-1.2483965059268635e-04,-1.2484602314105278e-04,6.3725483664370426e-09,2.3140817588462313e-12,0
95,8.4517750852250081e-11,8.2994543914877844e-07,8.1961117914160502e-07,1.0334260007173425e-08,1.0106114468678571e-12,0
96,-6.3156811455192753e-11,-2.4461261987161059e-06,-2.4454386853214036e-06,-6.8751339470228505e-10,1.1299966412163744e-12,0
100,8.2738720144870992e-11,1.2566959529588563e-04,1.2567326813079963e-04,-3.6728349139976673e-09,2.4363334087266322e-12,0
101,-6.4935842055238515e-11,1.2239351601782758e-04,1.2239811733501344e-04,-4.6013171858588688e-09,2.8931345762795709e-12,0
102,-1.4767456243220823e-10,-3.2760752579244316e-06,-3.2604061730231591e-06,-1.5669084901272484e-08,9.7503988191731239e-13,0
103,2.4780793014148736e-10,-2.0706218125604928e-05,-2.0772975722680136e-05,6.6757597075208229e-08,2.9356480799190009e-11,0
104,-3.6155952850051785e-11,-2.1177578396709695e-04,-2.1176334471755353e-04,-1.2439249543421240e-08,1.0787765195370402e-11,0
