key,value
session,17MAY01XA_ALL_none
n_points,4010
n_params,2
nuisance_mode,none
intercept_s,3.0639955445493980e-06
delta_gamma,2.9165912972030155e+03
delta_gamma_sigma,1.3409351012631091e+03
gamma_est,2.9175912972030155e+03
gamma_sigma,1.3409351012631091e+03
beta_est,1.4592956486015078e+03
beta_sigma,6.7046755063155456e+02
delta_beta,1.4582956486015078e+03
chi2,1.3150348047975296e+18
dof,4008
rmse_s,1.5478737222621901e-04
weighted_rmse_s,9.5009356626911864e-05
corr_template_residual,-1.2925093340481877e-01
