obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
1034,2.1343921544333968e-08,8.7542911799115184e-05,8.7538921942833533e-05,3.9898562816510861e-09,6.6558929832415473e-11,0
1063,2.1015510539991839e-08,8.7538033705974550e-05,8.7538288569235823e-05,-2.5486326127332516e-10,6.9143704817544461e-11,0
1087,2.0772999364999308e-08,8.7535960440362489e-05,8.7537819137177060e-05,-1.8586968145704354e-09,6.6245231275431160e-11,0
1119,2.0455342801886104e-08,8.7534280638890713e-05,8.7537201483509265e-05,-2.9208446185519706e-09,5.2116821345223522e-11,0
1133,2.2225434715041135e-08,-2.0746313683769804e-05,-2.0734576899629493e-05,-1.1736784140310854e-08,1.2001010595672833e-10,0
1134,2.0348235143020574e-08,8.7533704517008578e-05,8.7536992404620351e-05,-3.2878876117731822e-09,4.4262144866040072e-11,0
1137,-3.3567902536446442e-08,8.7472404889583780e-05,8.7480873536311749e-05,-8.4686467279688950e-09,4.3845611754304374e-11,0
1169,-3.3489922983921994e-08,8.7473218553831954e-05,8.7480670318969110e-05,-7.4517651371555724e-09,4.3059987468386534e-11,0
1170,2.6606450335485886e-09,1.0828386475719275e-04,1.0828266694095069e-04,1.1978162420674078e-09,1.0666908285541377e-10,0
1217,2.1482429227110839e-08,-2.0746656213359131e-05,-2.0738223164665845e-05,-8.4330486932865367e-09,1.1348206376327064e-10,0
1222,-3.3352449004336472e-08,8.7474507195114612e-05,8.7480259902426291e-05,-5.7527073116789892e-09,6.5117965849005268e-11,0
1232,1.9328801348490262e-08,8.7531361245455274e-05,8.7534974703682220e-05,-3.6134582269452872e-09,5.7894605494406759e-11,0
1235,4.5975511594309531e-08,-2.1234220550095731e-04,-2.1234535055842082e-04,3.1450574635111337e-09,4.1496903221162558e-11,0
1237,1.2649704047070743e-08,-1.2486754531851937e-04,-1.2486546752553087e-04,-2.0777929884995862e-09,1.7036297885982593e-11,0
1239,-3.3325808079382963e-08,8.7474592494659383e-05,8.7480169348660958e-05,-5.5768540015751610e-09,6.8348476187524935e-11,0
1262,-2.7145186029699135e-08,-2.1242051240953066e-04,-2.1242053579240497e-04,2.3382874304346546e-11,4.5036106110088629e-11,0
1263,-5.9672401050234805e-09,-2.3316745544289114e-04,-2.3316400490958552e-04,-3.4505333056154917e-09,6.9401827813358672e-11,0
1264,-8.0590252129418422e-09,-1.2488926730678043e-04,-1.2488626457310393e-04,-3.0027336765051788e-09,1.2999473204982427e-11,0
1266,1.9086160356641771e-08,8.7531186395220506e-05,8.7534484944759512e-05,-3.2985495390062004e-09,4.7227148460070137e-11,0
1271,4.5867222007415755e-08,-2.1234075154161550e-04,-2.1234442037400912e-04,3.6688323936230702e-09,6.3200318218757246e-11,0
1273,1.2592946202719877e-08,-1.2486551010900369e-04,-1.2486464095473102e-04,-8.6915427266920538e-10,1.7330698328576097e-11,0
1275,-3.3274276299499395e-08,8.7475333088241937e-05,8.7479979415331423e-05,-4.6463270894864326e-09,6.4573895948529775e-11,0
1311,-2.6658969916318645e-08,-2.1241712475773009e-04,-2.1241865898610597e-04,1.5342283758810072e-09,5.1448903067981154e-11,0
1312,-5.7482485417677491e-09,-2.3316455961064093e-04,-2.3316321739830817e-04,-1.3422123327599782e-09,6.0288664016422957e-11,0
1313,-7.8926094791385690e-09,-1.2488617168789507e-04,-1.2488492713039491e-04,-1.2445575001617751e-09,1.3528971061507352e-11,0
1314,2.0910720923874004e-08,-2.0747542409704604e-05,-2.0741134923268792e-05,-6.4074864358118998e-09,1.0737123931179291e-10,0
1315,1.8766360003876585e-08,8.7530733209820492e-05,8.7533832094817057e-05,-3.0988849965653872e-09,4.6841400168051367e-11,0
1318,4.5722356067698107e-08,-2.1233918448292219e-04,-2.1234320003695362e-04,4.0155540314331523e-09,4.8216883393726048e-11,0
1320,1.2508588218682973e-08,-1.2486343353493908e-04,-1.2486356437387352e-04,1.3083893444045848e-10,2.1910614197563896e-11,0
1339,-2.6381715204956846e-08,-2.1241546195133664e-04,-2.1241759066092353e-04,2.1287095868839385e-09,3.3872771843030626e-11,0
1340,-5.6199854888355536e-09,-2.3316306025432994e-04,-2.3316276558182919e-04,-2.9467250075567927e-10,7.0081698394265522e-11,0
1341,-7.7931544491867949e-09,-1.2488467149236824e-04,-1.2488416133868069e-04,-5.1015368755032327e-10,9.7926629442378018e-12,0
1343,1.8588560343877808e-08,8.7530677891242865e-05,8.7533465004125121e-05,-2.7871128822551643e-09,4.4036314095866455e-11,0
1346,4.5639092140893348e-08,-2.1233849880854835e-04,-2.1234250673336544e-04,4.0079248170884606e-09,4.1341926105959332e-11,0
1347,9.4148072832414747e-09,-2.3314633072239136e-04,-2.3314705825622196e-04,7.2753383059762783e-10,9.2195981126868583e-11,0
1348,1.2455846979880862e-08,-1.2486232241748062e-04,-1.2486295690098474e-04,6.3448350412042935e-10,1.3514497343172729e-11,0
1354,-2.6244887028530946e-08,-2.1241471628422439e-04,-2.1241706366344372e-04,2.3473792193340857e-09,4.3367129721632255e-11,0
1355,-5.5557939697346731e-09,-2.3316257911596555e-04,-2.3316254177222656e-04,-3.7343738995207487e-11,6.7237386221810738e-11,0
1356,-7.7428628774223761e-09,-1.2488396088719718e-04,-1.2488378235156778e-04,-1.7853562939563854e-10,1.1641379946655447e-11,0
1358,1.8502023747539650e-08,8.7530644501092412e-05,8.7533285153315203e-05,-2.6406522227911174e-09,4.9443588508626111e-11,0
1359,-2.1870688699832501e-09,1.0827855262760802e-04,1.0827994551843189e-04,-1.3928908238673796e-09,1.0832742582718202e-10,0
