obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
1034,2.1343921544333968e-08,8.7542911799115184e-05,-6.6282695823516336e-06,9.4171181381466816e-05,6.6558929832415473e-11,0
1063,2.1015510539991839e-08,8.7538033705974550e-05,-6.7908908540029042e-06,9.4328924559977455e-05,6.9143704817544461e-11,0
1087,2.0772999364999308e-08,8.7535960440362489e-05,-6.9109765854354745e-06,9.4446937025797960e-05,6.6245231275431160e-11,0
1119,2.0455342801886104e-08,8.7534280638890713e-05,-7.0682725151054379e-06,9.4602553153996146e-05,5.2116821345223522e-11,0
1133,2.2225434715041135e-08,-2.0746313683769804e-05,-6.1917653516699988e-06,-1.4554548332099805e-05,1.2001010595672833e-10,0
1134,2.0348235143020574e-08,8.7533704517008578e-05,-7.1213096650730368e-06,9.4655014182081610e-05,4.4262144866040072e-11,0
1137,-3.3567902536446442e-08,8.7472404889583780e-05,-3.3819291023900477e-05,1.2129169591348426e-04,4.3845611754304374e-11,0
1169,-3.3489922983921994e-08,8.7473218553831954e-05,-3.3780677415261742e-05,1.2125389596909369e-04,4.3059987468386534e-11,0
1170,2.6606450335485886e-09,1.0828386475719275e-04,-1.5879781086609994e-05,1.2416364584380275e-04,1.0666908285541377e-10,0
1217,2.1482429227110839e-08,-2.0746656213359131e-05,-6.5596838918332341e-06,-1.4186972321525897e-05,1.1348206376327064e-10,0
1222,-3.3352449004336472e-08,8.7474507195114612e-05,-3.3712603589830886e-05,1.2118711078494550e-04,6.5117965849005268e-11,0
1232,1.9328801348490262e-08,8.7531361245455274e-05,-7.6261088887254013e-06,9.5157470134180674e-05,5.7894605494406759e-11,0
1235,4.5975511594309531e-08,-2.1234220550095731e-04,5.5687044646778405e-06,-2.1791090996563516e-04,4.1496903221162558e-11,0
1237,1.2649704047070743e-08,-1.2486754531851937e-04,-1.0933438065514754e-05,-1.1393410725300461e-04,1.7036297885982593e-11,0
1239,-3.3325808079382963e-08,8.7474592494659383e-05,-3.3699411641215814e-05,1.2117400413587520e-04,6.8348476187524935e-11,0
1262,-2.7145186029699135e-08,-2.1242051240953066e-04,-3.0638915482358758e-05,-1.8178159692717192e-04,4.5036106110088629e-11,0
1263,-5.9672401050234805e-09,-2.3316745544289114e-04,-2.0152103372844992e-05,-2.1301535207004615e-04,6.9401827813358672e-11,0
1264,-8.0590252129418422e-09,-1.2488926730678043e-04,-2.1187905309361401e-05,-1.0370136199741904e-04,1.2999473204982427e-11,0
1266,1.9086160356641771e-08,8.7531186395220506e-05,-7.7462589023589904e-06,9.5277445297579493e-05,4.7227148460070137e-11,0
1271,4.5867222007415755e-08,-2.1234075154161550e-04,5.5150820522299606e-06,-2.1785583359384546e-04,6.3200318218757246e-11,0
1273,1.2592946202719877e-08,-1.2486551010900369e-04,-1.0961543192025396e-05,-1.1390396691697830e-04,1.7330698328576097e-11,0
1275,-3.3274276299499395e-08,8.7475333088241937e-05,-3.3673894336788370e-05,1.2114922742503031e-04,6.4573895948529775e-11,0
1311,-2.6658969916318645e-08,-2.1241712475773009e-04,-3.0398152896422685e-05,-1.8201897186130740e-04,5.1448903067981154e-11,0
1312,-5.7482485417677491e-09,-2.3316455961064093e-04,-2.0043663990404425e-05,-2.1312089562023650e-04,6.0288664016422957e-11,0
1313,-7.8926094791385690e-09,-1.2488617168789507e-04,-2.1105500219714420e-05,-1.0378067146818066e-04,1.3528971061507352e-11,0
1314,2.0910720923874004e-08,-2.0747542409704604e-05,-6.8427801646643046e-06,-1.3904762245040300e-05,1.0737123931179291e-10,0
1315,1.8766360003876585e-08,8.7530733209820492e-05,-7.9046163853714080e-06,9.5435349595191903e-05,4.6841400168051367e-11,0
1318,4.5722356067698107e-08,-2.1233918448292219e-04,5.4433479050048015e-06,-2.1778253238792698e-04,4.8216883393726048e-11,0
