obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,8.4504611454281128e-11,6.1509386178760367e-06,6.0922076625800159e-06,5.8730955296020777e-08,3.2729268804741507e-11,0
1,-2.6588194650236563e-11,8.8609979094732283e-06,8.8509016992539665e-06,1.0096210219261818e-08,3.0301582108776703e-11,0
2,-1.1109280617528234e-10,2.7101179388448401e-06,2.7236795348701433e-06,-1.3561596025303193e-08,2.7742416698656683e-11,0
3,-8.8398627493223942e-11,6.1229641289987577e-06,6.0911126280188588e-06,3.1851500979898852e-08,1.0601559545226494e-11,0
4,-1.6213741026789228e-10,8.8515288180464682e-06,8.8499672636866450e-06,1.5615543598231904e-09,9.5724267237012472e-12,0
5,-7.3738782770882354e-11,2.7285600642775257e-06,2.7239305211401860e-06,4.6295431373396615e-09,1.0747278790134170e-11,0
6,-4.3134815292472813e-11,6.1265861178113647e-06,6.0913992937807692e-06,3.5186824030595419e-08,1.0859093950252693e-11,0
7,-1.1031518508171583e-10,8.8543416908348944e-06,8.8502322614690771e-06,4.1094293658173255e-09,1.0354393443759652e-11,0
8,-6.7180369813563715e-11,2.7277445457949204e-06,2.7239840492974857e-06,3.7604964974346314e-09,1.2769024638472759e-11,0
11,-3.9584789612397776e-11,2.7310689650903233e-06,2.7241744445231082e-06,6.8945205672150993e-09,5.2634465536957124e-11,0
12,-1.5557857685461726e-10,6.1138417241871773e-06,6.0906871624994434e-06,2.3154561687733863e-08,2.1897255389217047e-11,0
13,-1.9761088091451185e-10,8.8445859842290614e-06,8.8494738263035117e-06,-4.8878420744502717e-09,2.9278950081683694e-11,0
14,-4.2032303985532115e-11,2.7306417365925185e-06,2.7241823227482127e-06,6.4594138443058265e-09,8.3394458100253761e-12,0
15,-1.5590084225002633e-10,6.1100129146417215e-06,6.0906851215212172e-06,1.9327793120504297e-08,2.8376021209562208e-11,0
16,-2.4935698709965469e-10,8.8351223032365547e-06,8.8490458743464234e-06,-1.3923571109868688e-08,3.2947071729828035e-11,0
20,-8.5052160843940519e-11,2.7268710609666159e-06,2.7239411210445301e-06,2.9299399220858674e-09,2.8619606297807858e-11,0
21,2.8200725104597404e-11,6.1462175270296515e-06,6.0918510775798986e-06,5.4366449449752908e-08,3.1463606879024327e-11,0
22,-9.5980500780258151e-11,8.8574222448936993e-06,8.8497823020383341e-06,7.6399428553651928e-09,3.1144034596307580e-11,0
23,-1.2418122600077949e-10,2.7111939309501509e-06,2.7237256507943229e-06,-1.2531719844171944e-08,2.7509706945172365e-11,0
24,-5.6041198657081849e-11,8.8683478282110956e-06,8.8499726810563093e-06,1.8375147154786226e-08,4.0156837872916117e-11,0
29,-7.4058160235686787e-11,8.8550500234321153e-06,8.8495897996168516e-06,5.4602238152637181e-09,3.4413189143308330e-11,0
30,-1.0354041150754908e-10,2.7241513499958597e-06,2.7239192422354387e-06,2.3210776042098560e-10,2.9295834318014961e-11,0
31,-9.9315675095524876e-11,6.1177863407797448e-06,6.0910434879350580e-06,2.6742852844686781e-08,2.1218897942789454e-11,0
32,-1.6247844115916453e-10,8.8477071176588928e-06,8.8489525652001370e-06,-1.2454475412441957e-09,2.3020373869309109e-11,0
33,-6.3162766012882794e-11,2.7299083797112204e-06,2.7241896200429506e-06,5.7187596682697927e-09,2.7751289955912345e-11,0
37,1.7474201207750957e-10,6.1883884425358027e-06,6.0927791560522777e-06,9.5609286483524944e-08,3.5291213651152666e-11,0
38,4.9226498298055620e-11,8.8632659828481730e-06,8.8500041339792341e-06,1.3261848868938948e-08,2.9591885821085397e-11,0
39,-1.2551551384926180e-10,2.6749197037986144e-06,2.7238495999974085e-06,-4.8929896198794075e-08,3.1371182859522161e-11,0
40,4.5935338865930207e-11,6.1305562206806496e-06,6.0919633948222804e-06,3.8592825858369273e-08,1.0455194300608480e-11,0
41,-3.6885493253859976e-11,8.8557849512744397e-06,8.8494013095798558e-06,6.3836416945838590e-09,1.0276462931282434e-11,0
42,-8.2820832163759447e-11,2.7252208119141891e-06,2.7241308969526967e-06,1.0899149614924276e-09,1.2418325931341355e-11,0
45,-6.3613554335322668e-11,2.7303177800044008e-06,2.7242679249307677e-06,6.0498550736331379e-09,8.3435422655583085e-11,0
46,-5.9087073639017376e-11,6.1181221366153268e-06,6.0912982645905447e-06,2.6823872024782160e-08,1.4859395347348892e-11,0
