key,value
session,17MAY09XA_ALL_baseline_intercept_linear
n_points,1734
n_params,12
nuisance_mode,baseline_intercept_linear
intercept_s,6.0916724761330597e-06
delta_gamma,1.0666443588017570e+01
delta_gamma_sigma,1.2809580011509782e+00
gamma_est,1.1666443588017570e+01
gamma_sigma,1.2809580011509782e+00
beta_est,6.3332217940087849e+00
beta_sigma,6.4047900057548912e-01
delta_beta,5.3332217940087849e+00
chi2,1.3910121336443930e+09
dof,1722
rmse_s,1.7024554833913200e-08
weighted_rmse_s,1.5348537828129136e-08
corr_template_residual,6.8523691871011469e-02
