key,value
session,17MAY09XA_ALLSKY_BASELINE_INTERCEPT
n_points,1734
n_params,7
nuisance_mode,baseline_intercept
intercept_s,6.0917593179685495e-06
delta_gamma,1.7744425554851897e+01
delta_gamma_sigma,1.4132017331216422e+00
gamma_est,1.8744425554851897e+01
gamma_sigma,1.4132017331216422e+00
beta_est,9.8722127774259487e+00
beta_sigma,7.0660086656082111e-01
delta_beta,8.8722127774259487e+00
chi2,1.8103730810020607e+09
dof,1727
rmse_s,1.8947953718740924e-08
weighted_rmse_s,1.7509977636885954e-08
corr_template_residual,6.8523691871011469e-02
