key,value
session,17MAY09XA_baseline_intercept_linear
n_points,21
n_params,12
nuisance_mode,baseline_intercept_linear
intercept_s,5.8736244767680330e-06
delta_gamma,4.3791222054886809e+01
delta_gamma_sigma,1.9829807995635921e+01
gamma_est,4.4791222054886809e+01
gamma_sigma,1.9829807995635921e+01
beta_est,2.2895611027443405e+01
beta_sigma,9.9149039978179605e+00
delta_beta,2.1895611027443405e+01
chi2,1.1631840535009638e+06
dof,9
rmse_s,6.9886851482802000e-09
weighted_rmse_s,6.0147907543855494e-09
corr_template_residual,-7.0429128739185151e-02
