group_type,group_label,n_removed,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
baseline,HART15M-YARRA12M,324,8.2036644647773116e+00,8.0479586325005636e-01,-1.8704426707685267e+00,1.0285473891282699e+00,1.8185284319799719e+00
baseline,HOBART26-HART15M,217,7.8580608590359482e+00,7.4310310926276868e-01,-1.5248390650271633e+00,9.8102781875651812e-01,1.5543280586680428e+00
baseline,HART15M-KATH12M,276,7.2162532722105173e+00,7.0521953623841638e-01,-8.8303147820173233e-01,9.5265310815139026e-01,9.2691817267593057e-01
baseline,HOBART26-KATH12M,252,6.1739719549311971e+00,6.8309381386523871e-01,1.5924983907758783e-01,9.3639228356449777e-01,1.7006744061514775e-01
baseline,HOBART26-YARRA12M,282,6.2039885483724699e+00,6.9747111126693395e-01,1.2923324563631500e-01,9.4693151876474635e-01,1.3647580957585745e-01
baseline,KATH12M-YARRA12M,383,6.2824221580405109e+00,6.8924025132583311e-01,5.0799635968274082e-02,9.4088547349072993e-01,5.3991306486861797e-02
source,1424-418,41,6.0211011172498683e+00,6.0517758700388158e-01,3.1212067675891664e-01,8.8116585384932955e-01,3.5421331341362455e-01
source,1144-379,55,6.1417431719013855e+00,6.3916307289773011e-01,1.9147862210739941e-01,9.0484406608776879e-01,2.1161504980110707e-01
source,1334-127,34,6.1699579909715858e+00,6.2628822078370094e-01,1.6326380303719912e-01,8.9579589509585889e-01,1.8225558291906249e-01
source,1057-797,122,6.1889384691576499e+00,6.5131296885724244e-01,1.4428332485113504e-01,9.1346698548979466e-01,1.5795132954232749e-01
source,0521-365,51,6.2056191469067112e+00,6.4402937159356766e-01,1.2760264710207370e-01,9.0828804993426127e-01,1.4048698219833358e-01
source,0454-234,51,6.4155403062641563e+00,6.5292492186655460e-01,-8.2318512255371346e-02,9.1461702573952985e-01,9.0003258127423602e-02
source,2149-306,42,6.2668641767678803e+00,6.4645972503141691e-01,6.6357617240904609e-02,9.1001292642790110e-01,7.2919422695873121e-02
source,2142-758,124,6.2777695966262881e+00,6.6018486688367184e-01,5.5452197382496848e-02,9.1981379019907550e-01,6.0286329660805930e-02
source,0332-403,63,6.3566282456745240e+00,6.4833175591355896e-01,-2.3406451665739070e-02,9.1134374190210798e-01,2.5683450260915133e-02
source,1323-527,43,6.3109141739461121e+00,6.4663318652960355e-01,2.2307620062672839e-02,9.1013615909906931e-01,2.4510200852534889e-02
source,0637-752,66,6.3241312483779764e+00,6.4995597477499367e-01,9.0905456308085775e-03,9.1249992839664906e-01,9.9622425689189359e-03
source,0537-441,57,6.3391436865978754e+00,6.4327708330509548e-01,-5.9218925890904828e-03,9.0775478852148617e-01,6.5236698984929824e-03
time_quartile,Q2,437,1.5205828216507120e+01,1.1476400210114290e+00,-8.8726064224983361e+00,1.3142644208854208e+00,6.7510055674495515e+00
time_quartile,Q1,435,4.2553857671338102e+00,5.5630960217380576e-01,2.0778360268749747e+00,8.4834764315636280e-01,2.4492742375568777e+00
time_quartile,Q4,430,4.7974987799711588e+00,5.7523481662975573e-01,1.5357230140376261e+00,8.6087655586689438e-01,1.7839061867484216e+00
time_quartile,Q3,432,6.5440724084354205e+00,8.3548076743961230e-01,-2.1085061442663555e-01,1.0527304797238755e+00,2.0028926537962530e-01
