obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
302,1.7794850835343379e-09,-1.7495334710566565e-04,-1.7498212108784183e-04,2.8773982176181481e-08,2.8311983344388840e-11,0
599,8.1067624659930944e-11,-1.7985497386784413e-05,-1.8024697253945992e-05,3.9199867161579185e-08,2.9875703800234260e-11,0
718,4.4742643839475551e-10,-1.4430483133003394e-05,-1.4429085246241767e-05,-1.3978867616264634e-09,6.3226150241784607e-11,0
719,-1.5418154639187878e-10,1.8399927202616875e-06,1.8065752366602047e-06,3.3417483601482721e-08,3.1778831063738644e-11,0
721,4.9709206398472305e-10,-3.2435565141797221e-05,-3.2452841047642135e-05,1.7275905844913646e-08,6.9798408864075019e-11,0
722,-6.0160798331373346e-10,1.6270303833110233e-05,1.6239827402975620e-05,3.0476430134613241e-08,4.5806196917958265e-11,0
723,3.9696083119349369e-10,8.7165156530122356e-06,8.7292684066899036e-06,-1.2752753677668007e-08,2.0947310204150897e-11,0
724,4.9665625609658099e-11,-1.8005171566662544e-05,-1.8023591073870601e-05,1.8419507208056955e-08,2.8076829413624948e-11,0
725,9.9856881766071142e-10,-7.5539346736271107e-06,-7.4807076134041861e-06,-7.3227060222924570e-08,6.1005035608032345e-11,0
726,6.5127361064523006e-10,-3.4275399945727422e-05,-3.4265479470114468e-05,-9.9204756129532231e-09,8.4294853389274199e-11,0
727,-3.4729520254495619e-10,-2.6721693221997550e-05,-2.6743385336126703e-05,2.1692114129153172e-08,3.6134641692057693e-11,0
818,4.3269813986072166e-10,-1.4419558778130427e-05,-1.4428566420979823e-05,9.0076428493959793e-09,4.4655001341917414e-11,0
819,-1.8960775340181386e-10,1.8227343072507577e-06,1.8078231751840685e-06,1.4911132066689229e-08,2.0775869193927704e-11,0
820,9.5516178234278240e-10,-5.6992502847907911e-06,-5.6603251084345625e-06,-3.8925176356228616e-08,5.1143653718903697e-11,0
821,4.5403262413193463e-10,-3.2431190937382308e-05,-3.2451324217635661e-05,2.0133280253353109e-08,5.0833610733427752e-11,0
822,-6.2230589167487250e-10,1.6242216051318842e-05,1.6240556516233498e-05,1.6595350853442707e-09,4.3470345831863991e-11,0
823,5.2246364106470114e-10,8.7201895274460761e-06,8.7248473917263904e-06,-4.6578642803143017e-09,2.7786163398804999e-11,0
824,2.1334484343520718e-11,-1.8011696228420904e-05,-1.8022593069127921e-05,1.0896840707016439e-08,2.7360499178689614e-11,0
825,1.1447695359273442e-09,-7.5220668208607344e-06,-7.4858577416267846e-06,-3.6209079233949837e-08,3.6520250385742756e-11,0
826,6.4364037761996480e-10,-3.4254027994068056e-05,-3.4265210578625431e-05,1.1182584557374283e-08,6.6152471232278970e-11,0
827,-5.0112915340644013e-10,-2.6731843710910488e-05,-2.6737966316430232e-05,6.1226055197440531e-09,4.4165439205229635e-11,0
993,4.1445543045304888e-10,-1.4413672712533694e-05,-1.4427923795596781e-05,1.4251083063086719e-08,3.6326282940998718e-11,0
994,-2.3241033363335819e-10,1.8174124473770191e-06,1.8093309569450887e-06,8.0814904319304311e-09,1.8866036899499296e-11,0
995,1.1008985226827490e-09,-5.6897926306656577e-06,-5.6654588923748398e-06,-2.4333738290817871e-08,3.3498086240971129e-11,0
996,3.9610199637722522e-10,-3.2429260655450834e-05,-3.2449283528886045e-05,2.0022873435211546e-08,5.1897248713301150e-11,0
997,-6.4686576237032812e-10,1.6231098239558213e-05,1.6241421672606953e-05,-1.0323433048740302e-08,4.2204205794475511e-11,0
998,6.8644309047790254e-10,8.7239326820726104e-06,8.7190709824148522e-06,4.8616996577581685e-09,4.9227108090449472e-11,0
999,-1.8353433887309494e-11,-1.8015589394483004e-05,-1.8021195005765441e-05,5.6056112824369117e-09,2.6940858799153604e-11,0
1000,1.3333088559349620e-09,-7.5071744000190788e-06,-7.4924993073082192e-06,-1.4675092710859596e-08,2.7510707344323402e-11,0
1001,6.2851232984381938e-10,-3.4246584636952061e-05,-3.4264677671627929e-05,1.8093034675868572e-08,5.6782393985321043e-11,0
1002,-7.0479652102091261e-10,-2.6739465197864187e-05,-2.6730791843757254e-05,-8.6733541069329611e-09,7.2237251894951608e-11,0
1177,-2.5136912804475801e-10,4.8187419077047253e-06,4.7543773037418400e-06,6.4364603962885240e-08,2.6061925160543470e-11,0
1363,-3.2846903714458676e-10,4.7903460675471909e-06,4.7570932576887328e-06,3.3252809858458133e-08,2.3701238698878095e-11,0
1537,-3.8874942086086468e-10,4.7816266460706802e-06,4.7592167199338363e-06,2.2409926136843887e-08,2.6241853287874855e-11,0
1773,2.1984349048949289e-10,-3.2430790414668571e-05,-3.2443074572347335e-05,1.2284157678763810e-08,5.7228019753717325e-11,0
1774,-4.6227817697185663e-10,4.7759140714646181e-06,4.7618068749379255e-06,1.4107196526692556e-08,2.0417897748287021e-11,0
1775,-6.8212166587832280e-10,3.7206636453949136e-05,3.7209409973742857e-05,-2.7735197937202413e-09,1.0320021016097256e-10,0
1919,-3.1329443146128501e-10,1.8134668209384905e-06,1.8121802143216724e-06,1.2866066168180779e-09,1.9911604911803471e-11,0
1920,-5.1641455442431228e-10,4.7731510766431829e-06,4.7637139058245906e-06,9.4371708185923486e-09,2.6925011161513235e-11,0
1921,-2.0312012233787640e-10,2.9597560802160916e-06,2.9464481618188614e-06,1.3307918397230152e-08,2.2920995300152731e-11,0
2454,4.0001594302164377e-10,-3.4246528874054181e-05,-3.4256628561442375e-05,1.0099687388194717e-08,4.2893148617174895e-11,0
2455,-3.5621078291238823e-10,2.9572101750531890e-06,2.9518409980578948e-06,5.3691769952941829e-09,2.3719985545387143e-11,0
2456,-7.5622672574579976e-10,3.7203543191648321e-05,3.7212020429866372e-05,-8.4772382180506528e-09,8.8293450379234937e-11,0
2607,3.9129507352603520e-10,-1.4418892935085664e-05,-1.4427107939086161e-05,8.2150040004963471e-09,3.0656469739856853e-11,0
2608,-2.3845692348270102e-10,1.8105228715712199e-06,1.8095439566717852e-06,9.7891489943467106e-10,1.4600895380593260e-11,0
2609,1.6368020277334690e-09,-5.6772176723475336e-06,-5.6843368554838687e-06,7.1191831363351686e-09,1.9196110185788174e-11,0
2610,6.7292518832041602e-10,-1.8057206678578734e-04,-1.8061803123619458e-04,4.5964450407236148e-08,3.3380012610795172e-11,0
2611,1.3014551371187388e-10,-3.2436458072463911e-05,-3.2439914833549951e-05,3.4567610860392864e-09,3.7603002857983558e-11,0
2612,-6.3330387536765177e-10,4.7673928490715549e-06,4.7678314983908100e-06,-4.3864931925512737e-10,1.7223205370071337e-11,0
2613,-6.2975199476307129e-10,1.6229461941699719e-05,1.6240818815804375e-05,-1.1356874104656486e-08,2.5175691285846401e-11,0
