key,value
session,18APR18XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,998
n_params,20
nuisance_mode,baseline_intercept_linear
intercept_s,5.2412185120254094e-06
delta_gamma,-9.2146099655065594e-01
delta_gamma_sigma,3.0006715539568884e+00
gamma_est,7.8539003449344058e-02
gamma_sigma,3.0006715539568884e+00
beta_est,5.3926950172467203e-01
beta_sigma,1.5003357769784442e+00
delta_beta,-4.6073049827532797e-01
chi2,2.9572300168029892e+08
dof,978
rmse_s,1.1598580402857143e-08
weighted_rmse_s,1.2755349172210809e-08
corr_template_residual,1.9656000080084929e-01
