obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-1.6026726113087638e-10,-2.6148080814409995e-05,-2.6160901765751054e-05,1.2820951341059074e-08,1.3541378965714928e-11,0
1,-1.5556453488207552e-10,-1.1362229180885970e-05,-1.1378148623963742e-05,1.5919443077772491e-08,1.8334186533889738e-11,0
2,-5.1979099140197452e-12,-3.3247807364827908e-05,-3.3233568598897937e-05,-1.4238765929970728e-08,9.7678558581784369e-12,0
3,1.3485996632556374e-11,-2.0767040011725364e-04,-2.0765618314964754e-04,-1.4216967606102936e-08,1.8133393312105863e-11,0
4,-5.7289979592763248e-12,-3.8083288452228636e-05,-3.8067347434652344e-05,-1.5941017576292583e-08,1.6211666047484077e-11,0
5,-2.1952275187801376e-10,-5.2019445422836139e-05,-5.1992568077682828e-05,-2.6877345153310413e-08,4.2286692069353789e-11,0
6,-1.2335639208456583e-11,-2.8001458750218089e-05,-2.7987993711711371e-05,-1.3465038506717530e-08,7.6329850016894014e-12,0
7,4.7027261498345460e-12,1.4785856543873821e-05,1.4756701339748047e-05,2.9155204125773591e-08,2.1897898517403358e-11,0
8,1.5506935178277635e-10,-7.0997193082067422e-06,-7.0697569302884925e-06,-2.9962377918249709e-08,9.1719122367194177e-12,0
9,1.7375325817365548e-10,-1.8152231427443974e-04,-1.8150884457797289e-04,-1.3469696466848280e-08,1.4531769653045877e-11,0
10,1.5453826368866821e-10,-1.1935226294575337e-05,-1.1915967925083541e-05,-1.9258369491795840e-08,1.5033658732316781e-11,0
11,-5.9255490718413256e-11,-2.5871260788719406e-05,-2.5874119848650308e-05,2.8590599309021676e-09,3.3536373916582463e-11,0
12,1.4793162246868559e-10,-1.8533746492460992e-06,-1.8316895557233609e-06,-2.1685093522738302e-08,7.8775492245263689e-12,0
13,1.5036662489031001e-10,-2.1885563051955020e-05,-2.1829884870244457e-05,-5.5678181710562915e-08,2.2081094154218478e-11,0
14,1.6905053145353729e-10,-1.9630817738295822e-04,-1.9625052023444602e-04,-5.7657148512204508e-08,3.5279912152232576e-11,0
16,-6.3958217008710538e-11,-4.0657127024225706e-05,-4.0631825140903315e-05,-2.5301883322390636e-08,6.4202051318176040e-11,0
17,1.4322889559848742e-10,-1.6639232294266004e-05,-1.6594356528647290e-05,-4.4875765618713792e-08,1.5441709599587636e-11,0
18,1.8683906326522545e-11,-1.7442260575109602e-04,-1.7442766549364435e-04,5.0597425483352859e-09,7.5167649060525552e-12,0
19,-5.3108811281577199e-13,-4.8354533483459684e-06,-4.8352238489506539e-06,-2.2949939531449032e-10,1.0748800610423892e-11,0
20,-7.1377293221593682e-12,5.2463558456611889e-06,5.2448834956162388e-06,1.4723500449501068e-09,4.3098214988319414e-12,0
21,-1.9214994447630767e-11,1.6958712925536684e-04,1.6958786779937022e-04,-7.3854400337871294e-10,1.2345971483205019e-11,0
22,-2.5821635659381702e-11,1.7966894034313085e-04,1.7967292028735202e-04,-3.9799442211666241e-09,6.4676551667246274e-12,0
23,-6.6066412064233855e-12,1.0081821741984331e-05,1.0081858639969029e-05,-3.6897984698154107e-11,6.8411247758017066e-12,0
24,2.1432484269066648e-10,1.8771564306797959e-05,1.8803391978895803e-05,-3.1827672097844018e-08,3.3610415759596920e-11,0
25,2.3300874902827285e-10,-1.5565089341290530e-04,-1.5564149281409323e-04,-9.4005988120768672e-09,6.8242757967954497e-11,0
26,2.1379375458235891e-10,1.3936155518438280e-05,1.3958178870075472e-05,-2.2023351637192036e-08,7.5865145768742035e-11,0
27,2.0718711337212239e-10,2.4018017273991156e-05,2.4043916105948849e-05,-2.5898831957692437e-08,3.1172957846475423e-11,0
28,4.3787353075864050e-10,-1.8151812432622247e-04,-1.8150568587515766e-04,-1.2438451064814872e-08,1.1436444365448413e-11,0
29,6.0786490024105027e-10,-1.1918396536005071e-05,-1.1911113600374072e-05,-7.2829356309992609e-09,1.2794783424856851e-11,0
30,1.6999136946642397e-10,1.6959973221896373e-04,1.6958961342855168e-04,1.0118790412044993e-08,8.3879718899977823e-12,0
31,-5.7259298320749728e-10,2.6268874246398229e-05,2.6328745756622355e-05,-5.9871510224126021e-08,1.3187298936716087e-11,0
32,-1.8676215813410056e-10,-6.9535753411051338e-06,-6.9533950164269647e-06,-1.8032467816909715e-10,8.7871507615132210e-12,0
33,-1.5590940319060483e-10,-1.7052221003349341e-06,-1.7072336852666354e-06,2.0115849317013331e-09,9.7574421903499968e-12,0
34,3.8583082540347860e-10,-3.3222480129955177e-05,-3.3229623200590210e-05,7.1430706350325275e-09,4.0699231742421930e-12,0
35,4.1668358035366430e-10,-2.7974123427974493e-05,-2.7983630791985553e-05,9.5073640110602425e-09,2.9169246131039625e-12,0
36,3.0852754936885721e-11,5.2483585904206098e-06,5.2452946268689349e-06,3.0639635516749457e-09,2.3374947820777074e-12,0
37,-2.4379367867026048e-10,1.4702579970521379e-05,1.4753722895422511e-05,-5.1142924901131763e-08,1.1602944027145176e-11,0
38,-3.0881389305273727e-11,-2.5887160175601127e-05,-2.5873836312451557e-05,-1.3323863149570137e-08,3.2440419822540384e-11,0
39,-2.8917649591029828e-10,4.7271626775549636e-06,4.7911765858736010e-06,-6.4013908318637480e-08,1.2629722399105381e-11,0
40,2.1291228954300965e-10,-4.0589745085806150e-05,-4.0628557402325215e-05,3.8812316519064912e-08,4.1751745060351922e-11,0
41,-4.5382817092573317e-11,-9.9754299198910948e-06,-9.9703237519599750e-06,-5.1061679311198037e-09,7.0289783070440363e-12,0
42,-2.5829510660780516e-10,3.0614280704756303e-05,3.0673241322109630e-05,-5.8960617353327467e-08,4.3630942326946358e-11,0
43,-5.2179023020464594e-10,2.6295731573668796e-05,2.6329308890831253e-05,-3.3577317162457288e-08,4.1748349315169043e-11,0
44,-7.3483310755425723e-10,-6.9606990815880565e-06,-6.9595151548297354e-06,-1.1839267583210844e-09,1.8909799975059616e-11,0
45,-5.3935507841645090e-10,-1.8138144067527339e-04,-1.8138233618354664e-04,8.9550827324824840e-10,2.7488262768391092e-11,0
46,-6.8895888399968983e-10,-1.1795812189374991e-05,-1.1795242275275998e-05,-5.6991409899312786e-10,2.1466603969436758e-11,0
47,-7.2906964961490435e-10,-1.7139060192817093e-06,-1.7136463475838180e-06,-2.5967169789135772e-10,1.4656979254916384e-11,0
48,-2.1304287699054400e-10,-3.3256523631911006e-05,-3.3236545662832808e-05,-1.9977969078197912e-08,9.1467064245623325e-12,0
49,-1.7564847803658473e-11,-2.0767726435252931e-04,-2.0765670949320599e-04,-2.0554859323326140e-08,2.0665135997709370e-11,0
50,-1.6716865338160736e-10,-3.8091620949516278e-05,-3.8069945969539433e-05,-2.1674979976844257e-08,1.3625048291568272e-11,0
51,-2.0727941900826880e-10,-2.8009710987021708e-05,-2.7990833985514360e-05,-1.8877001507347160e-08,7.3965563510975516e-12,0
52,1.9547802911075343e-10,-1.7442073171080631e-04,-1.7442518359221952e-04,4.4518814132105816e-09,4.5129046609026344e-12,0
53,4.5874223527029966e-11,-4.8351227652534924e-06,-4.8348606709331109e-06,-2.6209432038148007e-10,3.5775463888920450e-12,0
54,5.7634579152768156e-12,5.2468171032922376e-06,5.2450092289052078e-06,1.8078743870297931e-09,2.1382270536237492e-12,0
55,-1.4960380558202824e-10,1.6958559640437151e-04,1.6958576486885270e-04,-1.6846448118879725e-10,3.6424555971417878e-12,0
56,-1.8971457119935217e-10,1.7966752741782003e-04,1.7967056136934781e-04,-3.0339515277801217e-09,2.6483271532176751e-12,0
57,-4.0110765609834189e-11,1.0081922502892815e-05,1.0081616050101130e-05,3.0645279168434831e-10,2.0725401471349243e-12,0
58,1.2169799710704182e-11,-2.5859424339228290e-05,-2.5873368349297795e-05,1.3944010069504313e-08,4.0735788261766363e-11,0
