key,value
session,18JUN04XA_ALL_baseline_intercept_linear
n_points,2728
n_params,52
nuisance_mode,baseline_intercept_linear
intercept_s,-1.1594737883080397e-05
delta_gamma,2.1926948555741721e+01
delta_gamma_sigma,9.7925574614459776e-01
gamma_est,2.2926948555741721e+01
gamma_sigma,9.7925574614459776e-01
beta_est,1.1963474277870860e+01
beta_sigma,4.8962787307229888e-01
delta_beta,1.0963474277870860e+01
chi2,4.0468019293530302e+09
dof,2676
rmse_s,1.8786650915433712e-08
weighted_rmse_s,1.3002575636431633e-08
corr_template_residual,2.4920840957824903e-03
