obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
2,4.2088239504569368e-10,-1.7336660093111508e-04,3.3266774897547241e-05,-2.0663337582866231e-04,9.3686024625575275e-12,0
3,5.6134982264934386e-10,-1.2781258498396203e-06,2.8733911683733868e-05,-3.0012037533573488e-05,8.6769629411875884e-12,0
4,2.8908365660373983e-10,-4.4037949262516057e-06,3.7519900788029608e-05,-4.1923695714281213e-05,1.8846810014881036e-11,0
5,3.8470473414745542e-10,-1.8600212548464893e-04,3.4434222689857896e-05,-2.2043634817450682e-04,5.0549744128220876e-11,0
7,9.5621078285215343e-11,-1.8159821627052714e-04,4.3762909715223344e-05,-2.2536112598575049e-04,2.1595747554825850e-11,0
8,2.3608850579833400e-10,-9.5097239827795360e-06,3.9230046504331414e-05,-4.8739770487110950e-05,1.4874113464204514e-11,0
9,1.4046742747293517e-10,1.7208850305302885e-04,4.2315724627727929e-05,1.2977277842530092e-04,4.0291308805192838e-12,0
10,-4.8025186773296543e-11,1.1150499010107243e-06,4.8398353545822074e-05,-4.7283303644811349e-05,1.3252442586263970e-11,0
11,1.0374486086930890e-10,-2.2575547891971748e-05,4.3500756446948510e-05,-6.6076304338920258e-05,2.8494204416215009e-11,0
13,1.5177004771186229e-10,-2.3690516560639571e-05,4.1950990736214676e-05,-6.5641507296854254e-05,2.8218383190159059e-11,0
16,3.9222131812776426e-10,8.2256109840564764e-06,3.4191663631155554e-05,-2.5966052647099078e-05,1.3417345415204035e-11,0
17,5.3506382994648215e-10,-1.7337420527865823e-04,2.9582156799303084e-05,-2.0295636207796132e-04,1.1021878329601374e-11,0
18,1.4284251281322724e-10,-1.8159981702306076e-04,4.2239080973378007e-05,-2.2383889799643876e-04,1.3548056465630638e-11,0
20,3.4608048204484884e-11,8.2186951094343624e-06,4.5731791215613582e-05,-3.7513096106179220e-05,2.3209434846592131e-11,0
21,7.4799743553667649e-10,-1.7334673796520674e-04,2.2710820687931487e-05,-1.9605755865313823e-04,2.4995382207153032e-11,0
22,-4.6672023320796439e-11,-1.1084784055684273e-05,4.8354687160377744e-05,-5.9439471216062018e-05,5.9032902258624969e-11,0
23,7.1338938682483013e-10,-1.8156542173262610e-04,2.3827617326013530e-05,-2.0539303905863963e-04,1.6282594703502667e-11,0
24,-8.1280071102439545e-11,-1.9303381152685831e-05,4.9471483768442265e-05,-6.8774864921128089e-05,3.7926613473536455e-11,0
25,-7.9466945920508189e-10,1.6226207481006508e-04,7.2492454320986685e-05,8.9769620489078399e-05,4.4395595801406227e-11,0
26,2.3812793684848869e-11,8.1972939159728753e-06,4.6080152490042863e-05,-3.7882858574069988e-05,2.1555814577999150e-11,0
28,6.0218713601943757e-10,8.2457657659936248e-06,2.7416097591995943e-05,-1.9170331826002318e-05,4.3424347473992746e-11,0
29,6.6547609613359161e-10,-1.8488345242599321e-04,2.5373772164414073e-05,-2.1025722459040727e-04,3.2352004475922279e-12,0
30,3.0421305524075054e-10,-1.2820833110913782e-05,3.7031677320861607e-05,-4.9852510431775389e-05,1.9964599246431924e-12,0
31,-3.6126304092930583e-10,1.7206261303883037e-04,5.8506492994947395e-05,1.1355612004388298e-04,1.6261462249252415e-12,0
32,-1.2705230123151748e-10,1.2620046158813396e-05,5.0948546897637820e-05,-3.8328500738824425e-05,2.1135834512179630e-11,0
33,2.9433071550473919e-10,8.2601822569364908e-06,3.7350578969592361e-05,-2.9090396712655870e-05,8.4226225479226168e-12,0
34,9.5450794815706916e-11,-1.1072337752500439e-05,4.3768404737720896e-05,-5.4840742490221334e-05,5.4628007159835621e-11,0
35,-1.2778988487810344e-10,4.0263114872993513e-06,5.0972348613350541e-05,-4.6946037126051190e-05,2.6604854494090158e-11,0
36,4.2138301670701679e-10,-4.3598836614710396e-06,3.3250619910221261e-05,-3.7610503571692301e-05,1.6744665684564309e-11,0
37,2.2250309602538215e-10,-2.3692355855108038e-05,3.9668445678111068e-05,-6.3360801533219100e-05,4.9150388456933495e-11,0
38,-7.3758363778596140e-13,-8.5937507645337564e-06,4.6872389552751894e-05,-5.5466140317285650e-05,2.3580725122691696e-11,0
39,-1.9887992079148528e-10,-1.9332537279025900e-05,5.3266413608757820e-05,-7.2598950887783713e-05,3.1268737152053116e-11,0
40,-4.2212060092947243e-10,-4.2339020444644854e-06,6.0470357498720984e-05,-6.4704259543185469e-05,2.2876397664308204e-11,0
41,-2.2324068003478455e-10,1.5098663567646858e-05,5.4052531723955980e-05,-3.8953868156309121e-05,5.6878808670982913e-11,0
42,1.9785538870883066e-10,-1.8489440113490102e-04,4.0463823565398097e-05,-2.2535822470029910e-04,1.7715604963448130e-11,0
43,2.0260189029074250e-11,-1.2827981543252903e-05,4.6194794519388064e-05,-5.9022776062640967e-05,7.5687885747749250e-12,0
