obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
2,4.2088239504569368e-10,-1.7336660093111508e-04,-1.7330486097189962e-04,-6.1739959215467797e-08,9.3686024625575275e-12,0
3,5.6134982264934386e-10,-1.2781258498396203e-06,-1.3028503858672285e-06,2.4724536027608207e-08,8.6769629411875884e-12,0
4,2.8908365660373983e-10,-4.4037949262516057e-06,-4.3781733354691955e-06,-2.5621590782410247e-08,1.8846810014881036e-11,0
5,3.8470473414745542e-10,-1.8600212548464893e-04,-1.8589719044172004e-04,-1.0493504292889222e-07,5.0549744128220876e-11,0
7,9.5621078285215343e-11,-1.8159821627052714e-04,-1.8153190936601803e-04,-6.6306904509112708e-08,2.1595747554825850e-11,0
8,2.3608850579833400e-10,-9.5097239827795360e-06,-9.5188669229795679e-06,9.1429402000318716e-09,1.4874113464204514e-11,0
9,1.4046742747293517e-10,1.7208850305302885e-04,1.7200217011044424e-04,8.6332942584606666e-08,4.0291308805192838e-12,0
10,-4.8025186773296543e-11,1.1150499010107243e-06,9.9804708434984634e-07,1.1700281666087792e-07,1.3252442586263970e-11,0
11,1.0374486086930890e-10,-2.2575547891971748e-05,-2.2724261612467117e-05,1.4871372049536917e-07,2.8494204416215009e-11,0
13,1.5177004771186229e-10,-2.3690516560639571e-05,-2.3713478072404467e-05,2.2961511764895597e-08,2.8218383190159059e-11,0
16,3.9222131812776426e-10,8.2256109840564764e-06,8.2235093872787403e-06,2.1015967777361411e-09,1.3417345415204035e-11,0
17,5.3506382994648215e-10,-1.7337420527865823e-04,-1.7330398738897096e-04,-7.0217889687267891e-08,1.1021878329601374e-11,0
18,1.4284251281322724e-10,-1.8159981702306076e-04,-1.8153154808277523e-04,-6.8268940285528277e-08,1.3548056465630638e-11,0
20,3.4608048204484884e-11,8.2186951094343624e-06,8.2207733483777178e-06,-2.0782389433554068e-09,2.3209434846592131e-11,0
21,7.4799743553667649e-10,-1.7334673796520674e-04,-1.7330235826981563e-04,-4.4379695391110353e-08,2.4995382207153032e-11,0
22,-4.6672023320796439e-11,-1.1084784055684273e-05,-1.1112200642193911e-05,2.7416586509637457e-08,5.9032902258624969e-11,0
23,7.1338938682483013e-10,-1.8156542173262610e-04,-1.8152718292473036e-04,-3.8238807895742176e-08,1.6282594703502667e-11,0
24,-8.1280071102439545e-11,-1.9303381152685831e-05,-1.9337384060589763e-05,3.4002907903932038e-08,3.7926613473536455e-11,0
25,-7.9466945920508189e-10,1.6226207481006508e-04,1.6218185085204313e-04,8.0223958021953794e-08,4.4395595801406227e-11,0
26,2.3812793684848869e-11,8.1972939159728753e-06,8.2206907557034612e-06,-2.3396839730585961e-08,2.1555814577999150e-11,0
28,6.0218713601943757e-10,8.2457657659936248e-06,8.2251158003902001e-06,2.0649965603424731e-08,4.3424347473992746e-11,0
29,6.6547609613359161e-10,-1.8488345242599321e-04,-1.8489891790573503e-04,1.5465479741820368e-08,3.2352004475922279e-12,0
30,3.0421305524075054e-10,-1.2820833110913782e-05,-1.2919443235578851e-05,9.8610124665069181e-08,1.9964599246431924e-12,0
31,-3.6126304092930583e-10,1.7206261303883037e-04,1.7199833145512902e-04,6.4281583701347690e-08,1.6261462249252415e-12,0
32,-1.2705230123151748e-10,1.2620046158813396e-05,1.2596979518698060e-05,2.3066640115336183e-08,2.1135834512179630e-11,0
33,2.9433071550473919e-10,8.2601822569364908e-06,8.2227604427642411e-06,3.7421814172249645e-08,8.4226225479226168e-12,0
34,9.5450794815706916e-11,-1.1072337752500439e-05,-1.1111113284447851e-05,3.8775531947412938e-08,5.4628007159835621e-11,0
35,-1.2778988487810344e-10,4.0263114872993513e-06,4.0193696588697934e-06,6.9418284295579311e-09,2.6604854494090158e-11,0
36,4.2138301670701679e-10,-4.3598836614710396e-06,-4.3771611353461387e-06,1.7277473875099118e-08,1.6744665684564309e-11,0
37,2.2250309602538215e-10,-2.3692355855108038e-05,-2.3712936905764270e-05,2.0581050656231934e-08,4.9150388456933495e-11,0
38,-7.3758363778596140e-13,-8.5937507645337564e-06,-8.5744172734011835e-06,-1.9333491132572951e-08,2.3580725122691696e-11,0
39,-1.9887992079148528e-10,-1.9332537279025900e-05,-1.9338283797234248e-05,5.7465182083482711e-09,3.1268737152053116e-11,0
40,-4.2212060092947243e-10,-4.2339020444644854e-06,-4.1957252848390261e-06,-3.8176759625459277e-08,2.2876397664308204e-11,0
41,-2.2324068003478455e-10,1.5098663567646858e-05,1.5138358954287817e-05,-3.9695386640958946e-08,5.6878808670982913e-11,0
42,1.9785538870883066e-10,-1.8489440113490102e-04,-1.8490249559301354e-04,8.0944581125189964e-09,1.7715604963448130e-11,0
43,2.0260189029074250e-11,-1.2827981543252903e-05,-1.2921615711136536e-05,9.3634167883632606e-08,7.5687885747749250e-12,0
44,-1.7759519958631305e-10,1.7206642251824285e-04,1.7199973666685088e-04,6.6685851391964663e-08,4.4813222442819293e-12,0
45,-2.9944996200238233e-10,3.9959879550820199e-06,4.0180563165297133e-06,-2.2068361447693410e-08,2.9540374206400069e-11,0
46,-1.4990887682203153e-09,-1.8161706170755944e-04,-1.8154411022248184e-04,-7.2951485077598450e-08,2.8251206957224314e-11,0
47,-1.4335949097182790e-09,-9.5467707041836658e-06,-9.5316413895932556e-06,-1.5129314590410237e-08,2.3627544357898392e-11,0
48,6.5493861916815388e-11,1.7207029199948869e-04,1.7200159650032079e-04,6.8695499167901151e-08,1.3041498132866794e-11,0
49,-1.5470140235756918e-10,1.5111367309922439e-05,1.5138883336758336e-05,-2.7516026835897490e-08,8.1636912361874602e-11,0
50,-4.2221381663404773e-09,-1.8164635559576696e-04,-1.8156494381482661e-04,-8.1411780940347745e-08,5.1866487895248031e-11,0
51,-5.4332030699589086e-09,-9.5787494113356089e-06,-9.5622417180363670e-06,-1.6507693299241946e-08,3.9083301739886292e-11,0
52,-1.2110649087856152e-09,1.7206748694264759e-04,1.7199182976415677e-04,7.5657178490813517e-08,1.5331175698200191e-11,0
57,1.4784566026053120e-10,-1.7337360156515543e-04,-1.7330694992997420e-04,-6.6651635181235120e-08,4.1419011391854406e-11,0
58,5.4115100424859800e-12,1.1401168777680493e-06,9.9845591951768422e-07,1.4166095825036504e-07,2.3281496425569630e-11,0
59,1.5448743811491631e-10,8.2263608532189003e-06,8.2216905254005278e-06,4.6703278183724987e-09,1.4178714351460366e-11,0
60,-2.5884325727678949e-10,1.7206204138133212e-04,1.7199911505164480e-04,6.2926329687327393e-08,3.0024123121810971e-11,0
61,-1.9924087192748887e-10,1.2623412096904579e-05,1.2596427216101245e-05,2.6984880803333791e-08,2.6233929511613250e-11,0
62,1.0656900286445416e-10,8.2229429046939972e-06,8.2213239095225725e-06,1.6189951714247426e-09,2.2231371041952811e-11,0
63,-1.2262597308100605e-10,-1.1091635556067375e-05,-1.1112781753071800e-05,2.1146197004425187e-08,6.4579425515391614e-11,0
64,-1.0914221419472298e-10,4.0806670125320688e-06,4.0195123290576588e-06,6.1154683474410007e-08,8.3091292824280055e-11,0
65,3.0580987501311476e-10,-4.4004859120899686e-06,-4.3780453659890782e-06,-2.2440546100890415e-08,2.2937821989369824e-11,0
66,7.6614898947856730e-11,-2.3715046492488352e-05,-2.3714053071790462e-05,-9.9342069788985014e-10,5.3330053622278601e-11,0
70,1.5014060793234043e-10,-1.2989220046486817e-06,-1.3059964783155494e-06,7.0744736668677122e-09,4.8932164256870252e-11,0
71,-2.3822133096315521e-10,1.2616325212610330e-05,1.2596128983174027e-05,2.0196229436303297e-08,1.3486873849029565e-11,0
72,-1.5509444132562130e-10,-1.1094360514939637e-05,-1.1113030163854189e-05,1.8669648914551996e-08,3.9928343528851195e-11,0
74,8.3126889530587917e-11,-2.3710575085465063e-05,-2.3714003249647225e-05,3.4281641821619878e-09,3.4505646626511985e-11,0
76,-4.2640064637952267e-11,1.5123119089181791e-05,1.5139740699180507e-05,-1.6621609998715279e-08,3.3213946757952947e-11,0
77,-2.2069537892790027e-10,1.7205798881491513e-04,1.7199940691463742e-04,5.8581900277710494e-08,2.2981772352742545e-11,0
78,-1.2843682885677962e-10,1.2619128863379124e-05,1.2596968925910372e-05,2.2159937468751650e-08,2.1297663478357500e-11,0
79,1.0947859276942512e-10,-1.1066814308617612e-05,-1.1111005960128188e-05,4.4191651510576036e-08,4.9054691901726040e-11,0
80,-1.4249250986666382e-10,4.0254543524723151e-06,4.0192571715621372e-06,6.1971809101779601e-09,2.7336544776282423e-11,0
81,2.3791542160308508e-10,-2.3685950054419536e-05,-2.3712818988656931e-05,2.6868934237395250e-08,4.2665634164145972e-11,0
82,-1.4055680999500771e-11,-8.5936470510001185e-06,-8.5745191679211403e-06,-1.9127883078978183e-08,2.2339451256484626e-11,0
83,-2.5197110297756560e-10,1.5092275618680193e-05,1.5138139142660494e-05,-4.5863523980301495e-08,4.3796065005895326e-11,0
84,9.4046322627790584e-11,8.2052878935985618e-06,8.2212281006050797e-06,-1.5940207006517898e-08,1.2066131263671335e-11,0
85,1.3816325789321439e-10,-2.3705718669162108e-05,-2.3713582175661792e-05,7.8635064996841427e-09,4.3793124512726434e-11,0
86,-5.5101209951091443e-11,-8.5956613069012970e-06,-8.5748332003504986e-06,-2.0828106550798388e-08,2.1555704467310688e-11,0
87,-1.9326446795618637e-10,1.5110061168819612e-05,1.5138588297238010e-05,-2.8527128418397816e-08,4.5613215474502051e-11,0
88,6.2259828628066094e-11,8.2170299532894481e-06,8.2209849074927844e-06,-3.9549542033363503e-09,4.0300152183035989e-11,0
89,6.7503005034440638e-10,-1.8488702912534743e-04,-1.8489884481004038e-04,1.1815684692950213e-08,3.4212636017917523e-12,0
90,2.9073276552649772e-10,-1.2826849939017240e-05,-1.2919546371005182e-05,9.2696431987942225e-08,2.0611639623246433e-12,0
91,-3.8429728495095234e-10,1.7206018040871827e-04,1.7199815522400732e-04,6.2025184710952320e-08,1.6804978460535602e-12,0
92,-1.7646762548443726e-11,8.1795625295148083e-06,8.2203735556211005e-06,-4.0811026106292122e-08,4.7467385731687478e-11,0
93,2.2537799328673187e-10,-1.8489736839565930e-04,-1.8490228502220113e-04,4.9166265418221049e-09,2.1578870412643303e-11,0
94,1.8628736659421113e-11,-1.2833424367045265e-05,-1.2921628193103857e-05,8.8203826058592198e-08,7.5928457555684630e-12,0
95,-2.0674925659533044e-10,1.7206393111690544e-04,1.7199951361407064e-04,6.4417502834799179e-08,4.3044718545933844e-12,0
96,1.6116883180855323e-10,-2.3705219455191599e-05,-2.3713406163890232e-05,8.1867086986326082e-09,1.7303491216291355e-11,0
97,-2.5384740512541073e-11,-8.5942145569811289e-06,-8.5746058446475004e-06,-1.9608712333628531e-08,9.4126383064547222e-12,0
98,-1.8655357250754563e-10,1.5111076201571906e-05,1.5138639641168878e-05,-2.7563439596972302e-08,1.8762900480651889e-11,0
99,1.8457762605386891e-10,8.2275337161632524e-06,8.2219207403608329e-06,5.6129758024194579e-09,1.7371500722129926e-11,0
100,2.2669202941255845e-10,8.2353151378477749e-06,8.2222429505682668e-06,1.3072187279508104e-08,1.6888654637257350e-11,0
101,-3.3053912234725350e-10,1.7206449821319421e-04,1.7199856651865575e-04,6.5931694538461875e-08,1.4164433818278404e-11,0
102,-4.4581581858151585e-10,1.7204037309294633e-04,1.7199768455606709e-04,4.2688536879242596e-08,1.0382134182187323e-11,0
103,7.9156179554543226e-11,-2.3709970000041023e-05,-2.3714033628880530e-05,4.0636288395073537e-09,4.6086195004964118e-11,0
104,-4.5081530276359445e-11,-8.5944877761724324e-06,-8.5747565414687635e-06,-1.9731234703668817e-08,1.8209487588927957e-11,0
105,-1.2423770971270152e-10,1.5115406062794507e-05,1.5139116409340243e-05,-2.3710346545736052e-08,4.8354167475830899e-11,0
106,5.3384399220707719e-10,8.2380379523667654e-06,8.2245929185068483e-06,1.3445033859917099e-08,1.5883506043175486e-11,0
107,6.2636765561597542e-10,8.2437796695830276e-06,8.2253008014732903e-06,1.8478868109737261e-08,4.2920722138070812e-11,0
108,6.8547153838829529e-11,-1.7337485521275869e-04,-1.7330755662949183e-04,-6.7298583266860081e-08,2.1976275760234504e-11,0
109,5.5358960831270320e-11,-1.3080507565094504e-06,-1.3067216367349424e-06,-1.3291197745080339e-09,1.7357713089672731e-11,0
110,-5.5782050232673622e-10,-1.8161861758955733e-04,-1.8153690873750245e-04,-8.1708852054881726e-08,3.2283860899247724e-11,0
111,-5.7100869562252357e-10,-9.5517679999917310e-06,-9.5250418877409932e-06,-2.6726112250737800e-08,2.5235948725516776e-11,0
112,-1.3188192407823323e-11,1.7206677002584497e-04,1.7200099451717432e-04,6.5775508670647609e-08,1.4636821157015250e-11,0
113,-1.6519658271563605e-09,-1.8160690279413368e-04,-1.8154527985911309e-04,-6.1622935020581469e-08,2.8952803167014422e-11,0
114,1.1743965963958595e-10,-1.2947823124498381e-06,-1.3062466677636318e-06,1.1464355313793725e-08,2.8852179832213357e-11,0
116,-4.2555997210317023e-09,-1.8161291761656807e-04,-1.8156519982354615e-04,-4.7717793021914484e-08,4.1076821204083509e-11,0
117,-2.3679472091619729e-10,1.7205624842541421e-04,1.7199928374128323e-04,5.6964684130985863e-08,3.8685549407862811e-11,0
118,-2.4546887558330056e-10,1.2615750181654319e-05,1.2596073533430729e-05,1.9676648223589585e-08,2.1585882328603710e-11,0
119,1.7830557855745363e-10,8.2253267868490423e-06,8.2218727539817397e-06,3.4540328673026137e-09,1.1814202523383855e-11,0
120,-1.2965035791707982e-10,-1.1094118751005244e-05,-1.1112835495457176e-05,1.8716744451931986e-08,6.0931510908912128e-11,0
121,-2.1857065236691955e-10,4.0268914940262430e-06,4.0186751105065086e-06,8.2163835197343461e-09,2.4707220936457691e-11,0
122,4.2377445383151766e-10,-4.3904165362290692e-06,-4.3771428388634507e-06,-1.3273697365618519e-08,1.9106342418577893e-11,0
123,1.1581851753762450e-10,-2.3709710670698301e-05,-2.3713753131507081e-05,4.0424608087798327e-09,3.7894356238617294e-11,0
124,2.6898223266324903e-11,-8.5888521075931645e-06,-8.5742058364968234e-06,-1.4646271096341171e-08,1.6617885816706942e-11,0
125,-3.0795593625535590e-10,-1.9319441083719309e-05,-1.9339118319458610e-05,1.9677235739301054e-08,3.5713685493823355e-11,0
126,-3.9687623049363878e-10,-4.1984560809069441e-06,-4.1955321444123319e-06,-2.9239364946121970e-09,2.1377051194583465e-11,0
127,-8.8920294125864594e-11,1.5120907590055604e-05,1.5139386616938944e-05,-1.8479026883339166e-08,3.6565430646270068e-11,0
128,-1.8445538606120063e-10,1.7205463771295150e-04,1.7199968418071950e-04,5.4953532231997136e-08,9.3638064737069615e-12,0
129,1.2829329011235346e-10,8.2118271662939488e-06,8.2214901183856278e-06,-9.6629520916789914e-09,6.8175473594484825e-12,0
130,-1.5522263025007225e-10,1.7203937318758383e-04,1.7199990783561101e-04,3.9465351972821144e-08,1.4995984567191024e-11,0
131,-5.8354101068055516e-11,-2.3733545816952140e-05,-2.3715085696878886e-05,-1.8460120073253189e-08,3.4173505017488450e-11,0
132,-8.3795924394651641e-11,-8.5965067438663074e-06,-8.5750527387781088e-06,-2.1454005088198622e-08,2.3043226339808778e-11,0
133,-2.5441822788759647e-11,1.5137052887779362e-05,1.5139872280032468e-05,-2.8193922531055541e-09,3.7577284301020328e-11,0
134,9.9620374104214867e-11,-1.1514966804105102e-05,-1.1592367315246895e-05,7.7400511141793467e-08,3.0845888035259104e-11,0
135,-2.8686528611957474e-10,1.7205899636074835e-04,1.7199890065982144e-04,6.0095700926915494e-08,3.3261246676010433e-11,0
136,-1.2871068381717374e-10,1.2617881812712400e-05,1.2596966830692191e-05,2.0914982020208949e-08,1.6844304403874621e-11,0
137,1.2458093693972210e-10,-1.1049424255135318e-05,-1.1110890414636392e-05,6.1466159501074116e-08,4.1690901215813422e-11,0
138,-1.5978134211798447e-10,4.0244987720088705e-06,4.0191248976182673e-06,5.3738743906031806e-09,2.0536295909232798e-11,0
139,2.5329162073643842e-10,-2.3667168386972554e-05,-2.3712701347946932e-05,4.5532960974378371e-08,3.8476333917282652e-11,0
140,-3.1070658284884610e-11,-8.5933381340897287e-06,-8.5746493466467868e-06,-1.8688787442941915e-08,1.7547570633344911e-11,0
141,-2.8436227937659772e-10,1.5073877971925193e-05,1.5137891323224999e-05,-6.4013351299806870e-08,4.0492720419054358e-11,0
142,-1.8983642276341900e-10,-1.8161318389795650e-04,-1.8153409335328345e-04,-7.9090544673047526e-08,3.2065443178036292e-11,0
143,-1.9730136772854344e-10,-9.5456269460104243e-06,-9.5221827159129035e-06,-2.3444230097520804e-08,2.4905256596964596e-11,0
144,-7.4649447175906829e-12,1.7206752493403258e-04,1.7200103830477851e-04,6.6486629254073259e-08,1.6245673020301037e-11,0
147,4.0081226023407089e-10,-1.2857117748423658e-06,-1.3040786317204600e-06,1.8366856878094230e-08,2.8266701271560043e-11,0
148,7.5427781759690814e-11,4.0899257519426413e-06,4.0209244430124943e-06,6.9001308930146972e-08,5.0531247395494691e-11,0
149,4.0637207235867401e-10,-4.3968567624719929e-06,-4.3772759815532917e-06,-1.9580780918701190e-08,1.9608749239565618e-11,0
150,3.7654529298480981e-10,-1.3915211757278790e-05,-1.3893866483065383e-05,-2.1345274213407223e-08,2.1662212444119804e-11,0
151,5.1160815276007578e-11,-8.5395209758476476e-06,-8.5740202074915228e-06,3.4499231643875180e-08,2.8431170790883884e-11,0
152,-2.9826778816394071e-11,-9.5183698624124249e-06,-9.5209013960382386e-06,2.5315336258136824e-09,1.3602967238376391e-11,0
153,-3.5521125681402535e-10,-4.1425737813613472e-06,-4.1952133727156834e-06,5.2639591354336195e-08,5.5053116343213433e-11,0
154,-3.2538447759819136e-10,5.3756830576262571e-06,5.3224869816536184e-06,5.3196075972638645e-08,4.5841738830717044e-11,0
155,5.5088361315674881e-10,8.2386732567609269e-06,8.2247232857770196e-06,1.3949970983907317e-08,1.6390975018400037e-11,0
156,1.5547623246907260e-10,-1.3016135401223462e-06,-1.3059556563508139e-06,4.3421162284676531e-09,1.3042180866089057e-11,0
157,-3.9540738182490327e-10,-9.5402643217369631e-06,-9.5236983916628860e-06,-1.6565930074077109e-08,1.4242545771580549e-11,0
158,5.9793244128370246e-10,8.2297663345184176e-06,8.2250832484373287e-06,4.6830860810889892e-09,2.2586239326261007e-11,0
159,3.6538733689087955e-10,-1.2979309665737265e-06,-1.3043496618428977e-06,6.4186952691711936e-09,1.1192729015077422e-11,0
160,-2.3254510472090655e-10,-9.5277215057178611e-06,-9.5224523598090854e-06,-5.2691459087756825e-09,6.3058272912101418e-12,0
161,-1.1506242840510595e-10,-8.6087969590822877e-06,-8.5752919535345682e-06,-3.3505005547719482e-08,1.3895627642653776e-11,0
162,6.7227823331333269e-10,-1.8489432169923898e-04,-1.8489886586372904e-04,4.5441644900613178e-09,4.1780657595730793e-12,0
163,-3.1607053707892949e-10,1.2562176639432932e-05,1.2595533372008949e-05,-3.3356732576017694e-08,2.3190363136145679e-11,0
164,-2.1868090912664137e-10,-1.1147651975407236e-05,-1.1113516653210469e-05,-3.4135322196766850e-08,5.4240993789292079e-11,0
165,9.7389627704670676e-11,-2.3709586205329300e-05,-2.3713894127839505e-05,4.3079225102050510e-09,4.9592268812498762e-11,0
166,-2.5673115493843080e-10,1.2564927777441309e-05,1.2595987367628110e-05,-3.1059590186801003e-08,3.1977264655283052e-11,0
167,-3.2967079658622205e-10,3.9696876124421798e-06,4.0178251020139308e-06,-4.8137489571751001e-08,3.1956990650987077e-11,0
168,-7.2939641465656481e-11,-8.5951715874683227e-06,-8.5749696791857711e-06,-2.0201908282551525e-08,2.4774096280690032e-11,0
169,1.4563159727545029e-10,-2.3709087934846700e-05,-2.3713525036654955e-05,4.4371018082550620e-09,3.7409547301095727e-11,0
170,1.2765754658280538e-11,-8.5895334736444187e-06,-8.5743139616340342e-06,-1.5219512010384548e-08,1.4838250753888667e-11,0
171,-1.3286584254020345e-10,1.5119625667539549e-05,1.5139050396949081e-05,-1.9424729409531536e-08,3.7247616982343153e-11,0
172,5.2979356642729195e-11,-1.1549956321151196e-05,-1.1592724157816482e-05,4.2767836665286402e-08,3.8269797878038074e-11,0
173,7.6763794869761991e-11,-1.8492284317091212e-04,-1.8490342204440446e-04,-1.9421126507663221e-08,3.5680918316187456e-11,0
174,2.3784438636671990e-11,-1.7337301525821580e-04,-1.7330789910148715e-04,-6.5116156728651804e-08,2.9713326169693421e-11,0
175,-1.4267357126443032e-10,1.2629612007323404e-05,1.2596860002991880e-05,3.2752004331524344e-08,2.3642995867491165e-11,0
176,7.5037340968351662e-10,-1.7332924159778502e-04,-1.7330234009163759e-04,-2.6901506147431874e-08,1.8043778746172198e-11,0
177,8.6326711727261210e-11,-1.1086765366251274e-05,-1.1111183091270936e-05,2.4417725019661285e-08,4.5623783419441575e-11,0
178,8.9304698175476412e-10,-1.8595883782963766e-04,-1.8589330120079566e-04,-6.5536628841996424e-08,3.0773752180041142e-11,0
179,2.2900028359722740e-10,-2.3716248626447136e-05,-2.3712887196876375e-05,-3.3614295707608635e-09,5.2363874761683057e-11,0
180,-6.6404669825367271e-10,1.6224264420862649e-04,1.6218285022478844e-04,5.9793983838048181e-08,4.8298480189599521e-11,0
181,-2.2659877984638665e-11,-1.7337244410084614e-04,-1.7330825443913174e-04,-6.4189661714398423e-08,1.9740668813732161e-11,0
182,4.0329770890794590e-10,-1.7334963026054313e-04,-1.7330499550937173e-04,-4.4634751171398731e-08,3.9280788754327729e-11,0
183,-3.8393316367269391e-11,-2.3725737919857645e-05,-2.3714932980276820e-05,-1.0804939580825090e-08,3.8422386790936385e-11,0
184,-9.4044039219807329e-11,-8.5940421550480131e-06,-8.5751311453787077e-06,-1.8911009669305486e-08,2.4578857371798964e-11,0
185,-5.5650722397807383e-11,1.5131840598963525e-05,1.5139641156829167e-05,-7.8005578656417971e-09,3.9758929862000272e-11,0
186,2.4571490378431075e-10,-1.7335617009307629e-04,-1.7330620114887457e-04,-4.9968944201714488e-08,2.2060621667511777e-11,0
187,9.1763959881809642e-11,-2.3710949084539829e-05,-2.3713937168876575e-05,2.9880843367466174e-09,3.2720639983155371e-11,0
188,-7.4443560789183680e-12,-7.4902186891446718e-06,-7.5960491473175868e-06,1.0583045817291506e-07,1.9081657872624992e-11,0
192,6.6154294248950359e-10,-1.8490511751096360e-04,-1.8489894799763115e-04,-6.1695133324476091e-09,7.3980195069050878e-12,0
193,-1.2453016655800840e-10,-8.6182074834932273e-06,-8.5753643896046735e-06,-4.2843093888553842e-08,1.4070568872578478e-11,0
195,1.9273769414361678e-10,-2.3703207598086209e-05,-2.3713164635841149e-05,9.9570377549390945e-09,1.5571364428593472e-11,0
196,-5.5296035376315697e-11,-8.5934597625379272e-06,-8.5748346909270156e-06,-1.8625071610911623e-08,8.4172763607282706e-12,0
197,-2.4803372974795030e-10,1.5109745123529847e-05,1.5138169266839965e-05,-2.8424143310117853e-08,1.4980329186120083e-11,0
198,-2.0765050310560831e-10,-1.7337852699339518e-04,-1.7330966977124949e-04,-6.8857222145684086e-08,6.2314331432530056e-11,0
199,-2.5679613202286746e-10,1.2614287118306762e-05,1.2595986870499381e-05,1.8300247807380841e-08,1.4128181216417392e-11,0
200,-8.2629586375983984e-11,-1.1094317433089917e-05,-1.1112475747453081e-05,1.8158314363163970e-08,4.5873283748108460e-11,0
201,-2.5952956784166511e-10,4.0242335532824410e-06,4.0183617407422754e-06,5.8718125401656631e-09,1.6492178067977693e-11,0
202,1.7416654548853584e-10,-2.3708574760417226e-05,-2.3713306720571865e-05,4.7319601546394496e-09,3.8433946403400404e-11,0
203,-2.7334357475007361e-12,-8.5899784343038826e-06,-8.5744325433295445e-06,-1.5545890974338105e-08,1.6021677167119495e-11,0
204,-1.7689998123472812e-10,1.5118575228794881e-05,1.5138713499169904e-05,-2.0138270375023141e-08,3.2770772365201430e-11,0
205,-3.1767343159222096e-10,1.2562479903955800e-05,1.2595521108532978e-05,-3.3041204577177895e-08,2.2529403426424669e-11,0
206,-2.0190649215476725e-10,-1.1146927603091633e-05,-1.1113388314971268e-05,-3.3539288120365055e-08,5.1155684833969527e-11,0
207,-3.9125819145911217e-10,3.9688666557263774e-06,4.0173539072279514e-06,-4.8487251501574014e-08,2.2679021435572450e-11,0
208,1.1576693924105960e-10,-2.3709318990050967e-05,-2.3713753526123939e-05,4.4345360729721372e-09,3.8062188726540622e-11,0
209,-7.3584759594673798e-11,-8.5935661809069443e-06,-8.5749746148759283e-06,-1.8591566031016043e-08,1.5695553038303147e-11,0
210,-1.8935169881369205e-10,1.5115831594592782e-05,1.5138618233175753e-05,-2.2786638582971314e-08,4.2069379139863827e-11,0
211,1.7571091700442897e-10,-1.7336332784321064e-04,-1.7330673673758774e-04,-5.6591105622905320e-08,1.4488900105124788e-11,0
212,5.5341098472244327e-11,-1.7336464498759422e-04,-1.7330765766679734e-04,-5.6987320796883728e-08,1.2622410676239956e-11,0
213,-4.3536079364455653e-11,1.0827190296486613e-06,9.9808142975460185e-07,8.4637599894059496e-08,1.0357844564164694e-11,0
214,-1.0059657323941736e-10,-7.5104576852409038e-06,-7.5967618392429240e-06,8.6304154002020126e-08,9.5903334176712787e-12,0
215,-5.7060493792283661e-11,-8.5931638965417280e-06,-8.5748481905011955e-06,-1.8315706040532547e-08,1.7021218941353440e-11,0
216,-1.0171359093552841e-10,-1.7337039447840735e-04,-1.7330885926577575e-04,-6.1535212631604096e-08,1.8856799578266851e-11,0
219,3.8564672940520276e-11,4.0686432911454795e-06,4.0206424095751905e-06,4.8000881570288992e-08,2.2383546065414502e-11,0
220,2.3185645770815760e-10,-1.8598511039521082e-04,-1.8589835985814127e-04,-8.6750537069558552e-08,2.9824993927342142e-11,0
