key,value
session,18JUN04XA_ALLSKY_BASELINE_INTERCEPT
n_points,2728
n_params,27
nuisance_mode,baseline_intercept
intercept_s,-1.1593129493951678e-05
delta_gamma,1.3301663171560108e+01
delta_gamma_sigma,2.3685578724038994e+00
gamma_est,1.4301663171560108e+01
gamma_sigma,2.3685578724038994e+00
beta_est,7.6508315857800540e+00
beta_sigma,1.1842789362019497e+00
delta_beta,6.6508315857800540e+00
chi2,2.9842088203088833e+10
dof,2701
rmse_s,2.8826820307265741e-08
weighted_rmse_s,3.5309211506953242e-08
corr_template_residual,2.4920840957824903e-03
