obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
2,4.2088239504569368e-10,-1.7336660093111508e-04,-1.7335504231375798e-04,-1.1558617357107547e-08,9.3686024625575275e-12,0
3,5.6134982264934386e-10,-1.2781258498396203e-06,-1.2901627305982357e-06,1.2036880758615418e-08,8.6769629411875884e-12,0
4,2.8908365660373983e-10,-4.4037949262516057e-06,-4.3969086697622740e-06,-6.8862564893317824e-09,1.8846810014881036e-11,0
5,3.8470473414745542e-10,-1.8600212548464893e-04,-1.8597033904828433e-04,-3.1786436364598328e-08,5.0549744128220876e-11,0
7,9.5621078285215343e-11,-1.8159821627052714e-04,-1.8158779401388877e-04,-1.0422256638368274e-08,2.1595747554825850e-11,0
8,2.3608850579833400e-10,-9.5097239827795360e-06,-9.5107995992477287e-06,1.0756164681927359e-09,1.4874113464204514e-11,0
9,1.4046742747293517e-10,1.7208850305302885e-04,1.7207585706441062e-04,1.2645988618228228e-08,4.0291308805192838e-12,0
10,-4.8025186773296543e-11,1.1150499010107243e-06,1.1079820882534641e-06,7.0678127572601873e-09,1.3252442586263970e-11,0
11,1.0374486086930890e-10,-2.2575547891971748e-05,-2.2593543366076009e-05,1.7995474104261255e-08,2.8494204416215009e-11,0
13,1.5177004771186229e-10,-2.3690516560639571e-05,-2.3704046567920671e-05,1.3530007281099810e-08,2.8218383190159059e-11,0
16,3.9222131812776426e-10,8.2256109840564764e-06,8.2369035528182644e-06,-1.1292568761787911e-08,1.3417345415204035e-11,0
17,5.3506382994648215e-10,-1.7337420527865823e-04,-1.7335353508424675e-04,-2.0670194411485801e-08,1.1021878329601374e-11,0
18,1.4284251281322724e-10,-1.8159981702306076e-04,-1.8158706545505962e-04,-1.2751568001138176e-08,1.3548056465630638e-11,0
20,3.4608048204484884e-11,8.2186951094343624e-06,8.2325927394385087e-06,-1.3897630004146297e-08,2.3209434846592131e-11,0
21,7.4799743553667649e-10,-1.7334673796520674e-04,-1.7335084530589878e-04,4.1073406920348523e-09,2.4995382207153032e-11,0
22,-4.6672023320796439e-11,-1.1084784055684273e-05,-1.1076733833342222e-05,-8.0502223420514195e-09,5.9032902258624969e-11,0
23,7.1338938682483013e-10,-1.8156542173262610e-04,-1.8158007479678496e-04,1.4653064158852598e-08,1.6282594703502667e-11,0
24,-8.1280071102439545e-11,-1.9303381152685831e-05,-1.9307230970560454e-05,3.8498178746229769e-09,3.7926613473536455e-11,0
25,-7.9466945920508189e-10,1.6226207481006508e-04,1.6224926860818073e-04,1.2806201884357511e-08,4.4395595801406227e-11,0
26,2.3812793684848869e-11,8.1972939159728753e-06,8.2324370099662715e-06,-3.5143093993396249e-08,2.1555814577999150e-11,0
28,6.0218713601943757e-10,8.2457657659936248e-06,8.2393282474197037e-06,6.4375185739211425e-09,4.3424347473992746e-11,0
29,6.6547609613359161e-10,-1.8488345242599321e-04,-1.8488820545548099e-04,4.7530294877869139e-09,3.2352004475922279e-12,0
30,3.0421305524075054e-10,-1.2820833110913782e-05,-1.2821459765887623e-05,6.2665497384136154e-10,1.9964599246431924e-12,0
31,-3.6126304092930583e-10,1.7206261303883037e-04,1.7206907785181948e-04,-6.4648129891097059e-09,1.6261462249252415e-12,0
32,-1.2705230123151748e-10,1.2620046158813396e-05,1.2627141430765843e-05,-7.0952719524468348e-09,2.1135834512179630e-11,0
33,2.9433071550473919e-10,8.2601822569364908e-06,8.2356003116951950e-06,2.4581945241295745e-08,8.4226225479226168e-12,0
34,9.5450794815706916e-11,-1.1072337752500439e-05,-1.1075349651590309e-05,3.0118990898709154e-09,5.4628007159835621e-11,0
35,-1.2778988487810344e-10,4.0263114872993513e-06,4.0435999823471699e-06,-1.7288495047818515e-08,2.6604854494090158e-11,0
36,4.2138301670701679e-10,-4.3598836614710396e-06,-4.3950433422465054e-06,3.5159680775465819e-08,1.6744665684564309e-11,0
37,2.2250309602538215e-10,-2.3692355855108038e-05,-2.3703307429733736e-05,1.0951574625697594e-08,4.9150388456933495e-11,0
38,-7.3758363778596140e-13,-8.5937507645337564e-06,-8.5917273040941166e-06,-2.0234604396398702e-09,2.3580725122691696e-11,0
39,-1.9887992079148528e-10,-1.9332537279025900e-05,-1.9308892434903438e-05,-2.3644844122462026e-08,3.1268737152053116e-11,0
40,-4.2212060092947243e-10,-4.2339020444644854e-06,-4.1891723354313572e-06,-4.4729709033128154e-08,2.2876397664308204e-11,0
41,-2.2324068003478455e-10,1.5098663567646858e-05,1.5106871120209764e-05,-8.2075525629055448e-09,5.6878808670982913e-11,0
42,1.9785538870883066e-10,-1.8489440113490102e-04,-1.8489384691760369e-04,-5.5421729732623229e-10,1.7715604963448130e-11,0
43,2.0260189029074250e-11,-1.2827981543252903e-05,-1.2825253709668388e-05,-2.7278335845150428e-09,7.5687885747749250e-12,0
44,-1.7759519958631305e-10,1.7206642251824285e-04,1.7207093641418572e-04,-4.5138959428711514e-09,4.4813222442819293e-12,0
45,-2.9944996200238233e-10,3.9959879550820199e-06,4.0414528400634557e-06,-4.5464884981435814e-08,2.9540374206400069e-11,0
46,-1.4990887682203153e-09,-1.8161706170755944e-04,-1.8160563134141097e-04,-1.1430366148463536e-08,2.8251206957224314e-11,0
47,-1.4335949097182790e-09,-9.5467707041836658e-06,-9.5309130011711766e-06,-1.5857703012489200e-08,2.3627544357898392e-11,0
48,6.5493861916815388e-11,1.7207029199948869e-04,1.7207357594557627e-04,-3.2839460875828171e-09,1.3041498132866794e-11,0
49,-1.5470140235756918e-10,1.5111367309922439e-05,1.5107926127252242e-05,3.4411826701965381e-09,8.1636912361874602e-11,0
50,-4.2221381663404773e-09,-1.8164635559576696e-04,-1.8163802652027285e-04,-8.3290754941125426e-09,5.1866487895248031e-11,0
51,-5.4332030699589086e-09,-9.5787494113356089e-06,-9.5787824721621158e-06,3.3060826506867624e-11,3.9083301739886292e-11,0
52,-1.2110649087856152e-09,1.7206748694264759e-04,1.7205810091370111e-04,9.3860289464720720e-09,1.5331175698200191e-11,0
57,1.4784566026053120e-10,-1.7337360156515543e-04,-1.7335677340686679e-04,-1.6828158288644543e-08,4.1419011391854406e-11,0
58,5.4115100424859800e-12,1.1401168777680493e-06,1.1057123017934174e-06,3.4404575974631912e-08,2.3281496425569630e-11,0
59,1.5448743811491631e-10,8.2263608532189003e-06,8.2337141383329253e-06,-7.3532851140250090e-09,1.4178714351460366e-11,0
60,-2.5884325727678949e-10,1.7206204138133212e-04,1.7206883428797312e-04,-6.7929066409930065e-09,3.0024123121810971e-11,0
61,-1.9924087192748887e-10,1.2623412096904579e-05,1.2625584189915616e-05,-2.1720930110377337e-09,2.6233929511613250e-11,0
62,1.0656900286445416e-10,8.2229429046939972e-06,8.2330962220742323e-06,-1.0153317380235085e-08,2.2231371041952811e-11,0
63,-1.2262597308100605e-10,-1.1091635556067375e-05,-1.1078776702798396e-05,-1.2858853268979593e-08,6.4579425515391614e-11,0
64,-1.0914221419472298e-10,4.0806670125320688e-06,4.0433441098135071e-06,3.7322902718561671e-08,8.3091292824280055e-11,0
65,3.0580987501311476e-10,-4.4004859120899686e-06,-4.3959828510556760e-06,-4.5030610342926652e-09,2.2937821989369824e-11,0
66,7.6614898947856730e-11,-2.3715046492488352e-05,-2.3705255349848024e-05,-9.7911426403278414e-09,5.3330053622278601e-11,0
70,1.5014060793234043e-10,-1.2989220046486817e-06,-1.2954609226346479e-06,-3.4610820140337610e-09,4.8932164256870252e-11,0
71,-2.3822133096315521e-10,1.2616325212610330e-05,1.2624908166863326e-05,-8.5829542529960458e-09,1.3486873849029565e-11,0
72,-1.5509444132562130e-10,-1.1094360514939637e-05,-1.1079412450607442e-05,-1.4948064332194811e-08,3.9928343528851195e-11,0
74,8.3126889530587917e-11,-2.3710575085465063e-05,-2.3705238687366913e-05,-5.3363980981498138e-09,3.4505646626511985e-11,0
76,-4.2640064637952267e-11,1.5123119089181791e-05,1.5109813792262463e-05,1.3305296919328150e-08,3.3213946757952947e-11,0
77,-2.2069537892790027e-10,1.7205798881491513e-04,1.7206855915918707e-04,-1.0570344271941144e-08,2.2981772352742545e-11,0
78,-1.2843682885677962e-10,1.2619128863379124e-05,1.2626092429446972e-05,-6.9635660678484733e-09,2.1297663478357500e-11,0
79,1.0947859276942512e-10,-1.1066814308617612e-05,-1.1076399555982776e-05,9.5852473651637771e-09,4.9054691901726040e-11,0
80,-1.4249250986666382e-10,4.0254543524723151e-06,4.0427111562713729e-06,-1.7256803799057776e-08,2.7336544776282423e-11,0
81,2.3791542160308508e-10,-2.3685950054419536e-05,-2.3703424598282820e-05,1.7474543863284041e-08,4.2665634164145972e-11,0
82,-1.4055680999500771e-11,-8.5936470510001185e-06,-8.5914041566045383e-06,-2.2428943955801772e-09,2.2339451256484626e-11,0
