key,value
session,18JUN06XA_ALL_baseline_intercept
n_points,825
n_params,7
nuisance_mode,baseline_intercept
intercept_s,5.9906605878048900e-07
delta_gamma,1.6855298235832501e+02
delta_gamma_sigma,9.9451160015682341e+00
gamma_est,1.6955298235832501e+02
gamma_sigma,9.9451160015682341e+00
beta_est,8.5276491179162505e+01
beta_sigma,4.9725580007841170e+00
delta_beta,8.4276491179162505e+01
chi2,3.1312614304756441e+09
dof,818
rmse_s,3.1962887173301452e-08
weighted_rmse_s,3.0425097465815490e-08
corr_template_residual,3.7674184731459465e-01
