obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
4,1.8181349574414802e-11,-4.8639754901443066e-06,-4.8729081706229777e-06,8.9326804786710192e-09,6.1335412476776339e-11,0
6,8.2172884416531214e-11,3.6121387509604336e-06,3.6022123633931322e-06,9.9263875673013818e-09,5.1266267860337570e-11,0
7,2.6467268941288630e-11,-4.8656149515304004e-06,-4.8723662377180023e-06,6.7512861876018999e-09,4.2609996574569928e-11,0
9,6.4790175939081450e-12,7.1897332105030562e-07,5.9899026838436128e-07,1.1998305266594434e-07,2.2648346762268750e-11,0
10,-6.4795124645138414e-11,-7.7634413850182838e-06,-7.7823152672013063e-06,1.8873882183022495e-08,1.9930729496060669e-11,0
11,-7.1274142271642691e-11,-8.4823836919794247e-06,-8.4791725515592917e-06,-3.2111404201329936e-09,3.1251639428404838e-11,0
15,3.3734848724837345e-11,7.2106847577840111e-07,6.0032814147681518e-07,1.2074033430158592e-07,7.0079742862900457e-12,0
17,-5.9742306533758613e-11,7.0748660305208766e-07,5.9573974458739886e-07,1.1174685846468880e-07,2.7800992471410778e-11,0
18,-1.4600255707791740e-10,-7.7728039476754329e-06,-7.7880222820416282e-06,1.5218334366195311e-08,2.6281332148481591e-11,0
19,6.4239345871225349e-11,2.9001592794196396e-06,2.9032009583806222e-06,-3.0416789609826005e-09,2.7834808622054324e-11,0
21,-8.1763211604231704e-11,-4.8725934051011563e-06,-4.8770555396794890e-06,4.4621345783326958e-09,5.4213115841635866e-11,0
22,-8.6260250474354203e-11,-8.4802952559116795e-06,-8.4795040598148020e-06,-7.9119609687758666e-10,3.1062203225457555e-11,0
23,-4.0180746812714853e-11,7.0843012050288839e-07,5.9669993854631712e-07,1.1173018195657128e-07,3.8795897693834821e-11,0
24,-1.2850721506151500e-10,-7.7719662508173720e-06,-7.7875635078632202e-06,1.5597257045848209e-08,2.8631917688684445e-11,0
25,3.9808829234726689e-11,2.8989867013034382e-06,2.9025608975836780e-06,-3.5741962802398438e-09,2.0594929353485071e-11,0
26,-3.7191798004754989e-13,3.6073743787412051e-06,3.5984209133560601e-06,8.9534653851449350e-09,2.7758867368691290e-11,0
27,-8.8698386144728264e-11,-4.8730167470881647e-06,-4.8772718590234276e-06,4.2551119352628766e-09,2.4767436902678271e-11,0
28,-8.8326468199606757e-11,-8.4803693099957250e-06,-8.4795115547170550e-06,-8.5775527867005923e-10,3.2828855329420837e-11,0
29,-2.2121136899308684e-11,7.0925303915494661e-07,5.9758640816257266e-07,1.1166663099237395e-07,6.1669230012188287e-11,0
30,-1.1264557876431626e-10,-7.7712898779959058e-06,-7.7873102978488443e-06,1.6020419852938453e-08,8.1120059002887547e-11,0
31,1.8403298147401081e-11,2.8983782847016165e-06,2.9022445700659301e-06,-3.8662853643136000e-09,4.7471127194082973e-11,0
32,-3.7178390709937536e-12,3.6074282780398578e-06,3.5983134507998382e-06,9.1148272400196436e-09,4.5994773572984996e-11,0
33,-9.4242280874162326e-11,-4.8730922639220534e-06,-4.8773809896608251e-06,4.2887257387717352e-09,3.8954925385265030e-11,0
34,-9.0524441828177132e-11,-8.4805089786352261e-06,-8.4794960771646826e-06,-1.0129014705435001e-09,5.6358370437250324e-11,0
35,5.0106753566720923e-11,7.1351061937171417e-07,6.0113176881274028e-07,1.1237885055897389e-07,8.7588005901766694e-12,0
