key,value
session,18JUN06XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,825
n_params,12
nuisance_mode,baseline_intercept_linear
intercept_s,5.9867224090382743e-07
delta_gamma,9.6171513172882101e+01
delta_gamma_sigma,7.0869286496854302e+00
gamma_est,9.7171513172882101e+01
gamma_sigma,7.0869286496854302e+00
beta_est,4.9085756586441050e+01
beta_sigma,3.5434643248427151e+00
delta_beta,4.8085756586441050e+01
chi2,1.3211921321356556e+09
dof,813
rmse_s,2.1218000543080063e-08
weighted_rmse_s,1.9763110697889505e-08
corr_template_residual,3.7674184731459465e-01
