obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
4,1.8181349574414802e-11,-4.8639754901443066e-06,-2.1889537025207873e-06,-2.6750217876235193e-06,6.1335412476776339e-11,0
6,8.2172884416531214e-11,3.6121387509604336e-06,-1.6666564951381717e-06,5.2787952460986049e-06,5.1266267860337570e-11,0
7,2.6467268941288630e-11,-4.8656149515304004e-06,-2.1213242487720483e-06,-2.7442907027583521e-06,4.2609996574569928e-11,0
9,6.4790175939081450e-12,7.1897332105030562e-07,-2.2844678252615997e-06,3.0034411463119054e-06,2.2648346762268750e-11,0
10,-6.4795124645138414e-11,-7.7634413850182838e-06,-2.8662054807482538e-06,-4.8972359042700300e-06,1.9930729496060669e-11,0
11,-7.1274142271642691e-11,-8.4823836919794247e-06,-2.9190870504942378e-06,-5.5632966414851870e-06,3.1251639428404838e-11,0
15,3.3734848724837345e-11,7.2106847577840111e-07,-2.0620064556492056e-06,2.7830749314276067e-06,7.0079742862900457e-12,0
17,-5.9742306533758613e-11,7.0748660305208766e-07,-2.8249645135563083e-06,3.5324511166083960e-06,2.7800992471410778e-11,0
18,-1.4600255707791740e-10,-7.7728039476754329e-06,-3.5290183869084234e-06,-4.2437855607670096e-06,2.6281332148481591e-11,0
19,6.4239345871225349e-11,2.9001592794196396e-06,-1.8130295603226786e-06,4.7131888397423184e-06,2.7834808622054324e-11,0
21,-8.1763211604231704e-11,-4.8725934051011563e-06,-3.0046985557342748e-06,-1.8678948493668815e-06,5.4213115841635866e-11,0
22,-8.6260250474354203e-11,-8.4802952559116795e-06,-3.0414032675239063e-06,-5.4388919883877733e-06,3.1062203225457555e-11,0
23,-4.0180746812714853e-11,7.0843012050288839e-07,-2.6653035827854297e-06,3.3737337032883181e-06,3.8795897693834821e-11,0
24,-1.2850721506151500e-10,-7.7719662508173720e-06,-3.3862218701517000e-06,-4.3857443806656720e-06,2.8631917688684445e-11,0
25,3.9808829234726689e-11,2.8989867013034382e-06,-2.0124307880888193e-06,4.9114174893922571e-06,2.0594929353485071e-11,0
26,-3.7191798004754989e-13,3.6073743787412051e-06,-2.3403849794143121e-06,5.9477593581555172e-06,2.7758867368691290e-11,0
27,-8.8698386144728264e-11,-4.8730167470881647e-06,-3.0613032660940016e-06,-1.8117134809941631e-06,2.4767436902678271e-11,0
