key,value
session,18JUN06XA_ALLSKY_NONE
n_points,825
n_params,2
nuisance_mode,none
intercept_s,-2.3373493947415349e-06
delta_gamma,1.6321946868011750e+04
delta_gamma_sigma,1.2894225167055019e+03
gamma_est,1.6322946868011750e+04
gamma_sigma,1.2894225167055019e+03
beta_est,8.1619734340058749e+03
beta_sigma,6.4471125835275097e+02
delta_beta,8.1609734340058749e+03
chi2,6.8144361381487086e+13
dof,823
rmse_s,4.6477267087910308e-06
weighted_rmse_s,4.4883557988312401e-06
corr_template_residual,3.7674184731459465e-01
