obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,9.7769952136653649e-11,-6.2817316486898922e-06,-6.2818399360439989e-06,1.0828735410667529e-10,3.5246680418270136e-11,0
1,-4.8677251523545270e-11,-2.1552058297915269e-04,-2.1552187588825498e-04,1.2929091022892848e-09,2.6962508550565448e-11,0
2,-4.5353719985403286e-11,-2.0117067005474484e-04,-2.0121206276416673e-04,4.1392709421888326e-08,3.4295482082911612e-11,0
3,-8.8726568902080986e-11,-1.7156804049445478e-04,-1.7160385668974317e-04,3.5816195288393676e-08,1.8574771592691632e-11,0
4,-9.0164814808238230e-11,-1.0336956120895571e-04,-1.0333722880170025e-04,-3.2332407255464312e-08,2.3041792457504061e-11,0
5,2.5944434471790035e-10,2.1503286071547500e-07,2.1230305846601785e-07,2.7298022494571537e-09,9.2572401641720470e-12,0
6,2.0797298260901866e-10,-1.9076402692358441e-06,-1.9148213593212372e-06,7.1810900853931225e-09,1.0450158505781191e-11,0
8,-4.0049317386857522e-11,4.3952660531719370e-05,4.3917603964138962e-05,3.5056567580408560e-08,5.2989452596140501e-11,0
9,-4.1487563288520035e-11,1.1215105060739035e-04,1.1218348703563138e-04,-3.2436428241028629e-08,5.1700968804251505e-11,0
10,3.0812159622014268e-10,2.1573557778965542e-04,2.1573187750438053e-04,3.7002852748839379e-09,2.9486712658399011e-11,0
11,2.5665023410617308e-10,2.1361293165505536e-04,2.1360196998910071e-04,1.0961665954654139e-08,3.6704980662024477e-11,0
12,-4.3372849219957243e-11,2.9602761663196156e-05,2.9605122489581316e-05,-2.3608263851596003e-09,7.1070794269992074e-11,0
14,3.0479806414981331e-10,2.0138566013643932e-04,2.0142142008976820e-04,-3.5759953328872015e-08,4.0587936829602355e-11,0
15,2.5332670197627363e-10,1.9926302561905167e-04,1.9929188174065132e-04,-2.8856121599645347e-08,3.8772546836068231e-11,0
16,-1.4382458979895754e-12,6.8198451268791974e-05,6.8261951702900991e-05,-6.3500434109017368e-08,3.2163910898748755e-11,0
17,3.4817091360079131e-10,1.7178303069267757e-04,1.7181804786389261e-04,-3.5017171215033938e-08,2.1608018523971420e-11,0
18,2.9669955148417996e-10,1.6966031680281605e-04,1.6968828421082562e-04,-2.7967408009567157e-08,4.2671618709370360e-11,0
19,3.4960915953839592e-10,1.0358461051073777e-04,1.0354494929102075e-04,3.9661219717018314e-08,2.3917396372699007e-11,0
20,2.9813779742547783e-10,1.0146192989222806e-04,1.0142096588736313e-04,4.0964004864926925e-08,2.9395707688500099e-11,0
21,-5.1471362164782303e-11,-2.1226280478008498e-06,-2.1254688857278375e-06,2.8408379269877850e-09,1.0059042200916282e-11,0
22,-4.1708222282851656e-11,4.3952653094360698e-05,4.3917602025962454e-05,3.5051068398244236e-08,1.7276993132087612e-11,0
23,7.1227744692148766e-11,-6.2896073309698375e-06,-6.2818709465519303e-06,-7.7363844179072103e-09,2.8325285205534542e-11,0
24,6.8853786063118858e-11,-1.0927298068021422e-05,-1.0890468806830667e-05,-3.6829261190754744e-08,1.0227835231547191e-11,0
25,-6.7144406320595338e-11,3.4139979744958644e-06,3.4171043836262794e-06,-3.1064091304149923e-09,1.0469289653661495e-11,0
27,6.2826463874007085e-11,1.0122650857509333e-04,1.0129071803137980e-04,-6.4209456286467128e-08,7.9623301207643047e-12,0
28,-1.1302395119684949e-11,-6.2973989881100721e-06,-6.2819673703916038e-06,-1.5431617718468291e-08,9.3642202472335320e-12,0
29,-1.3599819238034334e-10,1.4341282000133494e-05,1.4311066203527014e-05,3.0215796606480102e-08,1.0547211010986725e-11,0
31,-6.0273222020471600e-12,1.1215383453983766e-04,1.1218352846549700e-04,-2.9693925659334463e-08,4.7867984407366455e-12,0
32,-8.0156181186891698e-11,4.6299016117051350e-06,4.6148238575849702e-06,1.5077754120164811e-08,1.1625769396434564e-11,0
