key,value
session,18MAY01XA_baseline_intercept
n_points,2645
n_params,46
nuisance_mode,baseline_intercept
intercept_s,-2.0460912527069398e-04
delta_gamma,7.7774955151768532e-01
delta_gamma_sigma,8.4074478842697323e-02
gamma_est,1.7777495515176853e+00
gamma_sigma,8.4074478842697323e-02
beta_est,1.3888747757588427e+00
beta_sigma,4.2037239421348661e-02
delta_beta,3.8887477575884266e-01
chi2,1.1476409848286490e+09
dof,2599
rmse_s,1.3449177615655702e-08
weighted_rmse_s,1.0246241222749797e-08
corr_template_residual,3.1337569672593107e-01
