obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-1.6854652059135261e-11,-1.5794439175844527e-05,-6.4140914169919826e-06,-9.3803477588525442e-06,1.9582611195918145e-11,0
1,1.2692209328883622e-10,-3.9253252437500968e-05,-6.2057445229933749e-06,-3.3047507914507596e-05,3.2926853373145164e-11,0
3,-1.1287965692841723e-10,-2.5368549400364400e-05,-6.5532412597728575e-06,-1.8815308140591543e-05,1.6025925313706010e-11,0
5,-1.5502840719297658e-11,3.5860710369622038e-06,-6.4121325070636379e-06,9.9982035440258417e-06,1.3240042268085287e-11,0
6,-1.6848954452503699e-11,7.0679529435473468e-06,-6.4140831605897247e-06,1.3482036104137072e-05,1.8844684233518702e-11,0
7,1.2692779089652306e-10,-1.6390911621725832e-05,-6.2057362665895881e-06,-1.0185175355136243e-05,3.2491816768771371e-11,0
9,-1.1287395932311843e-10,-2.5061663875887040e-06,-6.5532330033725308e-06,4.0470666157838268e-06,1.5484105713684653e-11,0
10,1.5508538150137820e-11,1.9276323002242503e-05,-6.3671939152877310e-06,2.5643516917530235e-05,1.4181443981648835e-11,0
11,-1.3461137496416504e-12,3.4818646163998004e-06,-6.3916179927993475e-06,9.8734826091991471e-06,1.2652881939159469e-11,0
12,1.4243063163864565e-10,-1.9977019909105630e-05,-6.1832710987423182e-06,-1.3793748810363311e-05,1.5634859412167997e-11,0
14,-9.7371118645191257e-11,-6.0922356540041994e-06,-6.5307678356182872e-06,4.3853218161408774e-07,1.2218434819695378e-11,0
15,1.4377674544510273e-10,-2.3458799709180460e-05,-6.1813204451100829e-06,-1.7277479264070376e-05,3.0164487487995275e-11,0
17,-9.6025004929882739e-11,-9.5740799907874721e-06,-6.5288171821181356e-06,-3.0452628086693365e-06,1.9557806041605467e-11,0
18,-2.3980175043136293e-10,1.3884810078248003e-05,-6.7371640763391928e-06,2.0621974154587195e-05,3.1116806909217849e-11,0
21,-1.0934543017139789e-10,-1.5805311317839375e-05,-6.5481198114765450e-06,-9.2571915063628303e-06,4.0309870482871326e-11,0
22,5.9935592797266792e-11,-3.9262738985134348e-05,-6.3028146665932810e-06,-3.2959924318541066e-05,5.4105436002308567e-11,0
24,-1.7625466084560734e-10,-2.5374780715375911e-05,-6.6450779833774959e-06,-1.8729702731998416e-05,3.8666858317915594e-11,0
26,-7.2288817952046291e-11,3.5801036188357234e-06,-6.4944210715354848e-06,1.0074524690371207e-05,3.6158319306375679e-11,0
27,-1.0933913318618564e-10,7.0574733365366162e-06,-6.5481106865147343e-06,1.3605584023051351e-05,5.9999433616680545e-11,0
30,-1.7624836386356033e-10,-2.5119960749310499e-06,-6.6450688584202728e-06,4.1330727834892229e-06,5.2559669371816354e-11,0
31,7.2295115143930360e-11,1.9282654761210334e-05,-6.2849044817021041e-06,2.5567559242912437e-05,3.7320755539337821e-11,0
32,-3.7050315216206703e-11,3.4773737034250784e-06,-6.4433569542027072e-06,9.9207306576277847e-06,5.9962885800228933e-11,0
33,1.3223070769358396e-10,-1.9980231823949965e-05,-6.1980518094047581e-06,-1.3782180014545206e-05,3.9213261927966426e-11,0
35,-1.0395954585891409e-10,-6.0921340009892008e-06,-6.5403151260580090e-06,4.4818112506880812e-07,3.6997479320338721e-11,0
36,1.6928102291248293e-10,-2.3457640165166702e-05,-6.1443621944475924e-06,-1.7313277970719110e-05,8.1350286433778017e-11,0
38,-6.6909230643179675e-11,-9.5695121088727395e-06,-6.4866255111054300e-06,-3.0828865977673095e-06,4.0781011796130749e-11,0
39,-2.3619025371305755e-10,1.3888139753547371e-05,-6.7319306561353619e-06,2.0620070409682732e-05,5.5159106421797141e-11,0
42,-6.0615553748324869e-11,-1.5802140449616220e-05,-6.4775053433780255e-06,-9.3246351062381938e-06,7.1649460541650536e-11,0
