obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-4.3678100173396928e-11,-2.1703839645570406e-04,-2.1757080046420256e-04,5.3240400849850463e-07,1.7673467237287376e-11,0
1,-4.2119431433160456e-11,-2.2612762638389916e-04,-2.2678841411039285e-04,6.6078772649369086e-07,3.2176005956930548e-11,0
3,1.5586687380650828e-12,-9.0892991391146314e-06,-9.1352596346389969e-06,4.5960495524365505e-08,3.2309681010772398e-11,0
6,-5.2003073666097885e-10,3.5380541341651847e-05,1.7504039607747085e-04,-1.3965985473581900e-04,3.9004025616004257e-11,0
7,-5.2003526544954226e-10,6.6443560551628783e-06,8.7657158952044335e-06,-2.1213598400415552e-06,2.9590452793475588e-11,0
8,-4.1413012322676081e-10,-5.4147002824195788e-05,-5.1520321768376261e-05,-2.6266810558195266e-06,9.7102517410550629e-11,0
9,-6.7200451428246234e-11,-1.7716684277075106e-04,-1.7604072352848222e-04,-1.1261192422688392e-06,1.9575737521609548e-11,0
10,-2.5694573325777281e-10,-1.3037314322344009e-05,-1.1100077968280133e-05,-1.9372363540638758e-06,2.1728039334597716e-11,0
11,-3.2374414725763590e-10,-2.2015128939571922e-06,1.7584396509381970e-07,-2.3773568590510119e-06,2.5022657999376862e-11,0
12,-2.8506567378426685e-10,-9.0945574561648521e-06,-5.3640268902937008e-06,-3.7305305658711513e-06,2.1857709690383119e-11,0
13,-4.4437344109555342e-10,2.1475507269663863e-04,2.1697243941180310e-04,-2.2173667151644699e-06,1.5367785590736591e-11,0
14,1.0590061329711754e-10,-8.9527526070679042e-05,-2.3129549887642957e-04,1.4176797280575053e-04,3.4839127641703816e-11,0
15,4.5283028499103197e-10,-2.1254741773761490e-04,-3.3913811704902564e-04,1.2659069931141075e-04,1.2076540832708613e-11,0
16,2.6308500321100892e-10,-4.8417859760685640e-05,-2.1351322592628183e-04,1.6509536616559619e-04,1.2745589258564440e-11,0
17,1.9628658922871910e-10,-3.7582092081121787e-05,-1.8100207402333329e-04,1.4341998194221151e-04,9.1374514758674556e-12,0
18,2.3496506265400231e-10,-4.4475084896689922e-05,-1.9779378577144236e-04,1.5331870087475244e-04,8.4252470825912681e-12,0
19,7.5657295500303724e-11,1.7937455871799542e-04,4.2914497374614357e-05,1.3646006134338106e-04,6.4850085548878765e-12,0
21,1.0590514208228223e-10,-6.0791388516779656e-05,-5.7453174754571742e-05,-3.3382137622079138e-06,2.5616775995944509e-11,0
22,4.5283481378293724e-10,-1.8381125586714678e-04,-1.8162436871480779e-04,-2.1868871523389997e-06,9.3927249455005870e-12,0
23,2.6308953199609279e-10,-1.9681711813716168e-05,-1.2488566721322709e-05,-7.1931450923934598e-06,1.0320062018053845e-11,0
24,1.9629111801826450e-10,-8.8459334549231133e-06,-5.6121610946224506e-06,-3.2337723603006628e-06,7.7067449593540508e-12,0
