key,value
session,18MAY15XH_ALL_baseline_intercept
n_points,3794
n_params,102
nuisance_mode,baseline_intercept
intercept_s,-2.1504853137830219e-04
delta_gamma,-1.3589003556448459e+04
delta_gamma_sigma,1.7661076073516347e+03
gamma_est,-1.3588003556448459e+04
gamma_sigma,1.7661076073516347e+03
beta_est,-6.7935017782242294e+03
beta_sigma,8.8305380367581733e+02
delta_beta,-6.7945017782242294e+03
chi2,6.6221592448347140e+15
dof,3692
rmse_s,2.5424402763624351e-05
weighted_rmse_s,2.3444871517057429e-05
corr_template_residual,-1.7062086624479972e-02
