key,value
session,18MAY15XH_ALL_none
n_points,3794
n_params,2
nuisance_mode,none
intercept_s,1.6803366499158487e-03
delta_gamma,-1.2259009657219348e+06
delta_gamma_sigma,2.4523342081233072e+06
gamma_est,-1.2258999657219348e+06
gamma_sigma,2.4523342081233072e+06
beta_est,-6.1294948286096740e+05
beta_sigma,1.2261671040616536e+06
delta_beta,-6.1295048286096740e+05
chi2,1.9244062008885348e+22
dof,3792
rmse_s,9.5889129462241762e-02
weighted_rmse_s,3.9966527929565697e-02
corr_template_residual,-1.7062086624479972e-02
