obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-4.3678100173396928e-11,-2.1703839645570406e-04,-2.1704063024597460e-04,2.2337902705403360e-09,1.7673467237287376e-11,0
1,-4.2119431433160456e-11,-2.2612762638389916e-04,-2.2612885666978052e-04,1.2302858813629212e-09,3.2176005956930548e-11,0
3,1.5586687380650828e-12,-9.0892991391146314e-06,-9.0891281475116118e-06,-1.7099160301961883e-10,3.2309681010772398e-11,0
6,-5.2003073666097885e-10,3.5380541341651847e-05,3.5369223487006231e-05,1.1317854645616105e-08,3.9004025616004257e-11,0
7,-5.2003526544954226e-10,6.6443560551628783e-06,6.6314921970657631e-06,1.2863858097115176e-08,2.9590452793475588e-11,0
8,-4.1413012322676081e-10,-5.4147002824195788e-05,-5.4148131656718660e-05,1.1288325228720180e-09,9.7102517410550629e-11,0
9,-6.7200451428246234e-11,-1.7716684277075106e-04,-1.7716833721239045e-04,1.4944416393942138e-09,1.9575737521609548e-11,0
10,-2.5694573325777281e-10,-1.3037314322344009e-05,-1.3039293669265997e-05,1.9793469219881420e-09,2.1728039334597716e-11,0
11,-3.2374414725763590e-10,-2.2015128939571922e-06,-2.1994932539854592e-06,-2.0196399717330600e-09,2.5022657999376862e-11,0
12,-2.8506567378426685e-10,-9.0945574561648521e-06,-9.0920719922903983e-06,-2.4854638744538100e-09,2.1857709690383119e-11,0
13,-4.4437344109555342e-10,2.1475507269663863e-04,2.1475110561158353e-04,3.9670850550963324e-09,1.5367785590736591e-11,0
14,1.0590061329711754e-10,-8.9527526070679042e-05,-8.9517781785360451e-05,-9.7442853185908092e-09,3.4839127641703816e-11,0
15,4.5283028499103197e-10,-2.1254741773761490e-04,-2.1253953130180369e-04,-7.8864358112030152e-09,1.2076540832708613e-11,0
16,2.6308500321100892e-10,-4.8417859760685640e-05,-4.8411852269939431e-05,-6.0074907462092254e-09,1.2745589258564440e-11,0
17,1.9628658922871910e-10,-3.7582092081121787e-05,-3.7576450868907693e-05,-5.6412122140939223e-09,9.1374514758674556e-12,0
18,2.3496506265400231e-10,-4.4475084896689922e-05,-4.4465789077246688e-05,-9.2958194432339559e-09,8.4252470825912681e-12,0
19,7.5657295500303724e-11,1.7937455871799542e-04,1.7937532949465732e-04,-7.7077666189688532e-10,6.4850085548878765e-12,0
21,1.0590514208228223e-10,-6.0791388516779656e-05,-6.0781824419608955e-05,-9.5640971707004058e-09,2.5616775995944509e-11,0
