key,value
session,18MAY15XH_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,3794
n_params,202
nuisance_mode,baseline_intercept_linear
intercept_s,-2.1684708372782442e-04
delta_gamma,1.4940170220242056e+01
delta_gamma_sigma,8.8422897574115689e-01
gamma_est,1.5940170220242056e+01
gamma_sigma,8.8422897574115689e-01
beta_est,8.4700851101210279e+00
beta_sigma,4.4211448787057844e-01
delta_beta,7.4700851101210279e+00
chi2,1.3621727115058806e+09
dof,3592
rmse_s,1.4006132773543382e-08
weighted_rmse_s,1.0633203728232877e-08
corr_template_residual,-1.7062086624479972e-02
