obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,-4.3678100173396928e-11,-2.1703839645570406e-04,1.7071091188294819e-03,-1.9241475152851860e-03,1.7673467237287376e-11,0
1,-4.2119431433160456e-11,-2.2612762638389916e-04,1.7061537336312024e-03,-1.9322813600151016e-03,3.2176005956930548e-11,0
3,1.5586687380650828e-12,-9.0892991391146314e-06,1.6793812647189002e-03,-1.6884705638580148e-03,3.2309681010772398e-11,0
6,-5.2003073666097885e-10,3.5380541341651847e-05,1.9990892210240037e-03,-1.9637086796823518e-03,3.9004025616004257e-11,0
7,-5.2003526544954226e-10,6.6443560551628783e-06,1.9990919969426115e-03,-1.9924476408874486e-03,2.9590452793475588e-11,0
8,-4.1413012322676081e-10,-5.4147002824195788e-05,1.9341774947848405e-03,-1.9883244976090361e-03,9.7102517410550629e-11,0
9,-6.7200451428246234e-11,-1.7716684277075106e-04,1.7215271318668159e-03,-1.8986939746375670e-03,1.9575737521609548e-11,0
10,-2.5694573325777281e-10,-1.3037314322344009e-05,1.8378314042395327e-03,-1.8508687185618768e-03,2.1728039334597716e-11,0
11,-3.2374414725763590e-10,-2.2015128939571922e-06,1.8787754575566814e-03,-1.8809769704506386e-03,2.5022657999376862e-11,0
12,-2.8506567378426685e-10,-9.0945574561648521e-06,1.8550675072433282e-03,-1.8641620646994931e-03,2.1857709690383119e-11,0
13,-4.4437344109555342e-10,2.1475507269663863e-04,1.9527151208325168e-03,-1.7379600481358781e-03,1.5367785590736591e-11,0
14,1.0590061329711754e-10,-8.9527526070679042e-05,1.6154249237607212e-03,-1.7049524498314002e-03,3.4839127641703816e-11,0
15,4.5283028499103197e-10,-2.1254741773761490e-04,1.4027745609068113e-03,-1.6153219786444262e-03,1.2076540832708613e-11,0
16,2.6308500321100892e-10,-4.8417859760685640e-05,1.5190788332491848e-03,-1.5674966930098704e-03,1.2745589258564440e-11,0
17,1.9628658922871910e-10,-3.7582092081121787e-05,1.5600228865555621e-03,-1.5976049786366839e-03,9.1374514758674556e-12,0
18,2.3496506265400231e-10,-4.4475084896689922e-05,1.5363149362716832e-03,-1.5807900211683731e-03,8.4252470825912681e-12,0
19,7.5657295500303724e-11,1.7937455871799542e-04,1.6339625497642782e-03,-1.4545879910462828e-03,6.4850085548878765e-12,0
21,1.0590514208228223e-10,-6.0791388516779656e-05,1.6154221478441966e-03,-1.6762135363609762e-03,2.5616775995944509e-11,0
22,4.5283481378293724e-10,-1.8381125586714678e-04,1.4027717849861548e-03,-1.5865830408533016e-03,9.3927249455005870e-12,0
23,2.6308953199609279e-10,-1.9681711813716168e-05,1.5190760573327096e-03,-1.5387577691464258e-03,1.0320062018053845e-11,0
24,1.9629111801826450e-10,-8.8459334549231133e-06,1.5600201106363524e-03,-1.5688660440912755e-03,7.7067449593540508e-12,0
25,2.3496959144107720e-10,-1.5738910941353983e-05,1.5363121603539876e-03,-1.5520510712953416e-03,7.5115457451606677e-12,0
26,7.5661824288435469e-11,2.0811071346201479e-04,1.6339597738459347e-03,-1.4258490603839200e-03,5.6833015280460081e-12,0
27,3.4692967192797664e-10,-1.2301987480518341e-04,1.4676862869184705e-03,-1.5907061617236539e-03,2.3363627960920528e-11,0
28,1.5718439004363596e-10,4.1109628480163422e-05,1.5839905593247855e-03,-1.5428809308446220e-03,2.4938121179428869e-11,0
