key,value
session,18MAY16XA_ALL_baseline_intercept
n_points,1091
n_params,4
nuisance_mode,baseline_intercept
intercept_s,-1.8781438142587009e-05
delta_gamma,1.5584034023828426e+02
delta_gamma_sigma,5.7151858377983915e+00
gamma_est,1.5684034023828426e+02
gamma_sigma,5.7151858377983915e+00
beta_est,7.8920170119142128e+01
beta_sigma,2.8575929188991958e+00
delta_beta,7.7920170119142128e+01
chi2,1.7372951986580834e+09
dof,1087
rmse_s,3.0230797973589357e-08
weighted_rmse_s,3.2715369770171669e-08
corr_template_residual,1.0253359232229008e-01
