key,value
session,18MAY21XA_ALLSKY_NONE
n_points,5197
n_params,2
nuisance_mode,none
intercept_s,-4.4264532633247510e-06
delta_gamma,-1.2247480690027818e+04
delta_gamma_sigma,6.6776197888295269e+02
gamma_est,-1.2246480690027818e+04
gamma_sigma,6.6776197888295269e+02
beta_est,-6.1227403450139091e+03
beta_sigma,3.3388098944147634e+02
delta_beta,-6.1237403450139091e+03
chi2,3.6120895782463488e+14
dof,5195
rmse_s,1.0747714544575499e-05
weighted_rmse_s,9.6346041832272146e-06
corr_template_residual,-1.6782306153698628e-01
