key,value
session,18MAY21XA_none
n_points,61
n_params,2
nuisance_mode,none
intercept_s,-5.1426144315466345e-06
delta_gamma,-2.2720560150666715e+04
delta_gamma_sigma,3.7597390883429198e+03
gamma_est,-2.2719560150666715e+04
gamma_sigma,3.7597390883429198e+03
beta_est,-1.1359280075333358e+04
beta_sigma,1.8798695441714599e+03
delta_beta,-1.1360280075333358e+04
chi2,1.3489264927453960e+12
dof,59
rmse_s,6.5915782818976940e-06
weighted_rmse_s,6.9744163096906997e-06
corr_template_residual,-7.6045400329136170e-01
