obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
1,4.9323332020069652e-10,-1.7394556982884817e-04,-1.7387351245976877e-04,-7.2057369079398708e-08,1.1713207545197597e-11,0
2,7.3507164687188648e-10,-1.2913723611717668e-05,-1.2912866247816685e-05,-8.5736390098289656e-10,1.5413518763217056e-11,0
3,8.3220499901708808e-10,-9.5967717979403983e-08,-9.2573218273401842e-08,-3.3944997060021409e-09,8.0953580064864987e-12,0
4,8.3219301780128539e-10,-1.9609561825627221e-06,-1.9596983987577620e-06,-1.2577838049601366e-09,6.1263575708286025e-12,0
9,2.4183832698248697e-10,1.6103183104624469e-04,1.6099702223097977e-04,3.4808815264919264e-08,9.7087939940791201e-12,0
10,3.3897167920465370e-10,1.7384956620945628e-04,1.7378692252148175e-04,6.2643687974531541e-08,8.6466669022723497e-12,0
11,3.3895969798825838e-10,1.7198461601442526e-04,1.7191358911573384e-04,7.1026898691424305e-08,6.5197152901135996e-12,0
12,9.7133352164759477e-11,1.2817743541381713e-05,1.2827380761749186e-05,-9.6372203674731735e-09,8.9506420818088293e-12,0
13,9.7121370958265345e-11,1.0952764434516826e-05,1.0961789494997017e-05,-9.0250604801915497e-09,6.9892260834520134e-12,0
15,-1.7769337165603671e-10,-5.3262185760703795e-06,-5.3997744808217695e-06,7.3555904751389954e-08,9.5317431535805076e-12,0
16,2.8872731531639619e-11,-9.5202808718716087e-06,-9.5895437376957706e-06,6.9262865824161989e-08,2.3916647317728080e-11,0
17,-2.7870862470591082e-12,-3.1872098954171743e-05,-3.1957507096086245e-05,8.5408141914501505e-08,2.7722517416915793e-11,0
18,1.2907927089515908e-10,-1.8347596969631001e-04,-1.8349055099926484e-04,1.4581302954831416e-08,1.3236857906972026e-11,0
19,6.0001034832098100e-11,-2.2451146118462537e-05,-2.2480450642965081e-05,2.9304524502544413e-08,1.4025655168320873e-11,0
20,3.6123119645065166e-11,-9.6373331171118598e-06,-9.7066314584667803e-06,6.9298341354920499e-08,1.0714642054746234e-11,0
21,-3.1659817986644240e-11,-2.2351834197267134e-05,-2.2345321245158259e-05,-6.5129521088753235e-09,3.1259302533080444e-11,0
22,1.0020653920085104e-10,-1.7395569237503919e-04,-1.7387545853891819e-04,-8.0233836120997826e-08,1.7351739407258929e-11,0
23,3.1128303104683819e-11,-1.2930856279328232e-05,-1.2916351835898452e-05,-1.4504443429780019e-08,2.1198020107866400e-11,0
24,7.2503879081976137e-12,-1.1704783176892664e-07,-9.6657995814006695e-08,-2.0389835954919940e-08,1.7224299499421449e-11,0
25,1.3186635693896308e-10,-1.5160382782214519e-04,-1.5153000940850209e-04,-7.3818413643100258e-08,2.4787926492303780e-11,0
26,6.2788121029106474e-11,9.4210522931612462e-06,9.4114690758077867e-06,9.5832173534595236e-09,2.4162009094728200e-11,0
27,3.8910205882572155e-11,2.2234867912555400e-05,2.2249263885327459e-05,-1.4395972772058272e-08,1.9995977232703519e-11,0
28,-6.9078235959946918e-11,1.6102484358468134e-04,1.6099548272204654e-04,2.9360862634800157e-08,9.6199123843658205e-12,0
29,-9.2956151122885515e-11,1.7383863400864891e-04,1.7378478382308946e-04,5.3850185559453038e-08,8.3356341296186014e-12,0
30,-2.3877915149957697e-11,1.2813799221796898e-05,1.2826781572290479e-05,-1.2982350493580765e-08,8.7226853811217004e-12,0
31,2.4774374536238281e-10,8.5232094726994667e-06,8.4994827471208537e-06,2.3726725578613017e-08,1.0047711274195426e-11,0
32,-1.5556741677317091e-10,4.2034307745166845e-06,4.1980871127120518e-06,5.3436618046326609e-09,1.5071467039496055e-11,0
33,-4.0331116258063190e-10,-4.3197783288900782e-06,-4.3051136873735431e-06,-1.4664641516535091e-08,2.0356324795095003e-11,0
34,1.5484421515305288e-10,8.5064600533987268e-06,8.4990227534322046e-06,7.4372999665222060e-09,4.8677766784747116e-11,0
36,5.0487096926109436e-10,-1.8346532564293650e-04,-1.8348869025993598e-04,2.3364616999471807e-08,4.8307492562956908e-12,0
37,3.0367259558469792e-10,-2.2444352764704537e-05,-2.2479244098865269e-05,3.4891334160732534e-08,5.9868364606015170e-12,0
38,2.3189750621362799e-10,-9.6312916175638266e-06,-9.7056620780832870e-06,7.4370460519460396e-08,4.2265260486365688e-12,0
