obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
1,4.9323332020069652e-10,-1.7394556982884817e-04,4.0951093833670449e-05,-2.1489666366251861e-04,1.1713207545197597e-11,0
2,7.3507164687188648e-10,-1.2913723611717668e-05,4.0529496765795916e-05,-5.3443220377513584e-05,1.5413518763217056e-11,0
3,8.3220499901708808e-10,-9.5967717979403983e-08,4.0360164067290603e-05,-4.0456131785270007e-05,8.0953580064864987e-12,0
4,8.3219301780128539e-10,-1.9609561825627221e-06,4.0360184954159620e-05,-4.2321141136722342e-05,6.1263575708286025e-12,0
9,2.4183832698248697e-10,1.6103183104624469e-04,4.1389351050704700e-05,1.1964247999554000e-04,9.7087939940791201e-12,0
10,3.3897167920465370e-10,1.7384956620945628e-04,4.1220018352065217e-05,1.3262954785739107e-04,8.6466669022723497e-12,0
11,3.3895969798825838e-10,1.7198461601442526e-04,4.1220039238935264e-05,1.3076457677549001e-04,6.5197152901135996e-12,0
12,9.7133352164759477e-11,1.2817743541381713e-05,4.1641615420582520e-05,-2.8823871879200807e-05,8.9506420818088293e-12,0
13,9.7121370958265345e-11,1.0952764434516826e-05,4.1641636307435300e-05,-3.0688871872918475e-05,6.9892260834520134e-12,0
15,-1.7769337165603671e-10,-5.3262185760703795e-06,4.2120721203901751e-05,-4.7446939779972130e-05,9.5317431535805076e-12,0
16,2.8872731531639619e-11,-9.5202808718716087e-06,4.1760614248875552e-05,-5.1280895120747161e-05,2.3916647317728080e-11,0
17,-2.7870862470591082e-12,-3.1872098954171743e-05,4.1815806850183486e-05,-7.3687905804355229e-05,2.7722517416915793e-11,0
18,1.2907927089515908e-10,-1.8347596969631001e-04,4.1585924059115205e-05,-2.2506189375542522e-04,1.3236857906972026e-11,0
19,6.0001034832098100e-11,-2.2451146118462537e-05,4.1706348237445421e-05,-6.4157494355907951e-05,1.4025655168320873e-11,0
20,3.6123119645065166e-11,-9.6373331171118598e-06,4.1747974637893916e-05,-5.1385307755005775e-05,1.0714642054746234e-11,0
21,-3.1659817986644240e-11,-2.2351834197267134e-05,4.1866140720792375e-05,-6.4217974918059516e-05,3.1259302533080444e-11,0
22,1.0020653920085104e-10,-1.7395569237503919e-04,4.1636257929645164e-05,-2.1559195030468434e-04,1.7351739407258929e-11,0
23,3.1128303104683819e-11,-1.2930856279328232e-05,4.1756682108033086e-05,-5.4687538387361318e-05,2.1198020107866400e-11,0
24,7.2503879081976137e-12,-1.1704783176892664e-07,4.1798308508498067e-05,-4.1915356340266994e-05,1.7224299499421449e-11,0
25,1.3186635693896308e-10,-1.5160382782214519e-04,4.1581065328407981e-05,-1.9318489315055316e-04,2.4787926492303780e-11,0
26,6.2788121029106474e-11,9.4210522931612462e-06,4.1701489506471110e-05,-3.2280437213309864e-05,2.4162009094728200e-11,0
27,3.8910205882572155e-11,2.2234867912555400e-05,4.1743115906849009e-05,-1.9508247994293609e-05,1.9995977232703519e-11,0
28,-6.9078235959946918e-11,1.6102484358468134e-04,4.1931372297272379e-05,1.1909347128740897e-04,9.6199123843658205e-12,0
29,-9.2956151122885515e-11,1.7383863400864891e-04,4.1972998697678874e-05,1.3186563531097004e-04,8.3356341296186014e-12,0
30,-2.3877915149957697e-11,1.2813799221796898e-05,4.1852574519505793e-05,-2.9038775297708895e-05,8.7226853811217004e-12,0
31,2.4774374536238281e-10,8.5232094726994667e-06,4.1379056127200203e-05,-3.2855846654500736e-05,1.0047711274195426e-11,0
32,-1.5556741677317091e-10,4.2034307745166845e-06,4.2082148998118905e-05,-3.7878718223602220e-05,1.5071467039496055e-11,0
33,-4.0331116258063190e-10,-4.3197783288900782e-06,4.2514040990816528e-05,-4.6833819319706607e-05,2.0356324795095003e-11,0
34,1.5484421515305288e-10,8.5064600533987268e-06,4.1541007998445270e-05,-3.3034547945046544e-05,4.8677766784747116e-11,0
36,5.0487096926109436e-10,-1.8346532564293650e-04,4.0930805905001942e-05,-2.2439613154793845e-04,4.8307492562956908e-12,0
37,3.0367259558469792e-10,-2.2444352764704537e-05,4.1281555290224176e-05,-6.3725908054928712e-05,5.9868364606015170e-12,0
38,2.3189750621362799e-10,-9.6312916175638266e-06,4.1406680896416523e-05,-5.1037972513980350e-05,4.2265260486365688e-12,0
39,2.3190746102348648e-10,-1.1496132439804511e-05,4.1406663542183618e-05,-5.2902795981988129e-05,3.0742822428045899e-12,0
44,-2.0119837364992167e-10,1.6102096543852470e-04,4.2161697504298004e-05,1.1885926793422669e-04,5.1909168800565224e-12,0
45,-2.7297346300382915e-10,1.7383402953546467e-04,4.2286823110460434e-05,1.3154720642500424e-04,3.3648347515267002e-12,0
46,-2.7296350819671486e-10,1.7196919232338043e-04,4.2286805756232313e-05,1.2968238656714811e-04,2.4959206245857959e-12,0
47,-7.1775089404803553e-11,1.2813061793889207e-05,4.1936073725373083e-05,-2.9123011931483876e-05,4.8367825876808535e-12,0
48,-7.1765134593205659e-11,1.0948218590327036e-05,4.1936056371137142e-05,-3.0987837780810105e-05,3.5636289201759437e-12,0
50,9.4470924758076795e-11,8.4990351497237632e-06,4.1646256833726318e-05,-3.3147221684002555e-05,1.7689161453296639e-11,0
51,4.5554414722689017e-10,-3.1862187825420379e-05,4.1016797417693246e-05,-7.2878985243113618e-05,5.2562894851208032e-11,0
