obs_index,gravity_template_s,obs_minus_base_s,fit_s,obs_minus_base_minus_fit_s,sigma_s,flag
0,1.0906588704075306e-10,-8.0755825138288488e-05,-8.0830155352581152e-05,7.4330214292663422e-08,2.4708924473622701e-11,0
1,-6.0715648362949088e-11,-7.2382793704283029e-05,-7.2375202882935642e-05,-7.5908213473870490e-09,1.7928457692671262e-11,0
4,1.2756008178361612e-10,-8.0916968183049245e-05,-8.0921496653254662e-05,4.5284702054171995e-09,4.1576788494777651e-11,0
5,-3.5548766074546752e-11,-7.3280269016761344e-05,-7.3275980927990506e-05,-4.2880887708381978e-09,5.0835966365272108e-11,0
6,-1.6978153538991975e-10,8.3729849933954215e-06,8.3647645949557675e-06,8.2203984396540044e-09,2.2711894468131620e-11,0
9,1.8494194743338545e-11,-1.6122702014328538e-07,-1.6780524450817178e-07,6.5782243648864012e-09,3.0371386987124126e-11,0
10,-1.4461465311485707e-10,7.4754212005898740e-06,7.4704762433280120e-06,4.9449572618620076e-09,6.0984283727260597e-11,0
13,1.8827573019353387e-10,-8.5341952106906399e-06,-8.5344963707360720e-06,3.0116004543208970e-10,3.3670247424199162e-11,0
14,2.5166882333954787e-11,-8.9751643005396868e-07,-8.9834417254698971e-07,8.2774249302103566e-10,4.1965540621459724e-11,0
20,-1.6310884785565843e-10,7.6366457139815172e-06,7.6433251600950243e-06,-6.6794461135071329e-09,5.5145138441955101e-11,0
21,3.9698162452324765e-11,-8.0761257437204741e-05,-8.0831012940210033e-05,6.9755503005292053e-08,3.6214150382309672e-11,0
22,-4.3522285666858156e-11,-7.2383818094829376e-05,-7.2375398671154992e-05,-8.4194236743843822e-09,2.2207795155804196e-11,0
24,7.4294048476460718e-11,-1.0665392612539725e-04,-1.0664467046786721e-04,-9.2556575300372593e-09,4.3833105791318987e-11,0
25,5.2776458820882500e-11,-8.0932924148559467e-05,-8.0922812844428711e-05,-1.0111304130756100e-08,4.3922739018457605e-11,0
26,4.5481038523087635e-11,-7.3273400558291398e-05,-7.3274747299687074e-05,1.3467413956756973e-09,4.0352104372295965e-11,0
27,-8.3220448095112043e-11,8.3774350884446066e-06,8.3658902996740869e-06,1.1544788770519681e-08,2.7441773793256976e-11,0
29,3.4595886058744175e-11,-2.5892680817598494e-05,-2.5891582150905999e-05,-1.0986666924942294e-09,2.4571522453389163e-11,0
30,1.3078296363762055e-11,-1.7164677472159820e-07,-1.6784266389940645e-07,-3.8041108221917481e-09,3.3629751435716893e-11,0
31,5.7828761168754509e-12,7.4878747863991665e-06,7.4729913071739604e-06,1.4883479225206108e-08,7.9765170216942362e-11,0
33,1.1781633415306081e-10,-3.4270202402459900e-05,-3.4265797395438455e-05,-4.4050070214455683e-09,3.1093299845628263e-11,0
34,9.6298744466879238e-11,-8.5491226998347242e-06,-8.5356490097253027e-06,-1.3473690109421429e-08,4.9874178231509500e-11,0
35,8.9003324207435503e-11,-8.8955606205275151e-07,-8.9693282570017067e-07,7.3767636474191655e-09,5.4980452066711602e-11,0
39,-2.1517589677911588e-11,2.5721025436113536e-05,2.5728529889822635e-05,-7.5044537090990194e-09,4.1978691693660182e-11,0
40,-2.8813009945991159e-11,3.3380785784721534e-05,3.3370182939976983e-05,1.0602844744550532e-08,4.7278809568006032e-11,0
41,-7.2954202478625954e-12,7.6596684769319329e-06,7.6458600428995672e-06,1.3808434032365632e-08,5.5932051472854245e-11,0
42,-2.3791089470029687e-10,8.3543554137699427e-06,8.3640108393702423e-06,-9.6554256002995249e-09,2.5568695735782362e-11,0
46,2.4327283226518543e-10,-3.4251891839634160e-05,-3.4264217502701108e-05,1.2325663066947256e-08,2.9945248468944982e-11,0
48,2.5875527421325122e-11,-8.1087218751403173e-05,-8.1084356634973220e-05,-2.8621164299528785e-09,3.2370399784548885e-11,0
49,-1.9083498950064707e-11,8.3953744530271962e-06,8.3667611376514200e-06,2.8613315375776159e-08,7.3697721428682912e-11,0
51,-3.2050755805535982e-11,-2.5895342451054230e-05,-2.5892329963568125e-05,-3.0124874861053202e-09,4.7141513964636090e-11,0
52,1.4782346346453688e-11,-1.5285867828779731e-07,-1.6778017163195569e-07,1.4921493344158374e-08,7.6699623330992948e-11,0
53,3.6870702406977840e-11,7.5047938241316198e-06,7.4742952716748710e-06,3.0498552456748756e-08,1.6322603250883284e-10,0
55,-1.2967256930186315e-11,-3.4290812133923668e-05,-3.4267345991027450e-05,-2.3466142896217681e-08,3.3815157174684236e-11,0
56,3.3865845285421094e-11,-8.5481628825292283e-06,-8.5364426501620328e-06,-1.1720232367195502e-08,5.9011948592361600e-11,0
57,5.5954201172118036e-11,-8.9045507935562804e-07,-8.9646886162963901e-07,6.0137822740109697e-09,9.7032751905691522e-11,0
61,4.6833102131411931e-11,2.5742447405774794e-05,2.5729317880409343e-05,1.3129525365450866e-08,4.5154060076479050e-11,0
62,6.8921458246162586e-11,3.3400352329071570e-05,3.3372209652791132e-05,2.8142676280438214e-08,5.6107761328326352e-11,0
63,2.2088356065637362e-11,7.6576014105336765e-06,7.6470768307089666e-06,1.0524579824709875e-08,1.0207621425007683e-10,0
64,2.0861383853123875e-10,-8.0733794906872464e-05,-8.0828924649221847e-05,9.5129742349383140e-08,3.3941566609186462e-11,0
65,-4.6110787814870451e-11,-8.1091564319761208e-05,-8.1085545236996530e-05,-6.0190827646784770e-09,3.2405226371418724e-11,0
66,-2.5472462628030845e-10,-3.5777698938373181e-07,-3.3866308228076342e-07,-1.9113907102968397e-08,4.3964805676309432e-11,0
67,1.1293617879065777e-10,-8.1052843618156095e-05,-8.1083948138152201e-05,3.1104519996106076e-08,2.4148282146444488e-11,0
68,-8.0572393488426491e-11,-7.3282673099927392e-05,-7.3275761146127916e-05,-6.9119537994766439e-09,3.2603895382897416e-11,0
