key,value
session,22MAY31XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,5809
n_params,86
nuisance_mode,baseline_intercept_linear
intercept_s,8.7138514677397460e-06
delta_gamma,3.0011327694068683e+01
delta_gamma_sigma,1.5126317903585618e+00
gamma_est,3.1011327694068683e+01
gamma_sigma,1.5126317903585618e+00
beta_est,1.6005663847034342e+01
beta_sigma,7.5631589517928088e-01
delta_beta,1.5005663847034342e+01
chi2,6.9221654726063480e+09
dof,5723
rmse_s,1.7045767381755987e-08
weighted_rmse_s,1.5166366068153696e-08
corr_template_residual,-9.8714717674241156e-02
