session,archive_path,archive_bytes,identity_status,identity_session_values,fit_ok,fit_rc,n_points,beta_est,beta_sigma,delta_beta,chi2,dof,weighted_rmse_s,max_abs_bendsun_ns,pull_vs_weighted_mean,chi2_contrib
17MAY01XA,C:\develop\waveP\data\temp\17MAY01XA.tgz,7092399,pass,AUA020,True,0,4010,1.1568698010885798e+00,1.2543328818829214e-01,1.5686980108857984e-01,4.5615613217289902e+10,3988,1.7695160748921788e-08,5.7691633352725638e+01,-2.9159724756229268e+00,8.5028954785905011e+00
17MAY09XA,C:\develop\waveP\data\temp\17MAY09XA.tgz,3304020,watch,AUA021,True,0,1734,9.8722127774259487e+00,7.0660086656082111e-01,8.8722127774259487e+00,1.8103730810020607e+09,1727,1.7509977636885954e-08,9.8173343564242455e+00,1.1816547863990957e+01,1.3963080342198924e+02
17MAY22XA,C:\develop\waveP\data\temp\17MAY22XA.tgz,9735943,watch,R1793,True,0,5908,1.0607269408702940e+01,1.0497393480152366e+00,9.6072694087029404e+00,3.0909329885685944e+10,5853,3.4309393155399493e-08,7.1257454529447388e+00,8.6541860214223032e+00,7.4894935693381200e+01
17MAY30XA,C:\develop\waveP\data\temp\17MAY30XA.tgz,12816446,watch,R1794,True,0,7405,8.0898241645053144e+00,1.2958843204492170e+00,7.0898241645053144e+00,1.2547402923455235e+11,7343,2.8131888153088057e-08,3.9374033165260771e+00,5.0677319293872500e+00,2.5681906908131019e+01
18JUN04XA,C:\develop\waveP\data\temp\18JUN04XA.tgz,5197853,watch,R1845,True,0,2728,7.6508315857800540e+00,1.1842789362019497e+00,6.6508315857800540e+00,2.9842088203088833e+10,2701,3.5309211506953242e-08,5.4332030699589087e+00,5.1746270084487271e+00,2.6776764676567023e+01
18JUN06XA,C:\develop\waveP\data\temp\18JUN06XA.tgz,2869383,watch,AUA045,True,0,825,8.5276491179162505e+01,4.9725580007841170e+00,8.4276491179162505e+01,3.1312614304756441e+09,818,3.0425097465815490e-08,1.8552650077889883e+00,1.6843214568635084e+01,2.8369387700508111e+02
18MAY01XA,C:\develop\waveP\data\temp\18MAY01XA.tgz,18372197,watch,AOV022,True,0,12427,1.1683469807950417e+00,8.7655786976539987e-02,1.6834698079504173e-01,6.3370944935046783e+10,12381,1.5220843702963768e-08,3.8915678326779855e+01,-4.0417506749702206e+00,1.6335748518622232e+01
18MAY09XA,C:\develop\waveP\data\temp\18MAY09XA.tgz,4323349,watch,Mixed,True,0,1198,2.7119064373041645e+01,2.3298544398311285e+00,2.6119064373041645e+01,2.1314811783332539e+09,1182,2.9544776083509004e-08,2.5749820776747092e+00,1.0986280566920051e+01,1.2069836069508516e+02
18MAY15XH,C:\develop\waveP\data\temp\18MAY15XH.tgz,8353097,watch,T2125,True,0,3794,-6.7935017782242294e+03,8.8305380367581733e+02,-6.7945017782242294e+03,6.6221592448347140e+15,3692,2.3444871517057429e-05,3.5839378587426176e+00,-7.6949155077030396e+00,5.9211724670688724e+01
18MAY16XA,C:\develop\waveP\data\temp\18MAY16XA.tgz,2227092,watch,AUA044,True,0,1091,7.8920170119142128e+01,2.8575929188991958e+00,7.7920170119142128e+01,1.7372951986580834e+09,1087,3.2715369770171669e-08,1.1837298175438098e+00,2.7084872652884638e+01,7.3359032662297807e+02
18MAY21XA,C:\develop\waveP\data\temp\18MAY21XA.tgz,10172684,watch,AOV023,True,0,5197,1.0347721402265977e+01,7.6856416202614952e-01,9.3477214022659769e+00,1.4378267044845371e+09,5176,1.9222412557416263e-08,2.7323672247792157e+00,1.1482569733707145e+01,1.3184940768944736e+02
18MAY22XA,C:\develop\waveP\data\temp\18MAY22XA.tgz,8423674,watch,R1843,True,0,4822,4.9515179206213125e+00,9.7637920933872058e-01,3.9515179206213125e+00,4.8064163546685760e+10,4787,3.2018877500785699e-08,9.7574260734025575e+00,3.5118405542157149e+00,1.2333024078234139e+01
