session,archive_path,archive_bytes,identity_status,identity_session_values,fit_ok,fit_rc,n_points,beta_est,beta_sigma,delta_beta,chi2,dof,weighted_rmse_s,max_abs_bendsun_ns,pull_vs_weighted_mean,chi2_contrib
17APR18XA,C:\develop\waveP\data\temp\17APR18XA.tgz,12993075,watch,R1788,True,0,7733,1.2401493998855839e+01,3.6277067951051567e-01,1.1401493998855839e+01,1.8924023033117676e+10,7623,1.2361801501123956e-08,4.1893592172643963e+00,2.3228374815149845e+01,5.3955739655308764e+02
17APR19XA,C:\develop\waveP\data\temp\17APR19XA.tgz,2420161,watch,RD1705,True,0,1060,1.9458934781717527e+01,2.0426358540585636e+00,1.8458934781717527e+01,3.2311732916327548e+09,1018,1.2490747362607386e-08,5.1648788186464056e+00,7.5804084549446129e+00,5.7462592343795777e+01
17APR24XA,C:\develop\waveP\data\temp\17APR24XA.tgz,7600247,watch,R1789,True,0,4020,-1.7400900309279359e+02,1.9881501322843064e+02,-1.7500900309279359e+02,1.7944494469014525e+15,3948,2.3682371219233704e-06,5.0960720227472951e+00,-8.9522376044879493e-01,8.0142558127208141e-01
17APR25XA,C:\develop\waveP\data\temp\17APR25XA.tgz,14873608,watch,RV122,True,0,9806,8.7193660739557970e+00,3.0534295571454001e-01,7.7193660739557970e+00,1.0301284695510571e+10,9652,9.8928367687079317e-09,5.0848542637982739e+00,1.5538086934457784e+01,2.4143214558276770e+02
17MAY01XA,C:\develop\waveP\data\temp\17MAY01XA.tgz,7092399,pass,AUA020,True,0,4010,1.1866902903646863e+00,6.9614570068410556e-02,1.8669029036468632e-01,1.3951957220063677e+10,3968,9.7862278135770652e-09,5.7691633352725638e+01,-4.0052396935501974e+01,1.6041945002790080e+03
17MAY02XA,C:\develop\waveP\data\temp\17MAY02XA.tgz,13048394,watch,R1790,True,0,8367,7.4069932158781118e+00,2.8861551247487627e-01,6.4069932158781118e+00,1.4520527151760952e+10,8259,1.3272793665348512e-08,5.0185142535271128e+00,1.1891504040129826e+01,1.4140786833642397e+02
17MAY03XA,C:\develop\waveP\data\temp\17MAY03XA.tgz,11099326,watch,EUR145,True,0,7840,8.1598402971496977e+00,3.0719320446389126e-01,7.1598402971496977e+00,1.6754492926731744e+09,7770,7.7667665935020837e-09,4.0942890202392412e+00,1.3623086556273837e+01,1.8558848731972893e+02
17MAY08XA,C:\develop\waveP\data\temp\17MAY08XA.tgz,6968725,watch,R1791,True,0,3872,9.3492264108937082e+00,4.8607785075056287e-01,8.3492264108937082e+00,6.2037995186273851e+09,3806,1.6225490480154730e-08,8.1555694487923329e+00,1.1056471138020690e+01,1.2224555402588453e+02
17MAY09XA,C:\develop\waveP\data\temp\17MAY09XA.tgz,3304020,watch,AUA021,True,0,1734,6.3332217940087849e+00,6.4047900057548912e-01,5.3332217940087849e+00,1.3910121336443930e+09,1722,1.5348537828129136e-08,9.8173343564242455e+00,3.6820896682807742e+00,1.3557784325260021e+01
17MAY15XA,C:\develop\waveP\data\temp\17MAY15XA.tgz,12344885,watch,R1792,True,0,3529,2.8926025617257430e+01,8.9496403397491031e-01,2.7926025617257430e+01,6.3622890667825975e+09,3457,1.1948400217740626e-08,6.2939619921174863e+00,2.7879449884930164e+01,7.7726372588633251e+02
17MAY22XA,C:\develop\waveP\data\temp\17MAY22XA.tgz,9735943,watch,R1793,True,0,5908,1.4016383151481223e+01,4.7039921875132129e-01,1.3016383151481223e+01,5.0001335380694523e+09,5800,1.3799363132301036e-08,7.1257454529447388e+00,2.1346681856524739e+01,4.5568082628368251e+02
17MAY30XA,C:\develop\waveP\data\temp\17MAY30XA.tgz,12816446,watch,R1794,True,0,7405,1.6570057789330221e+01,7.2299218050773750e-01,1.5570057789330221e+01,2.6318597442664471e+10,7283,1.2884077561632139e-08,3.9374033165260771e+00,1.7420848310207202e+01,3.0348595584724910e+02
