session,archive_path,archive_bytes,identity_status,identity_session_values,fit_ok,fit_rc,n_points,beta_est,beta_sigma,delta_beta,chi2,dof,weighted_rmse_s,max_abs_bendsun_ns,pull_vs_weighted_mean,chi2_contrib
17MAY01XA,C:\develop\waveP\data\temp\17MAY01XA.tgz,7092399,pass,AUA020,True,0,4010,1.4592956486015078e+03,6.7046755063155456e+02,1.4582956486015078e+03,1.3150348047975296e+18,4008,9.5009356626911864e-05,5.7691633352725638e+01,2.4099223967218419e+00,5.8077259582215470e+00
17MAY09XA,C:\develop\waveP\data\temp\17MAY09XA.tgz,3304020,watch,AUA021,True,0,1734,2.5029793503730571e+02,1.7579653439609976e+02,2.4929793503730571e+02,1.1483401121951572e+14,1732,4.4099820055109463e-06,9.8173343564242455e+00,2.3139082597696623e+00,5.3541714346302669e+00
17MAY22XA,C:\develop\waveP\data\temp\17MAY22XA.tgz,9735943,watch,R1793,True,0,5908,-2.3213896016319519e+04,2.0826511792727215e+03,-2.3214896016319519e+04,1.7475994979185379e+17,5906,8.1581032476701115e-05,7.1257454529447388e+00,-1.1071185193110756e+01,1.2257114158015484e+02
17MAY30XA,C:\develop\waveP\data\temp\17MAY30XA.tgz,12816446,watch,R1794,True,0,7405,-2.5601795852638486e+04,2.0671032182653835e+03,-2.5602795852638486e+04,4.2398138990435219e+17,7403,5.1712478939266022e-05,3.9374033165260771e+00,-1.2309649808416580e+01,1.5152747840585036e+02
18JUN04XA,C:\develop\waveP\data\temp\18JUN04XA.tgz,5197853,watch,R1845,True,0,2728,-3.2269852813162641e+04,3.6013600160641649e+03,-3.2270852813162641e+04,3.5034484888212531e+17,2726,1.2098214571410860e-04,5.4332030699589087e+00,-8.9170128929008943e+00,7.9513118932160779e+01
18JUN06XA,C:\develop\waveP\data\temp\18JUN06XA.tgz,2869383,watch,AUA045,True,0,825,8.1619734340058749e+03,6.4471125835275097e+02,8.1609734340058749e+03,6.8144361381487086e+13,823,4.4883557988312401e-06,1.8552650077889883e+00,1.2902601659540403e+01,1.6647712958477476e+02
18MAY01XA,C:\develop\waveP\data\temp\18MAY01XA.tgz,18372197,watch,AOV022,True,0,12427,8.9556164948226688e+03,5.9468900514691416e+02,8.9546164948226688e+03,3.0688603142448978e+18,12425,1.0592103002299012e-04,3.8915678326779855e+01,1.5322455155383770e+01,2.3477763198874666e+02
18MAY09XA,C:\develop\waveP\data\temp\18MAY09XA.tgz,4323349,watch,Mixed,True,0,1198,1.4491000856526728e+03,9.9268636370510319e+02,1.4481000856526728e+03,4.3160688930644019e+14,1196,1.3294871252336813e-05,2.5749820776747092e+00,1.6174083399319792e+00,2.6160097380815208e+00
18MAY15XH,C:\develop\waveP\data\temp\18MAY15XH.tgz,8353097,watch,T2125,True,0,3794,-6.1294948286096740e+05,1.2261671040616536e+06,-6.1295048286096740e+05,1.9244062008885348e+22,3792,3.9966527929565697e-02,3.5839378587426176e+00,-4.9976304348172634e-01,2.4976309963011789e-01
18MAY16XA,C:\develop\waveP\data\temp\18MAY16XA.tgz,2227092,watch,AUA044,True,0,1091,2.3915109777107095e+03,8.8160723912472292e+02,2.3905109777107095e+03,1.6834860701764647e+14,1089,1.0184032749669751e-05,1.1837298175438098e+00,2.8901646703594626e+00,8.3530518217940202e+00
18MAY21XA,C:\develop\waveP\data\temp\18MAY21XA.tgz,10172684,watch,AOV023,True,0,5197,-6.1227403450139091e+03,3.3388098944147634e+02,-6.1237403450139091e+03,3.6120895782463488e+14,5195,9.6346041832272146e-06,2.7323672247792157e+00,-1.7869424782326465e+01,3.1931634205122322e+02
18MAY22XA,C:\develop\waveP\data\temp\18MAY22XA.tgz,8423674,watch,R1843,True,0,4822,-1.7433012942061562e+03,3.0093678674788148e+03,-1.7443012942061562e+03,4.9312973755545805e+17,4820,1.0255952592391875e-04,9.7574260734025575e+00,-5.2729418474014988e-01,2.7803915726077932e-01
