scenario_id,threshold_ns,year_window,year_start,year_end,min_sessions,n_sessions,fit_ok,beta_weighted_mean,beta_weighted_sigma,chi2,dof,chi2_dof,subset_consistency_status,abs_z_vs_llr,cross_consistency_status,scenario_status,sessions,reason
thr10|le2020|min2,10.0,le2020,2000,2020,2,4,True,1.594086111608445,0.04923258302823244,505.89944322703957,3.0,168.63314774234652,reject,12.05093991134659,reject,reject,"17MAY01XA,18MAY01XA,20MAY04XA,20MAY06XA",
thr10|le2020|min3,10.0,le2020,2000,2020,3,4,True,1.594086111608445,0.04923258302823244,505.89944322703957,3.0,168.63314774234652,reject,12.05093991134659,reject,reject,"17MAY01XA,18MAY01XA,20MAY04XA,20MAY06XA",
thr10|all|min2,10.0,all,2000,2099,2,5,True,1.6549159815168129,0.048843810492328936,602.9445652388189,4.0,150.73614130970472,reject,13.391977394202545,reject,reject,"17MAY01XA,18MAY01XA,20MAY04XA,20MAY06XA,22MAY09XA",
thr10|all|min3,10.0,all,2000,2099,3,5,True,1.6549159815168129,0.048843810492328936,602.9445652388189,4.0,150.73614130970472,reject,13.391977394202545,reject,reject,"17MAY01XA,18MAY01XA,20MAY04XA,20MAY06XA,22MAY09XA",
thr10|2017_2018|min2,10.0,2017_2018,2017,2018,2,2,True,1.3907263363380622,0.05005640935290951,0.22161147291813102,1.0,0.22161147291813102,pass,7.790815339371524,reject,reject,"17MAY01XA,18MAY01XA",
thr10|2017_2018|min3,10.0,2017_2018,2017,2018,3,2,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr10|ge2020|min2,10.0,ge2020,2020,2099,2,3,True,6.910493593317601,0.22326056770952915,20.73074544759742,2.0,10.36537272379871,reject,26.470256968640495,reject,reject,"20MAY04XA,20MAY06XA,22MAY09XA",
thr10|ge2020|min3,10.0,ge2020,2020,2099,3,3,True,6.910493593317601,0.22326056770952915,20.73074544759742,2.0,10.36537272379871,reject,26.470256968640495,reject,reject,"20MAY04XA,20MAY06XA,22MAY09XA",
thr10|2021_2022|min2,10.0,2021_2022,2021,2022,2,1,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr10|2021_2022|min3,10.0,2021_2022,2021,2022,3,1,False,,,,,,reject,,reject,reject,,insufficient_sessions
thr10|ge2021|min2,10.0,ge2021,2021,2099,2,1,False,,,,,,reject,,reject,reject,,insufficient_sessions
