scenario,kind,mask_spec,allsky_summary_csv,fit_ok,fit_reason,n_sessions_masked,n_removed_total,removed_fraction_total,stable_chi2_dof,stable_status,timeband_chi2_dof,timeband_status,threshold_chi2_dof,threshold_status,threshold_ns,allsky_relative_improvement,stable_delta_chi2_dof,timeband_delta_chi2_dof,stage1_pass,stage2_pass,status_regression,overall_pass
keep_current,keep,{},C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_keep_current.csv,True,,0,0,nan,4.23615028197059,watch,4.23615028197059,watch,161.8853449038688,reject,10.0,0.0,0.0,0.0,False,True,False,False
pair_source_17may01xa_0235_164__18may01xa_0229_131,pair_source,"{""17MAY01XA"": ""0235+164"", ""18MAY01XA"": ""0229+131""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_17may01xa_0235_164__18may01xa_0229_131.csv,True,,2,2556,0.15550282898339113,4.23615028197059,watch,4.23615028197059,watch,133.02145680426995,reject,10.0,0.17829833896785954,0.0,0.0,True,True,False,True
pair_source_17may01xa_0235_164__20may04xa_2000_472,pair_source,"{""17MAY01XA"": ""0235+164"", ""20MAY04XA"": ""2000+472""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_17may01xa_0235_164__20may04xa_2000_472.csv,True,,2,800,0.057126535275635534,4.23615028197059,watch,4.23615028197059,watch,154.7773431220334,reject,10.0,0.04390762972433549,0.0,0.0,False,True,False,False
pair_source_17may01xa_0235_164__20may06xa_3c418,pair_source,"{""17MAY01XA"": ""0235+164"", ""20MAY06XA"": ""3C418""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_17may01xa_0235_164__20may06xa_3c418.csv,True,,2,481,0.10171283569465003,4.23615028197059,watch,4.23615028197059,watch,150.73614130970475,reject,10.0,0.06887098767825278,0.0,0.0,True,True,False,True
pair_source_17may01xa_0235_164__22may09xa_0235_164,pair_source,"{""17MAY01XA"": ""0235+164"", ""22MAY09XA"": ""0235+164""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_17may01xa_0235_164__22may09xa_0235_164.csv,True,,2,728,0.08194506978838362,3.43714846086509,watch,3.43714846086509,watch,174.065938880657,reject,10.0,-0.07524210412018034,-0.7990018211055001,-0.7990018211055001,False,True,False,False
pair_source_18may01xa_0229_131__20may04xa_2000_472,pair_source,"{""18MAY01XA"": ""0229+131"", ""20MAY04XA"": ""2000+472""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_18may01xa_0229_131__20may04xa_2000_472.csv,True,,2,2452,0.10936175906516213,4.23615028197059,watch,4.23615028197059,watch,173.5179443852536,reject,10.0,-0.07185702626937913,0.0,0.0,False,True,False,False
pair_source_18may01xa_0229_131__20may06xa_3c418,pair_source,"{""18MAY01XA"": ""0229+131"", ""20MAY06XA"": ""3C418""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_18may01xa_0229_131__20may06xa_3c418.csv,True,,2,2133,0.16225467822911913,4.23615028197059,watch,4.23615028197059,watch,169.6187985807705,reject,10.0,-0.047771178308289676,0.0,0.0,False,True,False,False
pair_source_18may01xa_0229_131__22may09xa_0235_164,pair_source,"{""18MAY01XA"": ""0229+131"", ""22MAY09XA"": ""0235+164""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_18may01xa_0229_131__22may09xa_0235_164.csv,True,,2,2380,0.13756430264146582,3.43714846086509,watch,3.43714846086509,watch,203.05409971151258,reject,10.0,-0.25430810202177795,-0.7990018211055001,-0.7990018211055001,False,True,False,False
pair_source_20may04xa_2000_472__20may06xa_3c418,pair_source,"{""20MAY04XA"": ""2000+472"", ""20MAY06XA"": ""3C418""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_20may04xa_2000_472__20may06xa_3c418.csv,True,,2,377,0.03519088957341548,4.23615028197059,watch,4.23615028197059,watch,157.77131401708436,reject,10.0,0.025413238543781955,0.0,0.0,False,True,False,False
pair_source_20may04xa_2000_472__22may09xa_0235_164,pair_source,"{""20MAY04XA"": ""2000+472"", ""22MAY09XA"": ""0235+164""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_20may04xa_2000_472__22may09xa_0235_164.csv,True,,2,624,0.041969330104923326,3.43714846086509,watch,3.43714846086509,watch,181.37293425740052,reject,10.0,-0.1203789593499269,-0.7990018211055001,-0.7990018211055001,False,True,False,False
pair_source_20may06xa_3c418__22may09xa_0235_164,pair_source,"{""20MAY06XA"": ""3C418"", ""22MAY09XA"": ""0235+164""}",C:\develop\waveP\output\vlbi\vlbi_allsky_beta_consistency_summary_pair_source_20may06xa_3c418__22may09xa_0235_164.csv,True,,2,305,0.054532451278383694,3.43714846086509,watch,3.43714846086509,watch,175.85268646752465,reject,10.0,-0.08627922170441046,-0.7990018211055001,-0.7990018211055001,False,True,False,False
