session,group_type,group_label,n_removed,impact_beta_all_minus_drop,abs_z_impact
22MAY09XA,baseline,RAEGSMAR-WETTZELL,336,9.2966147013106415e-01,1.9037148815483298e+00
22MAY09XA,baseline,NYALES20-RAEGSMAR,286,2.3492833775685451e-01,4.1984234998540665e-01
22MAY09XA,baseline,HART15M-RAEGSMAR,183,-2.1939795015736507e-01,3.9172831884603615e-01
22MAY09XA,baseline,NYALES20-WETTZELL,324,1.5982697452869488e-01,2.8356451571402924e-01
22MAY09XA,baseline,NYALE13S-WETTZELL,147,1.1772414339972848e-01,2.1179937901035878e-01
22MAY09XA,baseline,MATERA-WETTZELL,387,5.8977359535472118e-02,1.0514966924576553e-01
22MAY09XA,baseline,MATERA-NYALES20,306,4.7743843293270416e-02,8.5146274853246079e-02
22MAY09XA,baseline,KOKEE-NYALES20,149,1.8770120064746543e-02,3.3759482760892079e-02
22MAY09XA,baseline,KOKEE-SEJONG,144,-1.3777696202759593e-02,2.4800237082811670e-02
22MAY09XA,baseline,MATERA-RAEGSMAR,366,1.1920710575529903e-02,2.1420906158218345e-02
22MAY09XA,baseline,SEJONG-YARRA12M,182,6.5276939519680610e-03,1.1740548272890384e-02
22MAY09XA,baseline,NYALE13S-NYALES20,215,4.2697840960670419e-06,7.6645611928314663e-06
22MAY09XA,source,0235+164,276,-4.8518117439792192e+00,6.5697530148200007e+00
22MAY09XA,source,0059+581,288,4.7238306280817266e-01,8.8837450063766998e-01
22MAY09XA,source,OJ287,245,4.3675695832537809e-01,7.9461912906080101e-01
22MAY09XA,source,3C418,463,4.1665340918977645e-01,7.5734129605631717e-01
22MAY09XA,source,1803+784,501,3.2111285969949943e-01,5.7273006089048817e-01
22MAY09XA,source,2227-088,153,2.5889335106373590e-01,4.7213759232360258e-01
22MAY09XA,source,0202+319,186,-2.4986182835551585e-01,4.3502910738667699e-01
22MAY09XA,source,2229+695,278,1.6688961742117403e-01,2.9985457316685998e-01
22MAY09XA,source,0613+570,304,1.5243754657635478e-01,2.7791479355403625e-01
22MAY09XA,source,0215+015,190,1.4959324645906413e-01,2.6190751709965232e-01
22MAY09XA,source,0814+425,240,1.2375743698802477e-01,2.2226418449194635e-01
22MAY09XA,source,1144+402,159,1.3561392734843025e-02,2.4455070136952434e-02
22MAY09XA,time_quartile,Q4,1218,-2.0778119499144072e+00,2.9764251557359707e+00
22MAY09XA,time_quartile,Q3,1218,4.7761175290064450e-01,7.6643529647257547e-01
22MAY09XA,time_quartile,Q1,1219,-3.7691127007957093e-01,6.5690791159731454e-01
22MAY09XA,time_quartile,Q2,1219,-3.2494906421256875e-01,6.0924473546898872e-01
