session,group_type,group_label,n_removed,impact_beta_all_minus_drop,abs_z_impact
20MAY04XA,baseline,SVETLOE-ZELENCHK,288,7.0385334671446564e-01,1.7999480409579585e+00
20MAY04XA,baseline,BADARY-ZELENCHK,340,-3.4665210234596877e-01,8.5934565535233531e-01
20MAY04XA,baseline,NYALES20-WETTZELL,376,2.3542453209346625e-01,5.9404425909977165e-01
20MAY04XA,baseline,NYALES20-ZELENCHK,336,1.9897789916798558e-01,5.0134805001694560e-01
20MAY04XA,baseline,BADARY-WETTZELL,309,-1.5930077432965284e-01,3.9808690194370933e-01
20MAY04XA,baseline,ONSALA60-ZELENCHK,346,1.2392465725333146e-01,3.1191768781226598e-01
20MAY04XA,baseline,ONSALA60-WETTZELL,393,9.3113752046598997e-02,2.3449688229992846e-01
20MAY04XA,baseline,WETTZELL-ZELENCHK,359,7.5005620774735604e-02,1.8935964903607949e-01
20MAY04XA,baseline,BADARY-ONSALA60,295,-7.3735879623146872e-02,1.8459592739140607e-01
20MAY04XA,baseline,NYALES20-ONSALA60,360,3.9937600929427219e-02,1.0016568407823372e-01
20MAY04XA,baseline,BADARY-NYALES20,327,3.7617262380472027e-02,9.4428897149101410e-02
20MAY04XA,baseline,BADARY-ISHIOKA,295,-4.3361574487690291e-03,1.0890059489167972e-02
20MAY04XA,source,0059+581,1015,-1.2878976825609705e+00,3.1400508971591350e+00
20MAY04XA,source,0814+425,462,4.7145393930519486e-01,1.1835934321725801e+00
20MAY04XA,source,2000+472,348,4.0986760249612342e-01,1.0355664437334844e+00
20MAY04XA,source,0955+476,524,2.2456866733556602e-01,5.6551733999371601e-01
20MAY04XA,source,3C371,1024,1.8826583508010053e-01,4.6319968677469475e-01
20MAY04XA,source,NRAO512,379,1.3777448912208357e-01,3.4620026358632616e-01
20MAY04XA,source,2113+293,261,1.1722084997511839e-01,2.9403609087236854e-01
20MAY04XA,source,1418+546,372,1.0201901118534895e-01,2.5585535315001301e-01
20MAY04XA,source,0602+673,309,-2.8701382564605638e-02,7.1951262553405976e-02
20MAY04XA,source,1806+456,322,1.2438301259932061e-02,3.1200983187380064e-02
20MAY04XA,source,0529+483,551,-1.1707744120426966e-02,2.9153276687168807e-02
20MAY04XA,source,2229+695,277,-8.5230828625402211e-03,2.1377028823295931e-02
20MAY04XA,time_quartile,Q2,2512,-9.3115472233750118e-01,2.2082692615467612e+00
20MAY04XA,time_quartile,Q1,2511,-6.1470742887912522e-01,1.4798801320626682e+00
20MAY04XA,time_quartile,Q3,2497,-3.9162989746778543e-01,7.8451750293037115e-01
20MAY04XA,time_quartile,Q4,2474,5.1125582213257914e-02,1.1850068363457457e-01
