session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
18MAY01XA,0003-066,299,3.8915678326779855e+01,-3.1734601884391910e+01,6.4346360657590136e+00,-3.2734601884391907e+01,1.4021809170205990e+00,5.5657027442395014e-02,-3.3136782801412508e+01
17MAY01XA,0016+731,91,2.9980768003362140e+01,-3.2418730183053661e+01,2.8167900001025417e+00,-3.3418730183053661e+01,1.1866902903646863e+00,6.9614570068410556e-02,-3.3605420473418349e+01
18MAY01XA,0016+731,63,3.8915678326779855e+01,-1.2899225038584300e+01,3.9588548610889083e+00,-1.3899225038584300e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.4301405955604899e+01
17MAY01XA,0017+200,176,2.9980768003362140e+01,-8.2042693117424470e+00,4.7708426712577063e+00,-9.2042693117424470e+00,1.1866902903646863e+00,6.9614570068410556e-02,-9.3909596021071327e+00
18MAY01XA,0017+200,382,3.8915678326779855e+01,-1.0680873650818144e+01,1.8367342805945051e+00,-1.1680873650818144e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.2083054567838744e+01
20MAY04XA,0017+200,260,1.0106397771203248e+01,1.5391682295508218e+01,3.7081315830343384e+00,1.4391682295508218e+01,8.0497082639269522e+00,2.7976357126395818e-01,7.3419740315812660e+00
20MAY04XA,0019+058,137,1.0106397771203248e+01,2.8956911798076550e+01,9.6097493333438315e+00,2.7956911798076550e+01,8.0497082639269522e+00,2.7976357126395818e-01,2.0907203534149598e+01
17MAY01XA,0059+581,56,2.9980768003362140e+01,9.1811162502098949e+00,2.0918595553455218e-17,8.1811162502098949e+00,1.1866902903646863e+00,6.9614570068410556e-02,7.9944259598452083e+00
18MAY01XA,0059+581,74,3.8915678326779855e+01,-1.7254285601288771e+01,9.9246681061318434e+00,-1.8254285601288771e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.8656466518309369e+01
20MAY04XA,0059+581,1015,1.0106397771203248e+01,-6.8905942374493385e+00,5.9108135526400418e-01,-7.8905942374493385e+00,8.0497082639269522e+00,2.7976357126395818e-01,-1.4940302501376291e+01
20MAY06XA,0059+581,53,1.1452581368343477e+01,-2.6839149996547164e+01,2.8275369351066670e+00,-2.7839149996547164e+01,9.2325738013260708e+00,1.2206749153850662e+00,-3.6071723797873233e+01
22MAY09XA,0059+581,288,1.1981812554125794e+01,2.8947774965084498e+00,2.7413399449116929e+00,1.8947774965084498e+00,5.4609783256794806e+00,3.8943244120781795e-01,-2.5662008291710308e+00
18MAY01XA,0104-408,56,3.8915678326779855e+01,-6.9962720643737683e+01,5.3295321525531826e+01,-7.0962720643737683e+01,1.4021809170205990e+00,5.5657027442395014e-02,-7.1364901560758284e+01
20MAY04XA,0119+115,159,1.0106397771203248e+01,1.4408758620634801e+01,0.0000000000000000e+00,1.3408758620634801e+01,8.0497082639269522e+00,2.7976357126395818e-01,6.3590503567078489e+00
17MAY01XA,0133+476,27,2.9980768003362140e+01,-6.1743254872654887e+01,4.3993214370818737e-17,-6.2743254872654887e+01,1.1866902903646863e+00,6.9614570068410556e-02,-6.2929945163019575e+01
18MAY01XA,0133+476,38,3.8915678326779855e+01,-1.0788887829241855e+03,1.4819528266290183e+03,-1.0798887829241855e+03,1.4021809170205990e+00,5.5657027442395014e-02,-1.0802909638412061e+03
17MAY01XA,0202+319,225,2.9980768003362140e+01,-6.6760537526899943e+00,1.7703590537746201e+00,-7.6760537526899943e+00,1.1866902903646863e+00,6.9614570068410556e-02,-7.8627440430546809e+00
18MAY01XA,0202+319,245,3.8915678326779855e+01,8.4400460376059776e+00,3.6348221933122131e+00,7.4400460376059776e+00,1.4021809170205990e+00,5.5657027442395014e-02,7.0378651205853782e+00
22MAY09XA,0202+319,186,1.1981812554125794e+01,-1.7723391211960875e+00,1.6563832821461108e-15,-2.7723391211960875e+00,5.4609783256794806e+00,3.8943244120781795e-01,-7.2333174468755681e+00
20MAY04XA,0215+015,122,1.0106397771203248e+01,1.1208365837771932e+01,1.1401084798694756e+01,1.0208365837771932e+01,8.0497082639269522e+00,2.7976357126395818e-01,3.1586575738449802e+00
22MAY09XA,0215+015,190,1.1981812554125794e+01,-8.9603082451813787e-01,2.4270556434435248e-01,-1.8960308245181379e+00,5.4609783256794806e+00,3.8943244120781795e-01,-6.3570091501976185e+00
17MAY01XA,0229+131,577,2.9980768003362140e+01,-1.1705949911251115e+00,2.8042058295002104e-01,-2.1705949911251112e+00,1.1866902903646863e+00,6.9614570068410556e-02,-2.3572852814897978e+00
18MAY01XA,0229+131,2104,3.8915678326779855e+01,2.8096351508207495e-01,1.3075369807083062e-01,-7.1903648491792505e-01,1.4021809170205990e+00,5.5657027442395014e-02,-1.1212174019385239e+00
17MAY01XA,0235+164,452,2.9980768003362140e+01,-2.3863890946696303e-01,2.8361199278677984e-01,-1.2386389094669630e+00,1.1866902903646863e+00,6.9614570068410556e-02,-1.4253291998316493e+00
18MAY01XA,0235+164,541,3.8915678326779855e+01,8.1991381024113719e-01,2.0190161236160697e-01,-1.8008618975886281e-01,1.4021809170205990e+00,5.5657027442395014e-02,-5.8226710677946181e-01
22MAY09XA,0235+164,276,1.1981812554125794e+01,-3.4907367148843177e-01,2.9525345944365755e-01,-1.3490736714884317e+00,5.4609783256794806e+00,3.8943244120781795e-01,-5.8100519971679123e+00
20MAY04XA,0306+102,78,1.0106397771203248e+01,-1.2382176328749511e+01,1.0809542565948483e+01,-1.3382176328749511e+01,8.0497082639269522e+00,2.7976357126395818e-01,-2.0431884592676461e+01
18MAY01XA,0307+380,42,3.8915678326779855e+01,-2.7503785834316250e-11,0.0000000000000000e+00,-1.0000000000275038e+00,1.4021809170205990e+00,5.5657027442395014e-02,-1.4021809170481028e+00
20MAY04XA,0308-611,22,1.0106397771203248e+01,-6.1361917300112800e+01,8.4850426392474226e-19,-6.2361917300112800e+01,8.0497082639269522e+00,2.7976357126395818e-01,-6.9411625564039753e+01
