source,n_sessions,total_points,beta_weighted_mean,beta_weighted_sigma,delta_beta_weighted_mean,chi2_dof,status
0955+476,3,663,2.8347334095117699e+01,2.4387212958379645e+00,2.7347334095117699e+01,5.1331789813930140e-01,pass
1639-062,3,382,3.8143741927527977e+01,1.1607401465294343e+01,3.7143741927527977e+01,1.3861114510457155e+00,pass
1954-388,3,118,6.9068862677612913e+01,2.0243444391173995e+01,6.8068862677612913e+01,4.4289539506277864e-01,pass
1657-261,3,89,1.3344934162951591e+02,3.8690030299185845e-16,1.3244934162951591e+02,1.2712532686753424e+00,pass
3C371,2,1053,1.3772586657006519e+01,4.6176837973470258e-01,1.2772586657006519e+01,4.6524656725535239e-03,pass
1418+546,2,422,4.6944139956995215e+01,1.8519013508547266e+00,4.5944139956995215e+01,6.4899157776372122e-04,pass
0215+015,2,312,-8.9054788450476285e-01,2.4265058883346458e-01,-1.8905478845047630e+00,1.1266711536746563e+00,pass
1751+288,2,256,4.4507565222384130e+01,8.7448815060786984e+00,4.3507565222384130e+01,7.6168284188892088e-01,pass
1502+036,2,220,2.5837831263737621e+00,9.7810620388195755e+00,1.5837831263737621e+00,5.2958325121120464e-01,pass
2318+049,2,182,5.6572375284894790e+01,1.4303627209587896e+01,5.5572375284894790e+01,5.2293979986000475e-03,pass
1123+264,2,160,7.5555236567497090e+01,8.1677917967174576e+00,7.4555236567497090e+01,2.6602571720546621e-02,pass
2059+034,2,156,8.7762431386194457e+00,2.0266189806836685e+01,7.7762431386194457e+00,1.7935204646671404e-02,pass
0133+476,2,65,-6.1743254872654887e+01,4.3993214370818737e-17,-6.2743254872654887e+01,4.7108299681340360e-01,pass
0059+581,5,1486,9.1811162502098949e+00,2.0918595553455218e-17,8.1811162502098949e+00,2.2848831253418649e+02,reject
OJ287,5,933,4.5234148633330511e+00,1.8782069175997712e-16,3.5234148633330511e+00,3.0365904146413726e+01,reject
1149-084,5,562,9.2220574178789249e+01,5.6875087485921911e+00,9.1220574178789249e+01,1.1116602703518280e+01,reject
0727-115,4,608,1.2661443794404468e+02,8.6978527864961313e-17,1.2561443794404468e+02,6.8527212859136654e+01,reject
1334-127,4,607,-1.0780469190162529e+01,2.4132503735657786e-16,-1.1780469190162529e+01,8.0268355428470694e+35,reject
0235+164,3,1269,2.7134237524289578e-01,1.4368824078469347e-01,-7.2865762475710416e-01,7.5155384647731243e+00,reject
0017+200,3,818,-5.8271932524436680e+00,1.5559029035735832e+00,-6.8271932524436680e+00,1.9987791162291650e+01,reject
0202+319,3,656,-1.7723391211960877e+00,1.6563832821461108e-15,-2.7723391211960875e+00,7.7920710352784539e+00,reject
1803+784,3,627,1.3512133300700306e+01,4.3179167392442669e-01,1.2512133300700306e+01,5.9206113393662555e+01,reject
3C418,3,610,6.0199256273584417e+01,2.8004585667353297e+00,5.9199256273584417e+01,1.8617736992642904e+01,reject
0458-020,3,560,-7.5410727952948431e+00,3.5409309339917425e+00,-8.5410727952948431e+00,2.1939090505281783e+01,reject
2227-088,3,512,-5.8293203514338245e+01,9.0597811387482121e+00,-5.9293203514338245e+01,1.7816154791676912e+01,reject
3C446,3,461,2.2784315440230237e+01,6.4158272841766948e+00,2.1784315440230237e+01,1.1641589865413970e+01,reject
CTA26,3,410,2.0072983258897696e-05,4.8823238512206062e-03,-9.9997992701674110e-01,3.4431101493906553e+01,reject
0454-234,3,314,1.9806676385272812e+01,8.7148285123636491e+00,1.8806676385272812e+01,5.3399899361201486e+00,reject
0716+714,3,245,2.4344628063688005e+00,1.6431263192992469e+00,1.4344628063688005e+00,1.5679283433297918e+01,reject
0800+618,3,234,-1.2125217660367444e+00,1.7347443783695968e+00,-2.2125217660367444e+00,1.6599294245857418e+01,reject
1424-418,3,226,6.3592662241118646e+01,1.2218593040890858e-18,6.2592662241118646e+01,3.3817230118784130e+07,reject
0229+131,2,2681,2.1734077345246218e-02,1.1850448143507898e-01,-9.7826592265475376e-01,2.2009536736872874e+01,reject
2229+695,2,555,1.9541243315275927e+00,4.8054598972994850e-01,9.5412433152759268e-01,1.1261416430209425e+02,reject
NRAO512,2,509,3.6331256441127991e+01,1.1690863727987906e+00,3.5331256441127991e+01,1.8616133437703212e+01,reject
0748+126,2,456,7.4442172462366500e+01,1.1100698346683816e-16,7.3442172462366500e+01,3.8159066607938780e+03,reject
2000+472,2,386,7.3379454689713306e+00,8.9704134941562028e-05,6.3379454689713306e+00,9.9451161636839345e+01,reject
1156+295,2,384,8.9122565367574211e+01,2.0088764705985979e-17,8.8122565367574211e+01,1.4006168145443706e+01,reject
0552+398,2,367,-3.7412339992245993e+00,1.9715917420059859e+00,-4.7412339992245993e+00,6.2387248715182892e+01,reject
2215+150,2,240,3.5380162306765293e+01,2.3635424871499481e-03,3.4380162306765293e+01,8.5167821379927489e+00,reject
1030+415,2,225,1.8081652255988875e+01,3.8202174820238612e+00,1.7081652255988875e+01,5.6758367233485004e+01,reject
0420+022,2,206,7.2902583630920441e+00,6.4067009866562179e+00,6.2902583630920441e+00,1.2859032604583074e+01,reject
NRAO150,2,155,-2.4373995432204058e+01,2.5685640282339186e+00,-2.5373995432204058e+01,2.8285039355293385e+01,reject
0016+731,2,154,-2.5858185022860603e+01,2.2951186552742056e+00,-2.6858185022860603e+01,1.6139861072083811e+01,reject
2008-159,2,140,2.7562545082959463e+01,2.1603848356442531e-16,2.6562545082959463e+01,3.2814588457066648e+01,reject
2144+092,2,126,4.4072174612947840e-05,1.5994619501488019e-02,-9.9995592782538700e-01,4.2060207243292055e+01,reject
0642+449,2,119,8.3017296186974846e+01,1.4590780101189139e+01,8.2017296186974846e+01,6.8899196368711868e+00,reject
1057-797,2,70,-7.4174864940911291e+01,1.5004234982034612e+01,-7.5174864940911291e+01,2.9876704607970069e+01,reject
2255-282,2,50,1.6552781109493063e+02,1.4061819441810839e-17,1.6452781109493063e+02,2.4283133739397492e+01,reject
1741-038,4,562,5.4069348252652375e+01,4.7376900603991263e+00,5.3069348252652375e+01,4.4389555414911106e+00,watch
0814+425,2,702,nan,nan,nan,nan,watch
3C274,2,300,nan,nan,nan,nan,watch
0700-197,2,72,-1.5849259200452653e-05,6.1659043839463114e-02,-1.0000158492592004e+00,2.3814428740026914e+00,watch
0529+483,1,551,nan,nan,nan,nan,watch
1806+456,1,322,nan,nan,nan,nan,watch
1546+027,1,317,nan,nan,nan,nan,watch
0602+673,1,309,nan,nan,nan,nan,watch
0613+570,1,304,nan,nan,nan,nan,watch
0003-066,1,299,nan,nan,nan,nan,watch
2113+293,1,261,nan,nan,nan,nan,watch
1749+096,1,252,nan,nan,nan,nan,watch
1128+385,1,244,nan,nan,nan,nan,watch
1324+224,1,189,nan,nan,nan,nan,watch
1936-155,1,167,nan,nan,nan,nan,watch
1616+063,1,162,nan,nan,nan,nan,watch
0119+115,1,159,nan,nan,nan,nan,watch
1144+402,1,159,nan,nan,nan,nan,watch
0420-014,1,155,nan,nan,nan,nan,watch
1417+385,1,141,nan,nan,nan,nan,watch
0019+058,1,137,nan,nan,nan,nan,watch
0718+793,1,135,nan,nan,nan,nan,watch
1705+018,1,129,nan,nan,nan,nan,watch
1144-379,1,123,nan,nan,nan,nan,watch
1014+615,1,118,nan,nan,nan,nan,watch
0808+019,1,111,nan,nan,nan,nan,watch
2209+236,1,108,nan,nan,nan,nan,watch
1015+359,1,105,nan,nan,nan,nan,watch
2355-106,1,101,nan,nan,nan,nan,watch
