session,quartile,max_abs_bendsun_ns,n_points_stable_session,n_stable_sources_present,n_points_quartile,beta_est_quartile,beta_sigma_quartile,beta_est_session_stable,beta_sigma_session_stable,delta_beta_quartile_minus_session,abs_z_quartile_vs_session,quality_row_gate_pass,quality_row_gate_reason
17MAY01XA,Q1,5.7691633352725638e+01,140,1,36,1.7271914974653120e+02,1.9418078533391501e+01,2.9887098089273856e+01,1.3561492614938119e+01,1.4283205165725735e+02,6.0305037183522900e+00,True,pass
17MAY01XA,Q2,5.7691633352725638e+01,140,1,42,4.7638281116817183e+01,1.3546420181950768e-03,2.9887098089273856e+01,1.3561492614938119e+01,1.7751183027543327e+01,1.3089402061415782e+00,False,sigma_below_floor
17MAY01XA,Q3,5.7691633352725638e+01,140,1,29,6.8400781781886479e+01,5.6508961117213248e-03,2.9887098089273856e+01,1.3561492614938119e+01,3.8513683692612624e+01,2.8399293088626316e+00,False,sigma_below_floor
17MAY01XA,Q4,5.7691633352725638e+01,140,1,33,-1.6565014837184069e+02,1.2846502384009169e+01,2.9887098089273856e+01,1.3561492614938119e+01,-1.9553724646111453e+02,1.0467668102145383e+01,True,pass
18MAY01XA,Q1,3.8915678326779855e+01,265,4,70,1.2035515696099212e+02,1.1497036618818665e+01,4.8475954773095623e+01,3.0960979291484971e+00,7.1879202187896496e+01,6.0369091761864162e+00,True,pass
18MAY01XA,Q2,3.8915678326779855e+01,265,4,79,8.7475097626075524e+01,3.6801318593445371e+00,4.8475954773095623e+01,3.0960979291484971e+00,3.8999142852979901e+01,8.1091404592742080e+00,True,pass
18MAY01XA,Q3,3.8915678326779855e+01,265,4,67,5.8102523726353404e+01,0.0000000000000000e+00,4.8475954773095623e+01,3.0960979291484971e+00,9.6265689532577809e+00,3.1092585485192723e+00,False,sigma_below_floor
18MAY01XA,Q4,3.8915678326779855e+01,265,4,49,5.5890482504866377e+01,8.1431757779754662e+01,4.8475954773095623e+01,3.0960979291484971e+00,7.4145277317707539e+00,9.0986300617635893e-02,True,pass
20MAY06XA,Q1,1.1452581368343477e+01,48,1,12,6.8690919808430912e+00,1.9607576902513444e+00,2.2524339952431344e+01,6.3599550817500932e+00,-1.5655247971588253e+01,2.3522824287605952e+00,True,pass
20MAY06XA,Q2,1.1452581368343477e+01,48,1,13,1.0142629322291441e+02,2.0537561426906098e+01,2.2524339952431344e+01,6.3599550817500932e+00,7.8901953270483062e+01,3.6698961697559560e+00,True,pass
20MAY06XA,Q3,1.1452581368343477e+01,48,1,11,-3.0960599181623292e-13,0.0000000000000000e+00,2.2524339952431344e+01,6.3599550817500932e+00,-2.2524339952431653e+01,3.5415878984845826e+00,False,sigma_below_floor
20MAY06XA,Q4,1.1452581368343477e+01,48,1,12,1.5013402954021109e+02,5.9932265686303216e-03,2.2524339952431344e+01,6.3599550817500932e+00,1.2760968958777974e+02,2.0064549401496315e+01,False,sigma_below_floor
22MAY09XA,Q1,1.1981812554125794e+01,74,2,19,2.1912785038599079e+01,4.0696231286039371e+01,7.9469956351132595e+01,2.4536681098874983e+01,-5.7557171312533512e+01,1.2111980621036016e+00,True,pass
22MAY09XA,Q2,1.1981812554125794e+01,74,2,18,8.3462685131256052e+01,1.1173296825478264e+01,7.9469956351132595e+01,2.4536681098874983e+01,3.9927287801234570e+00,1.4809318735208971e-01,True,pass
22MAY09XA,Q3,1.1981812554125794e+01,74,2,19,4.5646014666444593e+01,1.7002193524789371e+02,7.9469956351132595e+01,2.4536681098874983e+01,-3.3823941684688002e+01,1.9689887669135522e-01,True,pass
22MAY09XA,Q4,1.1981812554125794e+01,74,2,18,3.1867075534498883e+02,5.1945422423286097e+01,7.9469956351132595e+01,2.4536681098874983e+01,2.3920079899385624e+02,4.1637144737182368e+00,True,pass
