session,quartile,max_abs_bendsun_ns,n_points_stable_session,n_stable_sources_present,n_points_quartile,beta_est_quartile,beta_sigma_quartile,beta_est_session_stable,beta_sigma_session_stable,delta_beta_quartile_minus_session,abs_z_quartile_vs_session,quality_row_gate_pass,quality_row_gate_reason
17MAY01XA,Q1,2.9980768003362140e+01,140,1,36,1.7271914974653120e+02,1.9418078533391501e+01,2.9887098089273856e+01,1.3561492614938119e+01,1.4283205165725735e+02,6.0305037183522900e+00,True,pass
17MAY01XA,Q2,2.9980768003362140e+01,140,1,42,4.7638281116817183e+01,1.3546420181950768e-03,2.9887098089273856e+01,1.3561492614938119e+01,1.7751183027543327e+01,1.3089402061415782e+00,False,sigma_below_floor
17MAY01XA,Q3,2.9980768003362140e+01,140,1,29,6.8400781781886479e+01,5.6508961117213248e-03,2.9887098089273856e+01,1.3561492614938119e+01,3.8513683692612624e+01,2.8399293088626316e+00,False,sigma_below_floor
17MAY01XA,Q4,2.9980768003362140e+01,140,1,33,-1.6565014837184069e+02,1.2846502384009169e+01,2.9887098089273856e+01,1.3561492614938119e+01,-1.9553724646111453e+02,1.0467668102145383e+01,True,pass
18MAY01XA,Q1,3.8915678326779855e+01,185,2,56,2.4296185462248712e+01,1.4116333707476375e-03,4.6054490745170263e+01,3.9960677300421343e+00,-2.1758305282921551e+01,5.4449287137302615e+00,False,sigma_below_floor
18MAY01XA,Q2,3.8915678326779855e+01,185,2,39,-9.3826350328226043e-13,0.0000000000000000e+00,4.6054490745170263e+01,3.9960677300421343e+00,-4.6054490745171201e+01,1.1524952492405729e+01,False,sigma_below_floor
18MAY01XA,Q3,3.8915678326779855e+01,185,2,46,2.1483926114191337e+02,6.6172114123735611e+01,4.6054490745170263e+01,3.9960677300421343e+00,1.6878477039674311e+02,2.5460550425134842e+00,True,pass
18MAY01XA,Q4,3.8915678326779855e+01,185,2,44,2.6449031153910028e+01,1.5515922391869596e+01,4.6054490745170263e+01,3.9960677300421343e+00,-1.9605459591260235e+01,1.2236398153419701e+00,True,pass
20MAY04XA,Q1,1.0106397771203248e+01,672,2,180,1.6554197542055573e+02,1.3021568292152040e+01,3.9647687758979231e+01,2.8240206154993794e+00,1.2589428766157650e+02,9.4484898726333970e+00,True,pass
20MAY04XA,Q2,1.0106397771203248e+01,672,2,172,1.0547088638344265e+02,1.4870254403875929e+01,3.9647687758979231e+01,2.8240206154993794e+00,6.5823198624463416e+01,4.3487741803224687e+00,True,pass
20MAY04XA,Q3,1.0106397771203248e+01,672,2,161,8.2568849583393185e+00,7.8842595299757550e+00,3.9647687758979231e+01,2.8240206154993794e+00,-3.1390802800639911e+01,3.7482620168437193e+00,True,pass
20MAY04XA,Q4,1.0106397771203248e+01,672,2,159,6.8956970252296443e+01,6.5187474197807118e+00,3.9647687758979231e+01,2.8240206154993794e+00,2.9309282493317212e+01,4.1256477699638960e+00,True,pass
20MAY06XA,Q1,1.1452581368343477e+01,48,1,12,6.8690919808430912e+00,1.9607576902513444e+00,2.2524339952431344e+01,6.3599550817500932e+00,-1.5655247971588253e+01,2.3522824287605952e+00,True,pass
20MAY06XA,Q2,1.1452581368343477e+01,48,1,13,1.0142629322291441e+02,2.0537561426906098e+01,2.2524339952431344e+01,6.3599550817500932e+00,7.8901953270483062e+01,3.6698961697559560e+00,True,pass
20MAY06XA,Q3,1.1452581368343477e+01,48,1,11,-3.0960599181623292e-13,0.0000000000000000e+00,2.2524339952431344e+01,6.3599550817500932e+00,-2.2524339952431653e+01,3.5415878984845826e+00,False,sigma_below_floor
20MAY06XA,Q4,1.1452581368343477e+01,48,1,12,1.5013402954021109e+02,5.9932265686303216e-03,2.2524339952431344e+01,6.3599550817500932e+00,1.2760968958777974e+02,2.0064549401496315e+01,False,sigma_below_floor
