session,group_type,group_label,n_removed,beta_all,beta_all_sigma,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
17MAY01XA,baseline,BADARY-HARTRAO,180,1.1866902903646863e+00,6.9614570068410556e-02,1.2330639031509942e+00,8.0656962782135258e-02,-4.6373612786307916e-02,1.0654451656959354e-01,4.3525105072880266e-01
17MAY01XA,baseline,HARTRAO-ZELENCHK,242,1.1866902903646863e+00,6.9614570068410556e-02,1.1669407961786809e+00,7.4301170704174441e-02,1.9749494186005467e-02,1.0181774076171850e-01,1.9396908670586899e-01
17MAY01XA,baseline,BADARY-SESHAN25,338,1.1866902903646863e+00,6.9614570068410556e-02,1.1671936838407995e+00,6.8300798473315605e-02,1.9496606523886850e-02,9.7525316907468268e-02,1.9991328551523879e-01
17MAY01XA,baseline,SVETLOE-ZELENCHK,243,1.1866902903646863e+00,6.9614570068410556e-02,1.1710839655079708e+00,6.7250511062678237e-02,1.5606324856715537e-02,9.6792662965748857e-02,1.6123458512798647e-01
17MAY01XA,baseline,HARTRAO-SVETLOE,220,1.1866902903646863e+00,6.9614570068410556e-02,1.1953147278001990e+00,7.8639692853167367e-02,-8.6244374355126663e-03,1.0502566190150930e-01,8.2117429962978661e-02
17MAY01XA,baseline,SESHAN25-ZELENCHK,180,1.1866902903646863e+00,6.9614570068410556e-02,1.1940399740154848e+00,6.7574790458490297e-02,-7.3496836507984664e-03,9.7018249166424944e-02,7.5755682193262744e-02
17MAY01XA,baseline,BADARY-ZELENCHK,201,1.1866902903646863e+00,6.9614570068410556e-02,1.1796030576195591e+00,6.9397319801297208e-02,7.0872327451272366e-03,9.8296370031721730e-02,7.2100655831340246e-02
17MAY01XA,baseline,BADARY-SVETLOE,230,1.1866902903646863e+00,6.9614570068410556e-02,1.1826630396905757e+00,6.6578745803625397e-02,4.0272506741105829e-03,9.6327139263000058e-02,4.1808058506908018e-02
17MAY01XA,baseline,SESHAN25-SVETLOE,191,1.1866902903646863e+00,6.9614570068410556e-02,1.1834477670014294e+00,6.8063660291457190e-02,3.2425233632569217e-03,9.7359386902755959e-02,3.3304681411927987e-02
17MAY01XA,baseline,BADARY-SEJONG,342,1.1866902903646863e+00,6.9614570068410556e-02,1.1855618509558155e+00,7.2571804708473034e-02,1.1284394088708627e-03,1.0056269290574110e-01,1.1221252894734687e-02
17MAY01XA,baseline,HOBART26-SEJONG,243,1.1866902903646863e+00,6.9614570068410556e-02,1.1872504434980051e+00,7.1868968221204421e-02,-5.6015313331880812e-04,1.0005666873822121e-01,5.5983588138871559e-03
17MAY01XA,baseline,SEJONG-SESHAN25,311,1.1866902903646863e+00,6.9614570068410556e-02,1.1866344487796374e+00,7.2459054061938560e-02,5.5841585048899134e-05,1.0048135588934187e-01,5.5574075961312033e-04
